Count,Mean,Median,TStat,WinRate,LossRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Top5SharePositiveSum,Top10SharePositiveSum,ExitHorizon,DisasterStop,ProfitCap
47,4.409574468085107,0.75,1.1261799619868662,0.5106382978723404,0.46808510638297873,2.322169059011164,-20.0,-5.125,5.25,11.799999999999999,167.25,0.6662087912087912,0.7657967032967034,5,20.0,None
47,4.335106382978723,0.75,1.1039232556792211,0.5106382978723404,0.46808510638297873,2.2714508580343216,-24.0,-5.125,5.25,11.799999999999999,167.25,0.6662087912087912,0.7657967032967034,5,24.0,None
47,4.159574468085107,0.75,1.050840386993258,0.5106382978723404,0.46808510638297873,2.1602373887240356,-32.25,-5.125,5.25,11.799999999999999,167.25,0.6662087912087912,0.7657967032967034,5,None,None
47,4.00531914893617,-0.25,1.0305102584932158,0.48936170212765956,0.5106382978723404,1.9459798994974875,-24.0,-7.375,7.875,12.699999999999998,161.25,0.6191091026468689,0.7075532601678503,6,24.0,None
47,4.0,-0.25,1.0308247153388783,0.48936170212765956,0.5106382978723404,1.943538268506901,-20.0,-7.375,7.875,12.699999999999998,161.25,0.6191091026468689,0.7075532601678503,6,20.0,None
47,3.9574468085106385,0.25,1.0452591565774796,0.5106382978723404,0.48936170212765956,1.7766179540709812,-24.0,-9.0,10.875,18.85,153.25,0.500587544065805,0.5904817861339601,10,24.0,None
47,3.8191489361702127,-0.25,0.9747707907524727,0.48936170212765956,0.5106382978723404,1.8640192539109506,-29.0,-7.375,7.875,12.699999999999998,161.25,0.6191091026468689,0.7075532601678503,6,None,None
47,3.8138297872340425,-0.25,0.9457575067738482,0.46808510638297873,0.5106382978723404,1.8138479001135073,-24.0,-7.125,8.25,19.9,168.0,0.567584480600751,0.6839799749687109,8,24.0,None
47,3.702127659574468,0.0,0.9393998757913105,0.48936170212765956,0.48936170212765956,1.9573590096286106,-16.0,-6.625,4.625,11.799999999999999,167.25,0.6816584680252986,0.7835558678847505,5,16.0,None
47,3.6648936170212765,-0.25,0.9080515694301647,0.46808510638297873,0.5106382978723404,1.757975797579758,-20.0,-7.875,8.25,19.9,168.0,0.567584480600751,0.6839799749687109,8,20.0,None
47,3.5425531914893615,-0.25,0.8679093972118063,0.46808510638297873,0.5106382978723404,1.7145922746781115,-36.5,-7.125,8.25,19.9,168.0,0.567584480600751,0.6839799749687109,8,None,None
47,3.521276595744681,-0.5,0.8957027118946836,0.46808510638297873,0.5106382978723404,1.8733509234828496,-12.0,-8.625,4.625,11.799999999999999,167.25,0.6830985915492958,0.7852112676056338,5,12.0,None
47,3.5,0.25,0.9030923746373395,0.5106382978723404,0.48936170212765956,1.6302681992337165,-38.5,-9.0,10.875,18.85,153.25,0.500587544065805,0.5904817861339601,10,None,None
47,3.4680851063829787,-0.75,0.896893938415712,0.46808510638297873,0.5319148936170213,1.7616822429906542,-12.0,-12.0,6.125,12.699999999999998,161.25,0.6359416445623343,0.726790450928382,6,12.0,None
47,3.4361702127659575,0.25,0.8980787022757906,0.5106382978723404,0.48936170212765956,1.6117424242424243,-20.0,-9.75,10.875,18.85,153.25,0.500587544065805,0.5904817861339601,10,20.0,None
47,3.223404255319149,-0.75,0.8257560998061539,0.46808510638297873,0.5319148936170213,1.671840354767184,-16.0,-8.375,6.125,12.699999999999998,161.25,0.6359416445623343,0.726790450928382,6,16.0,None
47,2.9468085106382977,-2.25,0.7393330954273712,0.425531914893617,0.574468085106383,1.580712788259958,-12.0,-12.0,6.375,19.9,168.0,0.6014588859416445,0.7248010610079576,8,12.0,None
47,2.601063829787234,-1.5,0.6434183888400177,0.44680851063829785,0.5531914893617021,1.473378509196515,-16.0,-11.375,6.375,19.9,168.0,0.5959264126149802,0.7181340341655716,8,16.0,None
47,2.4308510638297873,-2.0,0.6331212652288152,0.46808510638297873,0.5319148936170213,1.3912671232876712,-16.0,-15.0,9.625,18.85,153.25,0.5243076923076923,0.6184615384615385,10,16.0,None
47,2.4148936170212765,-5.0,0.6419723808843923,0.44680851063829785,0.5531914893617021,1.4149908592321756,-12.0,-12.0,8.75,18.45,153.25,0.5503875968992248,0.6479328165374677,10,12.0,None
47,2.276595744680851,0.25,0.9610127335547436,0.5106382978723404,0.48936170212765956,1.4467640918580376,-24.0,-9.0,10.875,18.85,48.0,0.38672438672438675,0.4971139971139971,10,24.0,48.0
47,2.0372340425531914,0.75,1.0052016245003474,0.5106382978723404,0.46808510638297873,1.6108452950558214,-20.0,-5.125,5.25,11.799999999999999,48.0,0.5188118811881188,0.6623762376237624,5,20.0,48.0
47,1.9627659574468086,0.75,0.9588888775193087,0.5106382978723404,0.46808510638297873,1.575663026521061,-24.0,-5.125,5.25,11.799999999999999,48.0,0.5188118811881188,0.6623762376237624,5,24.0,48.0
47,1.8191489361702127,0.25,0.7268407358297724,0.5106382978723404,0.48936170212765956,1.3275862068965518,-38.5,-9.0,10.875,18.85,48.0,0.38672438672438675,0.4971139971139971,10,None,48.0
47,1.7872340425531914,0.75,0.8502136621812372,0.5106382978723404,0.46808510638297873,1.4985163204747773,-32.25,-5.125,5.25,11.799999999999999,48.0,0.5188118811881188,0.6623762376237624,5,None,48.0
47,1.7553191489361701,0.25,0.7239632515394463,0.5106382978723404,0.48936170212765956,1.3125,-20.0,-9.75,10.875,18.85,48.0,0.38672438672438675,0.4971139971139971,10,20.0,48.0
47,1.7393617021276595,0.0,1.0388867081395194,0.48936170212765956,0.48936170212765956,1.598901098901099,-24.0,-4.125,7.625,11.549999999999995,48.0,0.41809851088201605,0.5429553264604811,4,24.0,48.0
47,1.7180851063829787,0.0,1.0250095178002336,0.48936170212765956,0.48936170212765956,1.5872727272727272,-20.0,-4.125,7.625,11.549999999999995,48.0,0.41809851088201605,0.5429553264604811,4,20.0,48.0
47,1.7074468085106382,-0.25,0.7916819395002463,0.48936170212765956,0.5106382978723404,1.4032663316582914,-24.0,-7.375,7.875,12.699999999999998,48.0,0.4717994628469114,0.594449418084154,6,24.0,48.0
47,1.702127659574468,-0.25,0.7934763255844736,0.48936170212765956,0.5106382978723404,1.4015056461731492,-20.0,-7.375,7.875,12.699999999999998,48.0,0.4717994628469114,0.594449418084154,6,20.0,48.0
47,1.675531914893617,-0.25,0.733511546265535,0.46808510638297873,0.5106382978723404,1.3575482406356414,-24.0,-7.125,8.25,19.9,48.0,0.4222408026755853,0.5777591973244147,8,24.0,48.0
47,1.5957446808510638,0.0,1.0022668635177814,0.48936170212765956,0.48936170212765956,1.5494505494505495,-24.0,-4.125,7.625,11.549999999999995,41.25,0.39952718676122934,0.5283687943262412,4,24.0,None
47,1.5904255319148937,0.25,0.7721400233909685,0.5106382978723404,0.48936170212765956,1.312108559498956,-24.0,-9.0,10.875,24.0,24.0,0.22911694510739858,0.3818615751789976,10,24.0,24.0
47,1.574468085106383,0.0,0.9876835020999725,0.48936170212765956,0.48936170212765956,1.538181818181818,-20.0,-4.125,7.625,11.549999999999995,41.25,0.39952718676122934,0.5283687943262412,4,20.0,None
