APVA Structural State Machine Study v0.1 - Aggregate
========================================================

Instruments: 6E, NQ, CL
Structural states are compressed from family-path signatures.

Aggregate Structural State Table
================================
             State               6E_N            6E_Freq            6E_Cont            6E_Fail               NQ_N            NQ_Freq            NQ_Cont            NQ_Fail               CL_N            CL_Freq            CL_Cont            CL_Fail             ValidN           MeanFreq           MeanCont           MeanFail
RecoveryResolution               4873             13.82%             46.29%             49.59%                198             10.26%             54.59%             44.90%                396             14.75%             48.56%             50.65%                  3             12.94%             49.81%             48.38%
ExhaustionPersistence               3652             10.36%             46.07%             48.88%                189              9.79%             46.81%             52.13%                301             11.21%             49.00%             50.33%                  3             10.45%             47.29%             50.45%
CompressionProcessing               6435             18.25%             46.21%             48.92%                179              9.27%             49.44%             50.56%                326             12.15%             47.65%             51.41%                  3             13.22%             47.77%             50.30%
 NeutralProcessing              11331             32.14%             46.43%             47.96%                745             38.60%             49.32%             50.68%                876             32.64%             49.00%             50.18%                  3             34.46%             48.25%             49.61%
ReassertionProcessing               6942             19.69%             46.42%             48.21%                484             25.08%             47.93%             51.24%                628             23.40%             49.68%             49.68%                  3             22.72%             48.01%             49.71%
    DecayToNeutral               1239              3.51%             45.41%             50.61%                 77              3.99%             46.05%             53.95%                 96              3.58%             50.55%             49.45%                  3              3.69%             47.34%             51.34%
DestructiveRotation                682              1.93%             46.72%             49.10%                 34              1.76%             44.12%             55.88%                 51              1.90%             50.98%             49.02%                  3              1.87%             47.27%             51.34%
ConstructiveEmergence                 16              0.05%             56.25%             43.75%                  2              0.10%             50.00%             50.00%                  1              0.04%              0.00%            100.00%                  3              0.06%             35.42%             64.58%
    MixedStructure                 90              0.26%             39.76%             54.22%                 22              1.14%             50.00%             50.00%                  9              0.34%             66.67%             33.33%                  3              0.58%             52.14%             45.85%

Aggregate Transition Table
==========================

Lag 1
Source                       Target                           6E_N    6E_Prob    6E_Lift     NQ_N    NQ_Prob    NQ_Lift     CL_N    CL_Prob    CL_Lift  ValidN   MeanProb   MeanLift
RecoveryResolution           CompressionProcessing            1703     34.95%      1.915       56     28.28%      3.054      116     29.37%      2.414       3     30.87%      2.461
DestructiveRotation          DecayToNeutral                     63      9.25%      2.629        0      0.00%        N/A        4      7.84%      2.195       2      8.55%      2.412
MixedStructure               DecayToNeutral                      8      8.89%      2.530        2      9.09%      2.282        0      0.00%        N/A       2      8.99%      2.406
DecayToNeutral               DecayToNeutral                     92      7.43%      2.113        5      6.49%      1.630        8      8.33%      2.332       3      7.42%      2.025
DestructiveRotation          RecoveryResolution                170     24.96%      1.804        7     20.59%      2.010       14     27.45%      1.863       3     24.33%      1.892
DestructiveRotation          ExhaustionPersistence             128     18.80%      1.812        8     23.53%      2.406        8     15.69%      1.400       3     19.34%      1.873
MixedStructure               DestructiveRotation                 2      2.22%      1.149        1      4.55%      2.584        0      0.00%        N/A       2      3.38%      1.867
ReassertionProcessing        DecayToNeutral                    365      5.26%      1.496       34      7.02%      1.764       39      6.21%      1.738       3      6.16%      1.666
ExhaustionPersistence        RecoveryResolution                758     20.76%      1.502       34     17.99%      1.756       75     24.92%      1.691       3     21.22%      1.650
ReassertionProcessing        ReassertionProcessing            2402     34.61%      1.758      167     34.50%      1.378      217     34.55%      1.478       3     34.56%      1.538
NeutralProcessing            NeutralProcessing                5735     50.61%      1.575      379     51.08%      1.320      418     47.77%      1.464       3     49.82%      1.453
ReassertionProcessing        DestructiveRotation               152      2.19%      1.132       13      2.69%      1.527       20      3.18%      1.678       3      2.69%      1.446
MixedStructure               NeutralProcessing                  36     40.00%      1.245       14     63.64%      1.651        4     44.44%      1.363       3     49.36%      1.420
DecayToNeutral               NeutralProcessing                 505     40.76%      1.268       45     58.44%      1.516       43     44.79%      1.374       3     48.00%      1.386
RecoveryResolution           ConstructiveEmergence               3      0.06%      1.357        0      0.00%        N/A        0      0.00%        N/A       1      0.06%      1.357
ConstructiveEmergence        ReassertionProcessing               2     12.50%      0.635        1     50.00%      1.997        0      0.00%        N/A       2     31.25%      1.316
NeutralProcessing            ReassertionProcessing            2461     21.72%      1.103      211     28.44%      1.131      262     29.94%      1.280       3     26.70%      1.171
ReassertionProcessing        MixedStructure                     18      0.26%      1.016        8      1.65%      1.452        2      0.32%      0.951       3      0.74%      1.140
RecoveryResolution           ExhaustionPersistence             530     10.88%      1.050       14      7.07%      0.723       62     15.70%      1.398       3     11.21%      1.057
ConstructiveEmergence        NeutralProcessing                   4     25.00%      0.778        1     50.00%      1.297        0      0.00%        N/A       2     37.50%      1.038
RecoveryResolution           MixedStructure                     12      0.25%      0.965        3      1.52%      1.331        1      0.25%      0.754       3      0.67%      1.017
ExhaustionPersistence        DecayToNeutral                    146      4.00%      1.138        6      3.17%      0.797       11      3.65%      1.023       3      3.61%      0.986
ReassertionProcessing        NeutralProcessing                2133     30.73%      0.956      172     35.54%      0.922      214     34.08%      1.045       3     33.45%      0.975
CompressionProcessing        RecoveryResolution                765     11.89%      0.860       24     13.41%      1.309       34     10.46%      0.708       3     11.92%      0.959
DecayToNeutral               ReassertionProcessing             275     22.20%      1.127       16     20.78%      0.830       19     19.79%      0.847       3     20.92%      0.935
ConstructiveEmergence        RecoveryResolution                  2     12.50%      0.905        0      0.00%        N/A        0      0.00%        N/A       1     12.50%      0.905
NeutralProcessing            DestructiveRotation               208      1.84%      0.949       12      1.62%      0.916       13      1.49%      0.782       3      1.65%      0.882
CompressionProcessing        DecayToNeutral                    183      2.84%      0.809        8      4.47%      1.122        8      2.46%      0.687       3      3.26%      0.873
NeutralProcessing            MixedStructure                     22      0.19%      0.761        7      0.94%      0.826        3      0.34%      1.022       3      0.49%      0.870
ExhaustionPersistence        DestructiveRotation                59      1.62%      0.835        4      2.12%      1.203        3      1.00%      0.525       3      1.58%      0.855
DestructiveRotation          ReassertionProcessing             112     16.45%      0.834        9     26.47%      1.057        8     15.69%      0.671       3     19.53%      0.854
NeutralProcessing            ConstructiveEmergence               2      0.02%      0.389        1      0.13%      1.297        0      0.00%        N/A       2      0.08%      0.843
MixedStructure               RecoveryResolution                  9     10.00%      0.724        2      9.09%      0.888        1     11.11%      0.754       3     10.07%      0.788
CompressionProcessing        ExhaustionPersistence             594      9.23%      0.891        8      4.47%      0.457       37     11.38%      1.013       3      8.36%      0.787
CompressionProcessing        DestructiveRotation               132      2.05%      1.061        1      0.56%      0.318        6      1.85%      0.970       3      1.49%      0.783
ReassertionProcessing        ExhaustionPersistence             508      7.32%      0.707       43      8.88%      0.909       47      7.48%      0.668       3      7.90%      0.761
ExhaustionPersistence        MixedStructure                      7      0.19%      0.751        0      0.00%        N/A        0      0.00%        N/A       1      0.19%      0.751
CompressionProcessing        NeutralProcessing                1557     24.20%      0.753       47     26.26%      0.681       82     25.23%      0.772       3     25.23%      0.735
CompressionProcessing        ReassertionProcessing             862     13.40%      0.680       33     18.44%      0.736       57     17.54%      0.748       3     16.46%      0.722
MixedStructure               ReassertionProcessing              15     16.67%      0.847        2      9.09%      0.363        2     22.22%      0.951       3     15.99%      0.720
DecayToNeutral               RecoveryResolution                127     10.25%      0.742        5      6.49%      0.634       11     11.46%      0.777       3      9.40%      0.718
DecayToNeutral               DestructiveRotation                21      1.69%      0.876        0      0.00%        N/A        1      1.04%      0.549       2      1.37%      0.713
CompressionProcessing        MixedStructure                      7      0.11%      0.426        2      1.12%      0.982        0      0.00%        N/A       2      0.61%      0.704
MixedStructure               CompressionProcessing               8      8.89%      0.487        0      0.00%        N/A        1     11.11%      0.916       2     10.00%      0.701
MixedStructure               ExhaustionPersistence               6      6.67%      0.644        1      4.55%      0.465        1     11.11%      0.992       3      7.44%      0.700
CompressionProcessing        ConstructiveEmergence               2      0.03%      0.685        0      0.00%        N/A        0      0.00%        N/A       1      0.03%      0.685
NeutralProcessing            DecayToNeutral                    291      2.57%      0.731       20      2.70%      0.674       20      2.29%      0.639       3      2.52%      0.681
DecayToNeutral               ExhaustionPersistence              74      5.97%      0.577        5      6.49%      0.664        8      8.33%      0.744       3      6.93%      0.662
ReassertionProcessing        RecoveryResolution                655      9.44%      0.683       28      5.79%      0.565       57      9.08%      0.616       3      8.10%      0.621
ExhaustionPersistence        NeutralProcessing                 712     19.50%      0.607       43     22.75%      0.590       62     20.60%      0.632       3     20.95%      0.610
RecoveryResolution           DestructiveRotation                60      1.23%      0.637        2      1.01%      0.574        4      1.01%      0.532       3      1.08%      0.581
ExhaustionPersistence        ReassertionProcessing             481     13.17%      0.669       22     11.64%      0.465       40     13.29%      0.569       3     12.70%      0.568
DestructiveRotation          NeutralProcessing                 105     15.42%      0.479        8     23.53%      0.611       10     19.61%      0.601       3     19.52%      0.564
NeutralProcessing            CompressionProcessing            1188     10.48%      0.575       35      4.72%      0.507       56      6.40%      0.527       3      7.20%      0.536
NeutralProcessing            ExhaustionPersistence             638      5.63%      0.544       42      5.66%      0.577       40      4.57%      0.408       3      5.29%      0.509
ExhaustionPersistence        CompressionProcessing             314      8.60%      0.471       11      5.82%      0.629       13      4.32%      0.356       3      6.25%      0.485
NeutralProcessing            RecoveryResolution                786      6.94%      0.502       35      4.72%      0.459       63      7.20%      0.488       3      6.28%      0.483
ReassertionProcessing        CompressionProcessing             704     10.14%      0.556       19      3.93%      0.424       31      4.94%      0.407       3      6.34%      0.462
DecayToNeutral               CompressionProcessing             136     10.98%      0.602        1      1.30%      0.140        6      6.25%      0.515       3      6.18%      0.419
RecoveryResolution           DecayToNeutral                     89      1.83%      0.520        2      1.01%      0.254        6      1.52%      0.424       3      1.45%      0.399
RecoveryResolution           NeutralProcessing                 543     11.14%      0.347       35     17.68%      0.459       42     10.63%      0.325       3     13.15%      0.377
RecoveryResolution           ReassertionProcessing             332      6.81%      0.346       23     11.62%      0.464       23      5.82%      0.249       3      8.08%      0.353
ConstructiveEmergence        CompressionProcessing               1      6.25%      0.342        0      0.00%        N/A        0      0.00%        N/A       1      6.25%      0.342
DestructiveRotation          CompressionProcessing              48      7.05%      0.386        1      2.94%      0.318        2      3.92%      0.323       3      4.64%      0.342

Lag 5
Source                       Target                           6E_N    6E_Prob    6E_Lift     NQ_N    NQ_Prob    NQ_Lift     CL_N    CL_Prob    CL_Lift  ValidN   MeanProb   MeanLift
MixedStructure               ConstructiveEmergence               1      1.11%     24.490        0      0.00%        N/A        0      0.00%        N/A       1      1.11%     24.490
MixedStructure               MixedStructure                      2      2.22%      8.707        0      0.00%        N/A        0      0.00%        N/A       1      2.22%      8.707
ConstructiveEmergence        DecayToNeutral                      3     18.75%      5.337        0      0.00%        N/A        0      0.00%        N/A       1     18.75%      5.337
ConstructiveEmergence        ExhaustionPersistence               1      6.25%      0.604        0      0.00%        N/A        1    100.00%      8.934       2     53.12%      4.769
DestructiveRotation          ConstructiveEmergence               1      0.15%      3.232        0      0.00%        N/A        0      0.00%        N/A       1      0.15%      3.232
ExhaustionPersistence        ConstructiveEmergence               2      0.05%      1.207        1      0.53%      5.119        0      0.00%        N/A       2      0.29%      3.163
ReassertionProcessing        ConstructiveEmergence               4      0.06%      1.270        0      0.00%        N/A        1      0.16%      4.282       2      0.11%      2.776
DecayToNeutral               MixedStructure                      8      0.65%      2.530        1      1.30%      1.142        0      0.00%        N/A       2      0.97%      1.836
RecoveryResolution           ConstructiveEmergence               4      0.08%      1.809        0      0.00%        N/A        0      0.00%        N/A       1      0.08%      1.809
DecayToNeutral               ConstructiveEmergence               1      0.08%      1.779        0      0.00%        N/A        0      0.00%        N/A       1      0.08%      1.779
DestructiveRotation          MixedStructure                      3      0.44%      1.724        0      0.00%        N/A        0      0.00%        N/A       1      0.44%      1.724
DestructiveRotation          RecoveryResolution                121     17.77%      1.284        5     14.71%      1.437       14     27.45%      1.864       3     19.97%      1.528
DestructiveRotation          DestructiveRotation                20      2.94%      1.516        0      0.00%        N/A        0      0.00%        N/A       1      2.94%      1.516
DestructiveRotation          ExhaustionPersistence              99     14.54%      1.402        6     17.65%      1.807        7     13.73%      1.226       3     15.30%      1.478
ExhaustionPersistence        ExhaustionPersistence             523     14.32%      1.383       27     14.29%      1.463       49     16.28%      1.454       3     14.96%      1.433
MixedStructure               NeutralProcessing                  37     41.11%      1.279       14     63.64%      1.653        4     44.44%      1.364       3     49.73%      1.432
ConstructiveEmergence        NeutralProcessing                   8     50.00%      1.556        1     50.00%      1.299        0      0.00%        N/A       2     50.00%      1.427
ExhaustionPersistence        RecoveryResolution                582     15.94%      1.153       31     16.40%      1.603       64     21.26%      1.444       3     17.87%      1.400
CompressionProcessing        DecayToNeutral                    236      3.67%      1.044       12      6.70%      1.685       16      4.92%      1.375       3      5.10%      1.368
ExhaustionPersistence        CompressionProcessing             726     19.88%      1.089       27     14.29%      1.544       51     16.94%      1.398       3     17.04%      1.344
RecoveryResolution           CompressionProcessing            1041     21.36%      1.171       22     11.11%      1.201       75     18.99%      1.562       3     17.15%      1.311
RecoveryResolution           DestructiveRotation               118      2.42%      1.252        5      2.53%      1.437        9      2.28%      1.198       3      2.41%      1.296
CompressionProcessing        MixedStructure                     10      0.16%      0.609        4      2.23%      1.965        0      0.00%        N/A       2      1.20%      1.287
DecayToNeutral               DestructiveRotation                30      2.42%      1.252        2      2.60%      1.478        2      2.11%      1.098       3      2.37%      1.276
RecoveryResolution           ExhaustionPersistence             649     13.32%      1.286       18      9.09%      0.931       68     17.22%      1.534       3     13.21%      1.250
RecoveryResolution           RecoveryResolution                865     17.75%      1.285       24     12.12%      1.185       74     18.73%      1.269       3     16.20%      1.246
RecoveryResolution           MixedStructure                     14      0.29%      1.126        3      1.52%      1.333        0      0.00%        N/A       2      0.90%      1.229
NeutralProcessing            ReassertionProcessing            2512     22.17%      1.126      213     28.78%      1.143      283     32.38%      1.383       3     27.78%      1.218
DestructiveRotation          CompressionProcessing             153     22.47%      1.229        3      8.82%      0.954        9     17.65%      1.456       3     16.31%      1.213
MixedStructure               DecayToNeutral                      4      4.44%      1.265        1      4.55%      1.142        0      0.00%        N/A       2      4.49%      1.204
CompressionProcessing        CompressionProcessing            1247     19.38%      1.062       26     14.53%      1.570       37     11.38%      0.936       3     15.10%      1.189
CompressionProcessing        RecoveryResolution               1025     15.93%      1.153       26     14.53%      1.420       47     14.46%      0.979       3     14.97%      1.184
ConstructiveEmergence        ReassertionProcessing               1      6.25%      0.317        1     50.00%      1.999        0      0.00%        N/A       2     28.12%      1.158
ExhaustionPersistence        MixedStructure                     12      0.33%      1.288        0      0.00%        N/A        1      0.33%      0.993       2      0.33%      1.140
MixedStructure               RecoveryResolution                  6      6.67%      0.482        3     13.64%      1.333        2     22.22%      1.509       3     14.18%      1.108
ReassertionProcessing        NeutralProcessing                2424     34.93%      1.087      191     39.46%      1.025      248     39.49%      1.212       3     37.96%      1.108
DecayToNeutral               ReassertionProcessing             278     22.44%      1.140       21     27.27%      1.090       24     25.26%      1.070       3     24.99%      1.100
DecayToNeutral               RecoveryResolution                173     13.96%      1.010        7      9.09%      0.888       19     20.00%      1.344       3     14.35%      1.081
ReassertionProcessing        MixedStructure                     19      0.27%      1.072        4      0.83%      0.727        3      0.48%      1.427       3      0.53%      1.076
ReassertionProcessing        ReassertionProcessing            1530     22.05%      1.120      135     27.89%      1.115      139     22.13%      0.948       3     24.03%      1.061
RecoveryResolution           DecayToNeutral                    179      3.67%      1.046       10      5.05%      1.269       12      3.04%      0.849       3      3.92%      1.055
NeutralProcessing            NeutralProcessing                4146     36.59%      1.139      283     38.24%      0.987      293     33.52%      1.027       3     36.12%      1.051
ReassertionProcessing        DestructiveRotation                98      1.41%      0.730        7      1.45%      0.823       19      3.03%      1.595       3      1.96%      1.049
ReassertionProcessing        DecayToNeutral                    233      3.36%      0.955       19      3.93%      0.987       27      4.30%      1.204       3      3.86%      1.049
DecayToNeutral               NeutralProcessing                 365     29.46%      0.917       34     44.16%      1.147       33     34.74%      1.055       3     36.12%      1.040
ExhaustionPersistence        DestructiveRotation                66      1.81%      0.934        4      2.12%      1.204        5      1.66%      0.876       3      1.86%      1.005
DecayToNeutral               ExhaustionPersistence             130     10.49%      1.013        8     10.39%      1.064        9      9.47%      0.838       3     10.12%      0.971
NeutralProcessing            DecayToNeutral                    385      3.40%      0.967       28      3.78%      0.944       31      3.55%      0.991       3      3.58%      0.968
MixedStructure               CompressionProcessing              16     17.78%      0.974        0      0.00%        N/A        1     11.11%      0.916       2     14.44%      0.945
CompressionProcessing        NeutralProcessing                1924     29.90%      0.931       65     36.31%      0.943      102     31.38%      0.960       3     32.53%      0.945
CompressionProcessing        DestructiveRotation               149      2.32%      1.197        2      1.12%      0.636        6      1.85%      0.970       3      1.76%      0.935
DestructiveRotation          NeutralProcessing                 162     23.79%      0.739       15     44.12%      1.146       15     29.41%      0.903       3     32.44%      0.929
ReassertionProcessing        ExhaustionPersistence             603      8.69%      0.839       50     10.33%      1.058       58      9.24%      0.825       3      9.42%      0.907
CompressionProcessing        ExhaustionPersistence             687     10.68%      1.031        8      4.47%      0.458       44     13.54%      1.206       3      9.56%      0.898
CompressionProcessing        ReassertionProcessing            1155     17.95%      0.912       36     20.11%      0.804       73     22.46%      0.959       3     20.17%      0.892
ExhaustionPersistence        DecayToNeutral                    132      3.62%      1.029        6      3.17%      0.798        9      2.99%      0.838       3      3.26%      0.888
NeutralProcessing            MixedStructure                     20      0.18%      0.692        8      1.08%      0.944        3      0.34%      1.023       3      0.53%      0.886
MixedStructure               ReassertionProcessing              17     18.89%      0.960        4     18.18%      0.727        2     22.22%      0.952       3     19.76%      0.879
NeutralProcessing            DestructiveRotation               200      1.77%      0.913       14      1.89%      1.069       10      1.14%      0.602       3      1.60%      0.861
NeutralProcessing            CompressionProcessing            1792     15.82%      0.867       61      8.24%      0.885       87      9.95%      0.819       3     11.34%      0.857
RecoveryResolution           NeutralProcessing                1265     25.96%      0.808       74     37.37%      0.971      102     25.82%      0.791       3     29.72%      0.856
ReassertionProcessing        CompressionProcessing            1249     18.00%      0.986       36      7.44%      0.804       59      9.39%      0.775       3     11.61%      0.855
ExhaustionPersistence        NeutralProcessing                 997     27.31%      0.850       65     34.39%      0.893       76     25.25%      0.775       3     28.98%      0.839
DestructiveRotation          DecayToNeutral                     22      3.23%      0.918        1      2.94%      0.739        0      0.00%        N/A       2      3.09%      0.829
NeutralProcessing            ExhaustionPersistence             954      8.42%      0.813       72      9.73%      0.989       65      7.44%      0.663       3      8.53%      0.822
ReassertionProcessing        RecoveryResolution                779     11.23%      0.812       42      8.68%      0.848       74     11.78%      0.800       3     10.56%      0.820
NeutralProcessing            RecoveryResolution               1321     11.66%      0.844       60      8.11%      0.787      102     11.67%      0.791       3     10.48%      0.807
NeutralProcessing            ConstructiveEmergence               1      0.01%      0.195        1      0.14%      1.299        0      0.00%        N/A       2      0.07%      0.747
RecoveryResolution           ReassertionProcessing             738     15.14%      0.769       42     21.21%      0.848       55     13.92%      0.595       3     16.76%      0.737
ExhaustionPersistence        ReassertionProcessing             611     16.74%      0.850       28     14.81%      0.592       46     15.28%      0.654       3     15.61%      0.699
DecayToNeutral               CompressionProcessing             209     16.87%      0.924        4      5.19%      0.562        7      7.37%      0.601       3      9.81%      0.696
CompressionProcessing        ConstructiveEmergence               2      0.03%      0.685        0      0.00%        N/A        0      0.00%        N/A       1      0.03%      0.685
ConstructiveEmergence        CompressionProcessing               2     12.50%      0.685        0      0.00%        N/A        0      0.00%        N/A       1     12.50%      0.685
DecayToNeutral               DecayToNeutral                     45      3.63%      1.034        0      0.00%        N/A        1      1.05%      0.292       2      2.34%      0.663
MixedStructure               ExhaustionPersistence               6      6.67%      0.644        0      0.00%        N/A        0      0.00%        N/A       1      6.67%      0.644
MixedStructure               DestructiveRotation                 1      1.11%      0.575        0      0.00%        N/A        0      0.00%        N/A       1      1.11%      0.575
DestructiveRotation          ReassertionProcessing             100     14.68%      0.745        4     11.76%      0.470        6     11.76%      0.504       3     12.74%      0.573
ConstructiveEmergence        RecoveryResolution                  1      6.25%      0.452        0      0.00%        N/A        0      0.00%        N/A       1      6.25%      0.452

Aggregate Rankings
==================

1. Most common structural states
................................
  1. NeutralProcessing            MeanFreq=34.46%
  2. ReassertionProcessing        MeanFreq=22.72%
  3. CompressionProcessing        MeanFreq=13.22%
  4. RecoveryResolution           MeanFreq=12.94%
  5. ExhaustionPersistence        MeanFreq=10.45%
  6. DecayToNeutral               MeanFreq=3.69%
  7. DestructiveRotation          MeanFreq=1.87%
  8. MixedStructure               MeanFreq=0.58%
  9. ConstructiveEmergence        MeanFreq=0.06%

2. Highest continuation structural states
.........................................
  1. MixedStructure               MeanCont=52.14% MeanFail=45.85% ValidN=3
  2. RecoveryResolution           MeanCont=49.81% MeanFail=48.38% ValidN=3
  3. NeutralProcessing            MeanCont=48.25% MeanFail=49.61% ValidN=3
  4. ReassertionProcessing        MeanCont=48.01% MeanFail=49.71% ValidN=3
  5. CompressionProcessing        MeanCont=47.77% MeanFail=50.30% ValidN=3
  6. DecayToNeutral               MeanCont=47.34% MeanFail=51.34% ValidN=3
  7. ExhaustionPersistence        MeanCont=47.29% MeanFail=50.45% ValidN=3
  8. DestructiveRotation          MeanCont=47.27% MeanFail=51.34% ValidN=3
  9. ConstructiveEmergence        MeanCont=35.42% MeanFail=64.58% ValidN=3

3. Strongest replicated lag-1 transitions
.........................................
  1. DestructiveRotation->DecayToNeutral               MeanLift=15.401 MeanProb=54.64% TotalN=386 ValidN=2
  2. ExhaustionPersistence->ExhaustionPersistence        MeanLift=6.847 MeanProb=71.19% TotalN=2934 ValidN=3
  3. DecayToNeutral->DecayToNeutral               MeanLift=6.178 MeanProb=23.41% TotalN=248 ValidN=2
  4. RecoveryResolution->RecoveryResolution           MeanLift=5.602 MeanProb=70.83% TotalN=3771 ValidN=3
  5. CompressionProcessing->CompressionProcessing        MeanLift=5.274 MeanProb=65.47% TotalN=4772 ValidN=3
  6. ReassertionProcessing->ReassertionProcessing        MeanLift=3.055 MeanProb=68.74% TotalN=5472 ValidN=3
  7. NeutralProcessing->NeutralProcessing            MeanLift=2.312 MeanProb=79.20% TotalN=10231 ValidN=3
  8. RecoveryResolution->CompressionProcessing        MeanLift=1.936 MeanProb=23.88% TotalN=1429 ValidN=3
  9. ReassertionProcessing->DecayToNeutral               MeanLift=1.406 MeanProb=5.16% TotalN=426 ValidN=3
 10. DecayToNeutral->NeutralProcessing            MeanLift=1.141 MeanProb=39.06% TotalN=499 ValidN=3
 11. ExhaustionPersistence->RecoveryResolution           MeanLift=1.003 MeanProb=14.35% TotalN=525 ValidN=2
 12. NeutralProcessing->ReassertionProcessing        MeanLift=0.591 MeanProb=13.40% TotalN=1564 ValidN=3
 13. RecoveryResolution->ExhaustionPersistence        MeanLift=0.454 MeanProb=4.93% TotalN=220 ValidN=2
 14. ReassertionProcessing->NeutralProcessing            MeanLift=0.405 MeanProb=13.92% TotalN=1114 ValidN=3
 15. CompressionProcessing->NeutralProcessing            MeanLift=0.398 MeanProb=13.70% TotalN=834 ValidN=3
 16. CompressionProcessing->ReassertionProcessing        MeanLift=0.392 MeanProb=9.04% TotalN=472 ValidN=3
 17. ReassertionProcessing->ExhaustionPersistence        MeanLift=0.365 MeanProb=3.95% TotalN=267 ValidN=2
 18. ReassertionProcessing->RecoveryResolution           MeanLift=0.279 MeanProb=3.96% TotalN=349 ValidN=2
 19. ExhaustionPersistence->NeutralProcessing            MeanLift=0.188 MeanProb=6.10% TotalN=223 ValidN=2

Mechanical Research Notes
=========================
- This study compresses exact family paths into finite structural states.
- A strong result would show persistent, replicated structural-state transitions across instruments.
- This is still descriptive research, not an entry model or trading policy.
- If useful, the next validation step should freeze these state rules and walk them forward.
