ConditionQuantile,File,Count,MeanSignedReturn,MedianSignedReturn,StdSignedReturn,TStat,PositiveRowFraction,ZeroRowFraction,NegativeRowFraction,MeanCondition,MinCondition,MaxCondition
Q1,xApvaV01StateLog_ES.csv,510,2.0965686274509805,-0.25,18.63576169463671,2.540662764099074,0.47843137254901963,0.01568627450980392,0.5058823529411764,0.0,0.0,0.0
Q2,xApvaV01StateLog_ES.csv,510,-0.06813725490196078,0.0,11.400941757053461,-0.13496743483264687,0.4980392156862745,0.011764705882352941,0.49019607843137253,0.0,0.0,0.0
Q3,xApvaV01StateLog_ES.csv,509,-0.8040275049115914,-0.5,11.512404662340453,-1.5756644993635305,0.4715127701375246,0.0137524557956778,0.5147347740667977,0.0,0.0,0.0
Q4,xApvaV01StateLog_ES.csv,510,0.48480392156862745,0.25,11.375431055145027,0.9624614636064747,0.5019607843137255,0.01764705882352941,0.4803921568627451,0.2770588235294118,0.0,1.0
