ConditionQuantile,RegimeWeek,Count,MeanSignedReturn,MedianSignedReturn,StdSignedReturn,TStat,PositiveRowFraction,ZeroRowFraction,NegativeRowFraction,MeanCondition,MinCondition,MaxCondition
Q1,2026-W15,256,1.994140625,-1.25,23.87595526974559,1.336333966098102,0.44921875,0.01171875,0.5390625,0.0,0.0,0.0
Q1,2026-W16,194,2.7371134020618557,0.5,12.154492928959657,3.1365831915346725,0.5360824742268041,0.020618556701030927,0.44329896907216493,0.0,0.0,0.0
Q1,2026-W17,60,0.4625,-0.875,6.703279143164667,0.5344413560480985,0.4166666666666667,0.016666666666666666,0.5666666666666667,0.0,0.0,0.0
Q2,2026-W17,197,-0.046954314720812185,0.0,11.81827281412672,-0.055764088606957904,0.49238578680203043,0.02030456852791878,0.4873096446700508,0.0,0.0,0.0
Q2,2026-W18,244,-0.04815573770491803,0.375,10.29690345999878,-0.07305270681889571,0.5081967213114754,0.004098360655737705,0.48770491803278687,0.0,0.0,0.0
Q2,2026-W19,69,-0.19927536231884058,-0.5,13.836863308997604,-0.11963011001582577,0.4782608695652174,0.014492753623188406,0.5072463768115942,0.0,0.0,0.0
Q3,2026-W19,157,-2.143312101910828,-0.5,12.604028781455668,-2.1307174180566943,0.4585987261146497,0.025477707006369428,0.5159235668789809,0.0,0.0,0.0
Q3,2026-W20,265,0.22830188679245284,-0.25,9.716738669073312,0.38248280451076977,0.4830188679245283,0.011320754716981131,0.5056603773584906,0.0,0.0,0.0
Q3,2026-W21,87,-1.5316091954022988,-1.75,14.063797981322447,-1.0157924300168513,0.45977011494252873,0.0,0.5402298850574713,0.0,0.0,0.0
Q4,2026-W15,50,-2.065,-2.25,6.6025679141697955,-2.2115266698227103,0.32,0.06,0.62,0.444,0.1,1.0
Q4,2026-W16,67,1.0895522388059702,0.5,7.223397050417991,1.2346503142166618,0.5223880597014925,0.0,0.47761194029850745,0.42985074626865666,0.1,0.9
Q4,2026-W17,42,-0.6904761904761905,-1.5,5.0947753977067345,-0.8783109753797715,0.38095238095238093,0.047619047619047616,0.5714285714285714,0.42619047619047623,0.1,0.9
Q4,2026-W18,47,-0.6542553191489362,1.5,7.419779893805842,-0.6045123376644504,0.5319148936170213,0.0,0.46808510638297873,0.4021276595744681,0.1,0.9
Q4,2026-W19,55,1.1590909090909092,0.5,13.095479467800423,0.6564134033841655,0.5454545454545454,0.0,0.45454545454545453,0.35272727272727283,0.1,0.6
Q4,2026-W20,46,4.211956521739131,1.75,20.45659139843469,1.3964632938406945,0.5652173913043478,0.0,0.43478260869565216,0.45,0.1,1.0
Q4,2026-W21,203,0.39285714285714285,1.0,11.65983037061732,0.48005438438413867,0.5320197044334976,0.019704433497536946,0.4482758620689655,0.06600985221674877,0.0,1.0
