Group,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveFraction,MaxSignedReturn,MinSignedReturn,Top5SharePositiveSum,Top10SharePositiveSum,Mean_DirectionalMFE,Median_DirectionalMFE,Mean_DirectionalMAE,Median_DirectionalMAE,SequenceColumn
Degrading > Degrading > Unresolved > Unresolved > Unresolved,19,-0.618421052631579,-1.0,-0.4541445549618102,0.42105263157894735,13.0,-13.25,0.3586206896551724,0.5172413793103449,6.25,5.0,-4.947368421052632,-4.75,PriorMacroStateSeq
Balance > Balance > Balance > Balance > Balance,9,-2.7222222222222223,-2.5,-0.8967082766555905,0.3333333333333333,9.75,-17.5,0.47560975609756095,0.47560975609756095,8.194444444444445,5.25,-8.277777777777779,-6.5,PriorMacroStateSeq
CompressionPressure,320,1.93359375,0.25,1.5602711072385822,0.503125,167.25,-46.25,0.5618509267779677,0.6735901143683449,9.9625,5.5,-7.059375,-5.75,PrevDominantPressure
RotationalPressure,55,0.4636363636363636,-0.5,0.27621056084628043,0.4909090909090909,40.0,-37.75,0.3430515063168124,0.5306122448979592,8.877272727272727,6.25,-7.3954545454545455,-4.75,PrevDominantPressure
Stable Compression Basin,131,2.7557251908396947,-0.75,1.1975185674072857,0.4580152671755725,167.25,-46.25,0.6746651785714286,0.7826450892857143,10.807251908396946,4.25,-7.288167938931298,-5.25,PrevResolvedArchetype
Pure Unresolved Compression Equilibrium,168,1.4270833333333333,0.625,0.9434017135900388,0.5238095238095238,162.0,-32.25,0.49227013832384053,0.6053702196908055,9.724702380952381,6.25,-6.715773809523809,-5.75,PrevResolvedArchetype
Sponsor Exhaustion Collapse,40,1.0125,0.875,0.6164078922687302,0.525,21.5,-32.25,0.22869318181818182,0.42045454545454547,7.31875,4.75,-7.28125,-5.125,PrevResolvedArchetype
Unstable Rotational Balance,36,0.08333333333333333,1.0,0.03703268306805273,0.5277777777777778,40.0,-37.75,0.4205748865355522,0.5537065052950075,9.277777777777779,6.5,-8.097222222222221,-5.25,PrevResolvedArchetype
Unresolved,307,1.9609120521172638,0.0,1.5125538095234963,0.495114006514658,167.25,-46.25,0.5796483750665956,0.6863345764517848,10.194625407166123,5.5,-7.096905537459284,-5.75,PrevMacroState
Degrading,42,0.9642857142857143,0.875,0.6155366120006669,0.5238095238095238,21.5,-32.25,0.3202797202797203,0.48951048951048953,7.148809523809524,4.75,-7.279761904761905,-5.125,PrevMacroState
Balance,26,0.0673076923076923,1.0,0.03125876035882889,0.5384615384615384,29.5,-26.75,0.39709443099273606,0.49878934624697335,9.471153846153847,6.875,-6.971153846153846,-4.625,PrevMacroState
