Group,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveFraction,MaxSignedReturn,MinSignedReturn,Top5SharePositiveSum,Top10SharePositiveSum,Mean_DirectionalMFE,Median_DirectionalMFE,Mean_DirectionalMAE,Median_DirectionalMAE,Path,SequenceColumn
AllEntries,375,1.718,0.25,1.5827551227254144,0.5013333333333333,167.25,-46.25,0.5370541917554423,0.6565539601667438,9.803333333333333,5.5,-7.108666666666666,-5.5,,
BestPrecursorPath,47,4.159574468085107,0.75,1.050840386993258,0.5106382978723404,,,,,,,,,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,PriorDominantPressureSeq
