Stop,Target,CollisionMode,Count,MeanOutcome,MedianOutcome,TStat,WinRate,LossRate,ProfitFactor,MinOutcome,MaxOutcome,Top5PctShareOfPositiveSum,Top10PctShareOfPositiveSum
6.0,32.0,conservative,47,1.5106382978723405,-1.0,1.018823516341827,0.44680851063829785,0.5531914893617021,1.56686626746507,-6.0,32.0,0.489171974522293,0.6700636942675159
4.0,32.0,conservative,47,1.4202127659574468,-4.0,1.0100975608227005,0.3829787234042553,0.6170212765957447,1.6166281755196306,-4.0,32.0,0.5485714285714286,0.73
6.0,24.0,conservative,47,1.4095744680851063,-1.0,1.039367894112157,0.44680851063829785,0.5531914893617021,1.528942115768463,-6.0,24.0,0.37597911227154046,0.6266318537859008
2.0,32.0,conservative,47,1.3670212765957446,-2.0,1.094024931521903,0.23404255319148937,0.7659574468085106,1.8923611111111112,-2.0,32.0,0.7045871559633028,0.8165137614678899
4.0,24.0,conservative,47,1.3191489361702127,-4.0,1.037306794242611,0.3829787234042553,0.6170212765957447,1.5727482678983833,-4.0,24.0,0.42290748898678415,0.7048458149779736
8.0,32.0,conservative,47,1.2606382978723405,-0.5,0.8105468047874855,0.46808510638297873,0.5106382978723404,1.4079173838209982,-8.0,32.0,0.46943765281173594,0.6430317848410758
6.0,20.0,conservative,47,1.25,-1.0,0.9880796699642908,0.44680851063829785,0.5531914893617021,1.469061876247505,-6.0,20.0,0.32608695652173914,0.5434782608695652
4.0,20.0,conservative,47,1.1595744680851063,-4.0,0.9878831637312234,0.3829787234042553,0.6170212765957447,1.5034642032332564,-4.0,20.0,0.3686635944700461,0.6144393241167435
8.0,24.0,conservative,47,1.1595744680851063,-0.5,0.8081898509559977,0.46808510638297873,0.5106382978723404,1.3752151462994837,-8.0,24.0,0.360450563204005,0.6007509386733417
6.0,16.0,conservative,47,1.0797872340425532,-1.0,0.9206113554289074,0.44680851063829785,0.5531914893617021,1.405189620758483,-6.0,16.0,0.2727272727272727,0.45454545454545453
12.0,32.0,conservative,47,1.0691489361702127,0.0,0.6429412475295534,0.48936170212765956,0.48936170212765956,1.3018018018018018,-12.0,32.0,0.4429065743944637,0.6101499423298731
