Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection,InTargetState,TargetEntry,PriorDominantPressureSeq
ES,xApvaV01StateLog_ES.csv,50,2026-04-06 10:45:00,Unresolved,Unresolved->Degrading->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.1567796494427114,0.5555555555555556,0.7,0.0,0.0,0.0956701692006535,0.0694444444444444,0.6638123830209416,0.4613788816489264,CompressionPressure,0.6638123830209416,6635.5,6636.0,6631.5,6635.0,Down,-1,6635.75,4.5,7.875,5,6631.0,-4.0,-0.5079365079365079,4.0,0.5079365079365079,9.0,0.0,1.1428571428571428,0.0,1,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,175,2026-04-07 13:40:00,Unresolved,Unresolved->Balance->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,6662.75,6665.5,6657.25,6658.5,Up,1,6663.0,8.25,10.410714285714286,5,6825.75,167.25,16.06518010291595,167.25,16.06518010291595,178.25,-1.25,17.121783876500857,-0.1200686106346483,1,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,237,2026-04-08 11:20:00,Unresolved,Balance->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.9709505944517832,0.4444444444444444,0.6,0.0,0.0,0.1103838173345075,0.0555555555555555,0.6615378100689858,0.3790621092029942,CompressionPressure,0.6615378100689858,6828.25,6831.25,6808.0,6813.0,Down,-1,6828.5,23.25,6.607142857142857,5,6804.75,-8.25,-1.2486486486486488,8.25,1.2486486486486488,9.0,-6.25,1.3621621621621622,-0.945945945945946,1,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,249,2026-04-08 12:20:00,Unresolved,Balance->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.9999999999971146,0.3333333333333333,0.5,0.0,0.0,0.1086458333335542,0.0416666666666666,0.6458333333335138,0.3437499999993688,CompressionPressure,0.6458333333335138,6808.0,6809.5,6800.5,6802.25,Up,1,6807.75,9.0,8.375,5,6811.25,9.0,1.0746268656716418,9.0,1.0746268656716418,12.5,-4.0,1.492537313432836,-0.4776119402985074,1,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,342,2026-04-09 12:35:00,Unresolved,Unresolved->Balance->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.1567796494427114,0.2222222222222222,0.7,0.0,0.0,0.1321285025339868,0.0277777777777777,0.747145716354275,0.3363788816489264,CompressionPressure,0.747145716354275,6863.25,6871.25,6862.5,6866.75,Up,1,6863.0,8.75,5.696428571428571,5,6862.0,-4.75,-0.8338557993730408,-4.75,-0.8338557993730408,3.75,-5.25,0.658307210031348,-0.9216300940438872,0,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,378,2026-04-10 08:05:00,Unresolved,Unresolved->Balance->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.1567796494427114,0.5555555555555556,0.7,0.0,0.0,0.0956701692006535,0.0694444444444444,0.6638123830209416,0.4613788816489264,CompressionPressure,0.6638123830209416,6876.0,6876.75,6873.0,6873.75,Up,1,6875.75,3.75,6.160714285714286,5,6875.0,1.25,0.2028985507246377,1.25,0.2028985507246377,9.25,-2.5,1.501449275362319,-0.4057971014492754,1,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,629,2026-04-14 14:00:00,Unresolved,Unresolved->Balance->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.8812908992278072,0.3333333333333333,0.7,0.0,0.0,0.1410678321945376,0.0416666666666666,0.7365859854649287,0.3177823842060828,CompressionPressure,0.7365859854649287,7004.75,7005.0,7003.75,7004.25,Up,1,7005.0,1.25,3.107142857142857,5,7011.75,7.5,2.413793103448276,7.5,2.413793103448276,20.5,-0.25,6.597701149425287,-0.0804597701149425,1,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,775,2026-04-16 11:10:00,Unresolved,Balance->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.9999999999971146,0.4444444444444444,0.5,0.0,0.0,0.0964930555557764,0.0555555555555555,0.618055555555736,0.3854166666660354,CompressionPressure,0.618055555555736,7068.5,7070.0,7061.25,7063.75,Down,-1,7068.5,8.75,5.946428571428571,5,7066.5,2.75,0.4624624624624625,-2.75,-0.4624624624624625,7.5,-5.25,1.2612612612612613,-0.882882882882883,0,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,851,2026-04-17 10:00:00,Unresolved,Balance->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.9999999999971146,0.4444444444444444,0.5,0.0,0.0,0.0964930555557764,0.0555555555555555,0.618055555555736,0.3854166666660354,CompressionPressure,0.618055555555736,7183.25,7183.25,7180.75,7181.0,Down,-1,7183.0,2.5,4.660714285714286,5,7157.0,-24.0,-5.149425287356322,24.0,5.149425287356322,29.5,-2.75,6.329501915708812,-0.5900383141762452,1,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,878,2026-04-17 12:15:00,Unresolved,Unresolved->Balance->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.8812908992278072,0.3333333333333333,0.7,0.0,0.0,0.1410678321945376,0.0416666666666666,0.7365859854649287,0.3177823842060828,CompressionPressure,0.7365859854649287,7155.5,7156.25,7151.0,7153.0,Down,-1,7155.5,5.25,5.375,5,7161.5,8.5,1.5813953488372092,-8.5,-1.5813953488372092,0.75,-9.75,0.1395348837209302,-1.813953488372093,0,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,883,2026-04-17 12:40:00,Unresolved,Balance->Balance->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.9709505944517832,0.5555555555555556,0.6,0.0,0.0,0.0982310395567297,0.0694444444444444,0.633760032291208,0.4207287758696609,CompressionPressure,0.633760032291208,7159.25,7162.75,7157.25,7161.5,Up,1,7159.0,5.5,4.946428571428571,5,7163.5,2.0,0.4043321299638989,2.0,0.4043321299638989,4.0,-3.25,0.8086642599277979,-0.6570397111913358,1,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,926,2026-04-20 08:45:00,Unresolved,Degrading->Degrading->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.1567796494427114,0.3333333333333333,0.7,0.0,0.0,0.119975724756209,0.0416666666666666,0.7193679385764972,0.3780455483155931,CompressionPressure,0.7193679385764972,7136.25,7140.75,7134.5,7135.5,Up,1,7136.25,6.25,9.357142857142858,5,7134.75,-0.75,-0.0801526717557251,-0.75,-0.0801526717557251,3.5,-4.75,0.3740458015267175,-0.5076335877862596,0,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,1027,2026-04-21 09:40:00,Unresolved,Degrading->Degrading->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.9709505944517832,0.6666666666666666,0.6,0.0,0.0,0.086078261778952,0.0833333333333333,0.6059822545134302,0.4623954425363276,CompressionPressure,0.6059822545134302,7128.5,7131.0,7122.0,7124.25,Down,-1,7128.25,9.0,7.089285714285714,5,7118.5,-5.75,-0.8110831234256927,5.75,0.8110831234256927,10.75,-1.25,1.5163727959697733,-0.1763224181360201,1,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,1070,2026-04-21 13:15:00,Unresolved,Unresolved->Degrading->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.9999999999971146,0.5555555555555556,0.5,0.0,0.0,0.0843402777779986,0.0694444444444444,0.5902777777779582,0.4270833333327021,CompressionPressure,0.5902777777779582,7123.25,7137.0,7109.75,7124.75,Up,1,7123.0,27.25,15.767857142857142,5,7123.75,-1.0,-0.0634201585503963,-1.0,-0.0634201585503963,5.5,-4.75,0.3488108720271801,-0.3012457531143828,0,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,1109,2026-04-22 09:00:00,Unresolved,Balance->Degrading->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,7155.5,7159.25,7154.5,7154.75,Down,-1,7155.25,4.75,6.285714285714286,5,7154.0,-0.75,-0.1193181818181818,0.75,0.1193181818181818,2.5,-5.5,0.3977272727272727,-0.875,1,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,1143,2026-04-22 11:50:00,Unresolved,Unresolved->Balance->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.4444444444444444,0.6,0.0,0.0,0.085538424773057,0.0555555555555555,0.6412558569575977,0.4500489450928527,CompressionPressure,0.6412558569575977,7156.75,7159.5,7155.75,7157.75,Up,1,7157.0,3.75,3.3035714285714284,5,7157.75,0.0,0.0,0.0,0.0,1.0,-7.75,0.3027027027027027,-2.345945945945946,0,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,1179,2026-04-23 07:20:00,Unresolved,Degrading->Degrading->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,7158.75,7164.75,7158.0,7159.5,Down,-1,7158.75,6.75,6.625,5,7167.25,7.75,1.169811320754717,-7.75,-1.169811320754717,0.5,-10.0,0.0754716981132075,-1.509433962264151,0,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
ES,xApvaV01StateLog_ES.csv,1192,2026-04-23 08:25:00,Unresolved,Degrading->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.5555555555555556,0.6,0.0,0.0,0.0733856469952793,0.0694444444444444,0.6134780791798199,0.4917156117595194,CompressionPressure,0.6134780791798199,7178.25,7179.75,7176.5,7179.25,Up,1,7178.25,3.25,5.535714285714286,5,7170.0,-9.25,-1.6709677419354838,-9.25,-1.6709677419354838,2.25,-13.25,0.4064516129032258,-2.393548387096774,0,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
