XBin,YBin,SurfaceCell,Count,MeanSignedReturn,MedianSignedReturn,StdSignedReturn,TStat,PositiveRowFraction,ZeroRowFraction,NegativeRowFraction,XMean,XMin,XMax,YMean,YMin,YMax,WeekRegimeCount,WeeklyPositiveFraction,WeeklyMeanOfMeans,WeeklyMedianOfMeans,WeeklyMinMean,WeeklyMaxMean
XQ1,YQ1,XQ1|YQ1,209,-0.3456937799043062,0.0,9.851136239717261,-0.5073157938150521,0.48325358851674644,0.019138755980861243,0.49760765550239233,-1.4428232973175173e-12,-1.4428232973175177e-12,-1.4428232973175177e-12,0.0,0.0,0.0,2,0.5,-0.1286651234567901,-0.1286651234567901,-1.09375,0.8364197530864198
XQ1,YQ2,XQ1|YQ2,149,2.454697986577181,0.5,12.578975302928498,2.3820229208978696,0.5302013422818792,0.020134228187919462,0.44966442953020136,-1.4428232973175175e-12,-1.4428232973175177e-12,-1.4428232973175177e-12,0.0,0.0,0.0,3,1.0,8.69646432146432,0.6468253968253969,0.31756756756756754,25.125
XQ1,YQ3,XQ1|YQ3,50,-3.56,-2.5,9.492956572627724,-2.6517556693375886,0.3,0.0,0.7,-1.4428232973175175e-12,-1.4428232973175177e-12,-1.4428232973175177e-12,0.0,0.0,0.0,1,0.0,-3.56,-3.56,-3.56,-3.56
XQ2,YQ1,XQ2|YQ1,30,0.9083333333333333,-0.875,9.132521305877082,0.5447725110483548,0.43333333333333335,0.03333333333333333,0.5333333333333333,0.6123240109886418,0.4689955935863958,0.7219280948844771,0.0,0.0,0.0,2,0.5,0.5868055555555557,0.5868055555555557,-1.0208333333333333,2.1944444444444446
XQ2,YQ3,XQ2|YQ3,104,-0.18990384615384615,0.5,13.616607827521829,-0.1422268202933204,0.5192307692307693,0.019230769230769232,0.46153846153846156,0.09019146030391074,-1.4428232973175177e-12,0.4689955935863958,0.0,0.0,0.0,3,0.6666666666666666,3.82399885583524,4.967391304347826,-2.3453947368421053,8.85
XQ2,YQ4,XQ2|YQ4,222,-0.625,-0.25,9.957652131544398,-0.9351893541846679,0.46846846846846846,0.013513513513513514,0.5180180180180181,0.04436444804065002,-1.4428232973175177e-12,0.4689955935863958,0.0,0.0,0.0,2,0.5,-0.7397980385638298,-0.7397980385638298,-1.4893617021276595,0.009765625
XQ2,YQ5,XQ2|YQ5,30,-2.591666666666667,-2.0,6.615838927350308,-2.145630071190505,0.3,0.03333333333333333,0.6666666666666666,0.15633186452783676,-1.4428232973175177e-12,0.4689955935863958,0.05,0.0,1.0,1,0.0,-2.8229166666666665,-2.8229166666666665,-2.8229166666666665,-2.8229166666666665
XQ3,YQ1,XQ3|YQ1,73,10.743150684931507,0.5,40.66047537831878,2.257463023600308,0.5068493150684932,0.0136986301369863,0.4794520547945205,1.156046453847465,0.8812908992278072,1.2954618442339936,0.0,0.0,0.0,2,1.0,8.476851851851851,8.476851851851851,3.75,13.203703703703704
XQ3,YQ2,XQ3|YQ2,101,0.29455445544554454,-0.25,11.171693920328508,0.2649764361596178,0.48514851485148514,0.009900990099009901,0.504950495049505,1.0402263095784101,0.7219280948844771,1.2954618442339936,0.0,0.0,0.0,3,0.6666666666666666,2.4744560994560993,2.2083333333333335,-0.8076923076923077,6.0227272727272725
XQ3,YQ3,XQ3|YQ3,74,-0.6013513513513513,-0.5,8.763338064872581,-0.59030244934128,0.4594594594594595,0.013513513513513514,0.527027027027027,0.9131693431302131,0.7219280948844771,1.1567796494427114,0.0,0.0,0.0,3,0.3333333333333333,-0.650093984962406,-0.5285714285714286,-2.4342105263157894,1.0125
XQ3,YQ4,XQ3|YQ4,60,-1.4291666666666667,-2.125,11.56394268751908,-0.9573099501658411,0.4666666666666667,0.0,0.5333333333333333,0.8766317582152273,0.7219280948844771,1.1567796494427114,0.0,0.0,0.0,2,0.0,-1.27460407239819,-1.27460407239819,-2.4338235294117645,-0.11538461538461539
XQ3,YQ5,XQ3|YQ5,99,-0.5252525252525253,-1.25,7.217069384231025,-0.7241438818319954,0.3939393939393939,0.050505050505050504,0.5555555555555556,1.0897380824401595,0.7219280948844771,1.2954618442339936,0.3515151515151515,0.0,1.0,7,0.5714285714285714,0.48109335839599005,0.40625,-3.3541666666666665,2.96875
XQ4,YQ1,XQ4|YQ1,52,-0.19230769230769232,-1.375,8.204735508608074,-0.16901830523459904,0.4423076923076923,0.0,0.5576923076923077,1.4029335220047552,1.3567796494412687,1.4854752972230063,0.0,0.0,0.0,2,0.5,0.3090111642743222,0.3090111642743222,-1.553030303030303,2.1710526315789473
