BarIndex,Time,Open,High,Low,Close,Volume,Geometry,VolumePolarity,VolumeDelta,VolumeRank20,VolumeRank50,Range,RangeDelta,RangeRank20,Body,BodyDelta,BodyRank20,CloseLocation,OverlapRatio,CloseInsidePriorRange,CloseInsidePriorBody,BreaksPriorHigh,BreaksPriorLow,ParticipationState,ExpansionState,CompressionState,DissipationState,AcceptanceState,SignificanceState,EvidenceFlags
1373,"2026-04-30 10:30:00",100.25,100.62,100.24,100.28,1165,"HHHL","Black","Up",0.75,0.36,0.38,"Up",0.5,0.03,"Flat",0.1,0.105263,0.473684,True,False,True,False,"Rising","Local","Local","Absent","Contained","Moderate","BreaksPriorHigh;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
1374,"2026-04-30 10:35:00",100.29,100.29,99.19,99.75,3982,"LLLH","Red","Up",1,0.94,1.1,"Up",1,0.54,"Up",1,0.509091,0.045455,False,False,False,True,"Peak","Climactic","Absent","Absent","Accepted","Structural","VolumePeak20;RangePeak20;RangeClimactic20;BreaksPriorLow;AcceptanceAccepted"
1375,"2026-04-30 10:40:00",99.74,99.83,99.55,99.77,975,"InsideBar","Black","Down",0.45,0.2,0.28,"Down",0.2,0.03,"Down",0.15,0.785714,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
1376,"2026-04-30 10:45:00",99.77,99.97,99.53,99.71,1043,"OutsideBar","Red","Up",0.6,0.28,0.44,"Up",0.75,0.06,"Up",0.4,0.409091,0.636364,True,False,True,True,"Rising","Local","Local","Absent","Contained","Moderate","BreaksPriorHigh;BreaksPriorLow;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
1377,"2026-04-30 10:50:00",99.72,99.74,99.1,99.29,2034,"LLLH","Red","Up",0.95,0.78,0.64,"Up",0.95,0.43,"Up",0.9,0.296875,0.328125,False,False,False,True,"Peak","Climactic","Absent","Absent","Accepted","Structural","VolumePeak20;RangePeak20;RangeClimactic20;BreaksPriorLow;AcceptanceAccepted"
1378,"2026-04-30 10:55:00",99.29,99.51,99.2,99.49,1218,"InsideBar","Black","Down",0.85,0.48,0.31,"Down",0.3,0.2,"Down",0.6,0.935484,1,True,True,False,False,"Peak","Absent","Clustered","Absent","Unresolved","Major","VolumePeak20;HighVolumeLowRange;CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
1379,"2026-04-30 11:00:00",99.48,99.62,99.35,99.43,1107,"HHHL","Red","Down",0.6,0.32,0.27,"Down",0.2,0.05,"Down",0.4,0.296296,0.592593,True,True,True,False,"Falling","Absent","Local","Local","Contained","Moderate","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
1380,"2026-04-30 11:05:00",99.43,99.57,99.19,99.42,1013,"LLLH","Red","Down",0.45,0.26,0.38,"Up",0.55,0.01,"Down",0.05,0.605263,0.578947,True,False,False,True,"Falling","Local","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
1381,"2026-04-30 11:10:00",99.44,99.7,99.4,99.7,1207,"HHHL","Black","Up",0.75,0.46,0.3,"Down",0.25,0.26,"Up",0.75,1,0.566667,False,False,True,False,"Rising","Absent","Absent","Local","Accepted","Moderate","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
1382,"2026-04-30 11:15:00",99.7,99.94,99.59,99.91,1743,"HHHL","Black","Up",0.9,0.7,0.35,"Up",0.35,0.21,"Down",0.65,0.914286,0.314286,False,False,True,False,"Peak","Local","Absent","Absent","Accepted","Major","VolumePeak20;HighVolumeLowRange;BreaksPriorHigh;AcceptanceAccepted"
1383,"2026-04-30 11:20:00",99.9,100.14,99.81,99.83,1389,"HHHL","Red","Down",0.85,0.56,0.33,"Down",0.3,0.07,"Down",0.5,0.060606,0.393939,True,True,True,False,"Peak","Absent","Local","Local","Contained","Major","VolumePeak20;HighVolumeLowRange;BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
1384,"2026-04-30 11:25:00",99.83,100.73,99.75,100.7,2469,"OutsideBar","Black","Up",0.95,0.84,0.98,"Up",0.95,0.87,"Up",1,0.969388,0.336735,False,False,True,True,"Peak","Climactic","Absent","Absent","Accepted","Structural","VolumePeak20;RangePeak20;RangeClimactic20;BreaksPriorHigh;BreaksPriorLow;AcceptanceAccepted"
1385,"2026-04-30 11:30:00",100.69,101.07,100.54,100.91,7901,"HHHL","Black","Up",1,1,0.53,"Down",0.7,0.22,"Down",0.6,0.698113,0.358491,False,False,True,False,"Climactic","Absent","Absent","Local","Accepted","Structural","VolumePeak20;VolumeClimactic50;BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
1386,"2026-05-01 06:05:00",99.54,99.63,98.95,99.12,1954,"LLLH","Red","Down",0.8,0.72,0.68,"Up",0.9,0.42,"Up",0.8,0.25,0,False,False,False,True,"Peak","Strong","Absent","Local","Accepted","Structural","VolumePeak20;RangePeak20;BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
1387,"2026-05-01 06:10:00",99.13,99.14,98.55,98.6,1685,"LLLH","Red","Down",0.7,0.68,0.59,"Down",0.7,0.53,"Up",0.9,0.084746,0.322034,False,False,False,True,"Falling","Absent","Absent","Local","Accepted","Moderate","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
1388,"2026-05-01 06:15:00",98.61,98.97,98.57,98.93,1367,"InsideBar","Black","Down",0.6,0.56,0.4,"Down",0.6,0.32,"Down",0.7,0.9,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Moderate","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
1389,"2026-05-01 06:20:00",98.94,99.11,98.71,98.74,880,"HHHL","Red","Down",0.05,0.14,0.4,"Flat",0.6,0.2,"Down",0.5,0.075,0.65,True,True,True,False,"Falling","Absent","Local","Local","Contained","Moderate","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
1390,"2026-05-01 06:25:00",98.74,98.77,98.42,98.52,1072,"LLLH","Red","Up",0.25,0.32,0.35,"Down",0.35,0.22,"Up",0.6,0.285714,0.171429,False,False,False,True,"Rising","Absent","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
1391,"2026-05-01 06:30:00",98.55,98.69,98.27,98.4,1216,"LLLH","Red","Up",0.5,0.52,0.42,"Up",0.65,0.15,"Down",0.4,0.309524,0.642857,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Moderate","BreaksPriorLow;AcceptanceAccepted"
1392,"2026-05-01 06:35:00",98.37,98.69,97.57,97.64,3795,"OutsideBar","Red","Up",0.9,0.9,1.12,"Up",1,0.73,"Up",0.95,0.0625,0.375,False,False,False,True,"Peak","Climactic","Absent","Absent","Accepted","Structural","VolumePeak20;RangePeak20;RangeClimactic20;BreaksPriorLow;AcceptanceAccepted"
1393,"2026-05-01 06:40:00",97.66,97.92,97.47,97.82,2149,"LLLH","Black","Down",0.8,0.8,0.45,"Down",0.65,0.16,"Down",0.35,0.777778,0.777778,True,True,False,True,"Peak","Absent","Local","Local","Contained","Major","VolumePeak20;BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
1394,"2026-05-01 06:45:00",97.82,97.92,97.37,97.42,1450,"OutsideBar","Red","Down",0.6,0.62,0.55,"Up",0.75,0.4,"Up",0.75,0.090909,0.818182,False,False,False,True,"Falling","Local","Absent","Local","Accepted","Moderate","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
1395,"2026-05-01 06:50:00",97.42,97.77,97.3,97.63,2191,"LLLH","Black","Up",0.85,0.82,0.47,"Down",0.65,0.21,"Down",0.5,0.702128,0.851064,True,True,False,True,"Peak","Absent","Clustered","Local","Contained","Major","VolumePeak20;BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionClustered"
