MarketFamily,Policy_Count,Policy_Mean,Policy_Median,Policy_TStat,Policy_WinRate,Policy_ProfitFactor,Policy_Min,Policy_Q25,Policy_Q75,Policy_Q90,Policy_Max,Policy_Sum,InstrumentCount,InstrumentList
IndexFutures,256,0.2591099065935348,0.0696559876173154,1.91305264205348,0.51953125,1.479949676340812,-2.0,-0.9640849443028228,0.9290235604911828,1.9508979740478787,16.06518010291595,66.3321360879449,2,"ES,NQ"
FXFutures,108,-0.2710588459858744,-0.2886904761898276,-1.9397925312426783,0.37037037037037035,0.6274551383072315,-2.0,-1.8125000000001619,0.49484702093404875,1.7685294117646482,3.818181818181048,-29.27435536647443,1,6E
