Instrument,MarketFamily,Policy_Count,Policy_Mean,Policy_Median,Policy_TStat,Policy_WinRate,Policy_ProfitFactor,Policy_Min,Policy_Q25,Policy_Q75,Policy_Q90,Policy_Max,Policy_Sum
ES,IndexFutures,47,0.7401852690212744,-0.0634201585503963,1.3280072768278672,0.48936170212765956,2.3136500852763047,-2.0,-1.1661922100849609,0.5898958333333333,1.9460619884610213,16.06518010291595,34.78870764399989
NQ,IndexFutures,209,0.15092549494710536,0.095592799503414,1.389896439316277,0.5263157894736842,1.2823335971827945,-2.0,-0.9032258064516128,0.975409836065574,1.948531232629904,5.644348452123831,31.543428443945018
6E,FXFutures,108,-0.2710588459858744,-0.2886904761898276,-1.9397925312426783,0.37037037037037035,0.6274551383072315,-2.0,-1.8125000000001619,0.49484702093404875,1.7685294117646482,3.818181818181048,-29.27435536647443
