Instrument,Policy_Count,Policy_Mean,Policy_Median,Policy_Std,Policy_TStat,Policy_WinRate,Policy_LossRate,Policy_ProfitFactor,Policy_GrossWin,Policy_GrossLoss,Policy_Min,Policy_Q25,Policy_Q75,Policy_Q90,Policy_Max,Policy_Top5SharePositiveSum,Policy_Top10SharePositiveSum,Policy_Sum,TimeExit_Count,TimeExit_Mean,TimeExit_Median,TimeExit_Std,TimeExit_TStat,TimeExit_WinRate,TimeExit_LossRate,TimeExit_ProfitFactor,TimeExit_GrossWin,TimeExit_GrossLoss,TimeExit_Min,TimeExit_Q25,TimeExit_Q75,TimeExit_Q90,TimeExit_Max,TimeExit_Top5SharePositiveSum,TimeExit_Top10SharePositiveSum,TimeExit_Sum,SignedNormEntry_Count,SignedNormEntry_Mean,SignedNormEntry_Median,SignedNormEntry_Std,SignedNormEntry_TStat,SignedNormEntry_WinRate,SignedNormEntry_LossRate,SignedNormEntry_ProfitFactor,SignedNormEntry_GrossWin,SignedNormEntry_GrossLoss,SignedNormEntry_Min,SignedNormEntry_Q25,SignedNormEntry_Q75,SignedNormEntry_Q90,SignedNormEntry_Max,SignedNormEntry_Top5SharePositiveSum,SignedNormEntry_Top10SharePositiveSum,SignedNormEntry_Sum,StopRate,MeanMaxFavorableMove,MedianMaxFavorableMove,MeanMaxAdverseMove,MedianMaxAdverseMove
6E,108,-0.00011342592592594119,-5.0000000000105516e-05,0.0005482174376538244,-2.150162907331632,0.37037037037037035,0.5833333333333334,0.5420560747663135,0.014499999999999513,0.026750000000001162,-0.0024999999999999467,-0.0003500000000000725,0.00016250000000006537,0.0005000000000000115,0.0012499999999999734,0.3724137931034351,0.5620689655172366,-0.012250000000001648,108,-0.00011342592592594119,-5.0000000000105516e-05,0.0005482174376538244,-2.150162907331632,0.37037037037037035,0.5833333333333334,0.5420560747663135,0.014499999999999513,0.026750000000001162,-0.0024999999999999467,-0.0003500000000000725,0.00016250000000006537,0.0005000000000000115,0.0012499999999999734,0.3724137931034351,0.5620689655172366,-0.012250000000001648,108,-0.4976728544499419,-0.2540229885059825,2.0190914673377773,-2.5615323032146486,0.37037037037037035,0.5833333333333334,0.4784403042400518,49.30505446206995,103.05372274266367,-8.333333333332751,-1.5014716703455362,0.49484702093404875,1.768529411764648,3.818181818181048,0.37263850639735385,0.5775026302160202,-53.748668280593726,0.0,0.0003587962962962866,0.00024999999999997247,-0.000460648148148156,-0.00034999999999985043
ES,47,4.409574468085107,0.75,26.8434180222887,1.1261799619868662,0.5106382978723404,0.46808510638297873,2.322169059011164,364.0,156.75,-20.0,-5.125,5.25,11.799999999999999,167.25,0.6662087912087912,0.7657967032967034,207.25,47,4.159574468085107,0.75,27.13695266265146,1.050840386993258,0.5106382978723404,0.46808510638297873,2.1602373887240356,364.0,168.5,-32.25,-5.125,5.25,11.799999999999999,167.25,0.6662087912087912,0.7657967032967034,195.5,47,0.6892203811770304,0.0446333687566418,4.2542592112244195,1.110665016470999,0.5106382978723404,0.46808510638297873,1.9782849796465283,65.505752145297,33.11239422997656,-12.202702702702704,-0.7669278996865204,0.7154373950461796,3.14210302256279,16.06518010291595,0.6424570097424921,0.7857115008561342,32.39335791532043,0.06382978723404255,12.882978723404255,5.75,-8.101063829787234,-5.5
NQ,209,-3.9844497607655502,-20.0,27.773509788462455,-2.074009457831518,0.3253588516746411,0.6650717703349283,0.6748340491995314,1728.25,2561.0,-20.0,-20.0,5.5,26.150000000000055,178.0,0.523940402140894,0.7242875741356863,-832.75,209,4.05622009569378,2.25,42.37466115781678,1.3838480844920984,0.5358851674641149,0.44976076555023925,1.3396094141211818,3344.0,2496.25,-223.25,-15.75,20.75,45.60000000000001,200.75,0.3654306220095694,0.5297547846889952,847.75,209,0.12237626348665297,0.1140529531568228,1.9086225686643348,0.9269371258294372,0.5358851674641149,0.44976076555023925,1.2108439614279953,146.8826461057917,121.30600703708123,-14.847980997624704,-0.8516129032258064,1.0602666666666667,1.9552718839246352,5.644348452123831,0.30823257468766063,0.4627241999701054,25.57663906871047,0.5789473684210527,30.986842105263158,22.25,-29.532296650717704,-23.75
