Instrument,RegimeWeek,Policy_Count,Policy_Mean,Policy_Median,Policy_Std,Policy_TStat,Policy_WinRate,Policy_LossRate,Policy_ProfitFactor,Policy_GrossWin,Policy_GrossLoss,Policy_Min,Policy_Q25,Policy_Q75,Policy_Q90,Policy_Max,Policy_Top5SharePositiveSum,Policy_Top10SharePositiveSum,Policy_Sum,TimeExit_Count,TimeExit_Mean,TimeExit_Median,TimeExit_Std,TimeExit_TStat,TimeExit_WinRate,TimeExit_LossRate,TimeExit_ProfitFactor,TimeExit_GrossWin,TimeExit_GrossLoss,TimeExit_Min,TimeExit_Q25,TimeExit_Q75,TimeExit_Q90,TimeExit_Max,TimeExit_Top5SharePositiveSum,TimeExit_Top10SharePositiveSum,TimeExit_Sum,SignedNormEntry_Count,SignedNormEntry_Mean,SignedNormEntry_Median,SignedNormEntry_Std,SignedNormEntry_TStat,SignedNormEntry_WinRate,SignedNormEntry_LossRate,SignedNormEntry_ProfitFactor,SignedNormEntry_GrossWin,SignedNormEntry_GrossLoss,SignedNormEntry_Min,SignedNormEntry_Q25,SignedNormEntry_Q75,SignedNormEntry_Q90,SignedNormEntry_Max,SignedNormEntry_Top5SharePositiveSum,SignedNormEntry_Top10SharePositiveSum,SignedNormEntry_Sum,StopRate,MeanMaxFavorableMove,MedianMaxFavorableMove,MeanMaxAdverseMove,MedianMaxAdverseMove
6E,2026-W17,14,-0.00021428571428573826,-0.00014999999999998348,0.0005988542173403921,-1.3388629528204934,0.35714285714285715,0.6428571428571429,0.3406593406592747,0.0015499999999997183,0.004550000000000054,-0.0015499999999999403,-0.0003749999999999587,8.749999999996261e-05,0.0004799999999999476,0.0005999999999999339,0.38709677419357613,0.7741935483871523,-0.0030000000000003357,14,-0.00021428571428573826,-0.00014999999999998348,0.0005988542173403921,-1.3388629528204934,0.35714285714285715,0.6428571428571429,0.3406593406592747,0.0015499999999997183,0.004550000000000054,-0.0015499999999999403,-0.0003749999999999587,8.749999999996261e-05,0.0004799999999999476,0.0005999999999999339,0.38709677419357613,0.7741935483871523,-0.0030000000000003357,14,-0.9878114350999906,-0.5964912280702086,2.8141447468406176,-1.3133837401331716,0.35714285714285715,0.6428571428571429,0.3464097218233489,7.329706304110524,21.15906639551039,-7.1147540983609066,-1.4186959937152803,0.3982362592287647,1.7758558558558852,3.818181818181048,0.5209188008037646,0.8306543039844438,-13.829360091399868,0.0,0.00029285714285714234,0.0001500000000000945,-0.0005142857142857052,-0.00029999999999996696
6E,2026-W18,17,-0.00014117647058824588,-9.999999999998899e-05,0.0005006980421489183,-1.1625479851868845,0.23529411764705882,0.7058823529411765,0.44186046511626226,0.0019000000000000128,0.0043000000000001926,-0.0012000000000000899,-0.00029999999999996696,0.0,0.0005200000000001204,0.0005999999999999339,0.3157894736841736,0.6052631578947245,-0.0024000000000001798,17,-0.00014117647058824588,-9.999999999998899e-05,0.0005006980421489183,-1.1625479851868845,0.23529411764705882,0.7058823529411765,0.44186046511626226,0.0019000000000000128,0.0043000000000001926,-0.0012000000000000899,-0.00029999999999996696,0.0,0.0005200000000001204,0.0005999999999999339,0.3157894736841736,0.6052631578947245,-0.0024000000000001798,17,-0.5144854239781942,-0.3010752688178513,1.8061618483836357,-1.1744671430199605,0.23529411764705882,0.7058823529411765,0.42052239902862937,6.347087367477787,15.09333957510709,-4.6666666666660905,-0.8139534883716474,0.0,1.3905020352782316,2.8000000000011305,0.44114722830951003,0.7419294294294788,-8.7462522076293,0.0,0.00036764705882350854,0.00029999999999996696,-0.0004764705882352939,-0.00034999999999985043
6E,2026-W19,35,-7.571428571431226e-05,0.0,0.000503279163056024,-0.8900264264594797,0.42857142857142855,0.45714285714285713,0.6442953020133279,0.004799999999999693,0.007450000000000623,-0.0015499999999999403,-0.0003250000000000197,0.00014999999999998348,0.0004899999999999684,0.0009999999999998899,0.3749999999999826,0.6041666666666388,-0.0026500000000009294,35,-7.571428571431226e-05,0.0,0.000503279163056024,-0.8900264264594797,0.42857142857142855,0.45714285714285713,0.6442953020133279,0.004799999999999693,0.007450000000000623,-0.0015499999999999403,-0.0003250000000000197,0.00014999999999998348,0.0004899999999999684,0.0009999999999998899,0.3749999999999826,0.6041666666666388,-0.0026500000000009294,35,-0.3148935252269703,0.0,1.8890802211034983,-0.9861599299028297,0.42857142857142855,0.45714285714285713,0.6146271573196218,17.577714823614283,28.598988206558246,-6.888888888887683,-1.2745762711862527,0.6615581098339757,1.7870588235293938,2.799999999999645,0.31470002628788557,0.5662648196515289,-11.02127338294396,0.0,0.00031142857142855615,0.00019999999999997797,-0.00041428571428573843,-0.0003500000000000725
6E,2026-W20,22,-9.999999999998899e-05,-4.999999999999449e-05,0.0003770183777256148,-1.2440814657678276,0.36363636363636365,0.6363636363636364,0.4567901234568348,0.0018500000000001293,0.004049999999999887,-0.0009000000000001229,-0.0001374999999999016,0.00013750000000012363,0.0002950000000001786,0.00039999999999995595,0.4054054054052724,0.5675675675675254,-0.0021999999999997577,22,-9.999999999998899e-05,-4.999999999999449e-05,0.0003770183777256148,-1.2440814657678276,0.36363636363636365,0.6363636363636364,0.4567901234568348,0.0018500000000001293,0.004049999999999887,-0.0009000000000001229,-0.0001374999999999016,0.00013750000000012363,0.0002950000000001786,0.00039999999999995595,0.4054054054052724,0.5675675675675254,-0.0021999999999997577,22,-0.20791050054744484,-0.2050084889647692,1.4116609954394055,-0.6908079854518954,0.36363636363636365,0.6363636363636364,0.6461041774562654,8.350764141418432,12.92479515346222,-3.4054054054060416,-0.4178685897426564,0.4185314685321975,1.0777777777779483,3.6129032258061926,0.603134270597529,0.736189293143358,-4.574031012043786,0.0,0.0003204545454545455,0.00024999999999997247,-0.00041363636363635843,-0.0003749999999999032
6E,2026-W21,20,-0.0001000000000000223,-5.0000000000105516e-05,0.0007838837185517473,-0.5705101214837075,0.4,0.6,0.6874999999999502,0.0043999999999999595,0.006400000000000405,-0.0024999999999999467,-0.00046250000000008784,0.00030000000000002247,0.0005649999999999498,0.0012499999999999734,0.2840909090909057,0.5454545454545409,-0.002000000000000446,20,-0.0001000000000000223,-5.0000000000105516e-05,0.0007838837185517473,-0.5705101214837075,0.4,0.6,0.6874999999999502,0.0043999999999999595,0.006400000000000405,-0.0024999999999999467,-0.00046250000000008784,0.00030000000000002247,0.0005649999999999498,0.0012499999999999734,0.2840909090909057,0.5454545454545409,-0.002000000000000446,20,-0.7788875793288402,-0.3928571428573209,2.4051954553072874,-1.448236209133394,0.4,0.6,0.38373134226911054,9.699781825448923,25.27753341202573,-8.333333333332751,-1.7067307692311102,0.7243852459014253,1.7114832535885767,2.267605633802752,0.23377903489059182,0.42369106552249813,-15.577751586576804,0.0,0.0005224999999999924,0.00029999999999996696,-0.0005425000000000124,-0.0003250000000000197
ES,2026-W15,6,30.833333333333332,6.125,67.01877846295518,1.1269368894504967,0.8333333333333334,0.16666666666666666,39.94736842105263,189.75,4.75,-4.75,1.9375,8.8125,88.125,167.25,0.8814229249011858,0.8814229249011858,185.0,6,30.833333333333332,6.125,67.01877846295518,1.1269368894504967,0.8333333333333334,0.16666666666666666,39.94736842105263,189.75,4.75,-4.75,1.9375,8.8125,88.125,167.25,0.8814229249011858,0.8814229249011858,185.0,6,3.0442391460873908,0.7912816868040748,6.421745697674823,1.1611846550728477,0.8333333333333334,0.16666666666666666,22.904788442147616,19.099290675897386,0.8338557993730408,-0.8338557993730408,0.27915804002760525,1.205143202904397,8.6569143757823,16.06518010291595,0.8411401436593466,0.8411401436593466,18.265434876524345,0.0,37.083333333333336,9.125,-5.375,-3.25
ES,2026-W16,5,4.45,2.0,12.420245569230909,0.801151832659797,0.6,0.4,2.977777777777778,33.5,11.25,-8.5,-2.75,7.5,17.400000000000002,24.0,0.7164179104477612,0.7164179104477612,22.25,5,4.45,2.0,12.420245569230909,0.801151832659797,0.6,0.4,2.977777777777778,33.5,11.25,-8.5,-2.75,7.5,17.400000000000002,24.0,0.7164179104477612,0.7164179104477612,22.25,5,1.1847385418937648,0.4043321299638989,2.655330399541097,0.9976746832319913,0.6,0.4,3.8982900262039255,7.967550520768496,2.043857811299672,-1.5813953488372092,-0.4624624624624625,2.413793103448276,4.055172413793104,5.149425287356322,0.646299671892089,0.646299671892089,5.923692709468824,0.0,12.7,7.5,-4.7,-4.25
ES,2026-W17,10,-4.525,-0.875,7.692393429009379,-1.8601891003519122,0.2,0.7,0.12560386473429952,6.5,51.75,-20.0,-8.875,-0.125,1.2499999999999982,5.75,0.8846153846153846,0.8846153846153846,-45.25,10,-4.3,-0.875,7.207056727032656,-1.886733302336947,0.2,0.7,0.13131313131313133,6.5,49.5,-17.75,-8.875,-0.125,1.2499999999999982,5.75,0.8846153846153846,0.8846153846153846,-43.0,10,-0.4624872144517925,-0.10904185311924185,0.7950365696999443,-1.839554357765423,0.2,0.7,0.16748073945554712,0.9304013052438744,5.5552734497618,-1.6709677419354838,-1.168001765419839,-0.015855039637599076,0.18849467597893266,0.8110831234256927,0.8717562183697642,0.8717562183697642,-4.6248721445179255,0.1,5.05,4.25,-10.225,-8.875
ES,2026-W18,5,0.95,2.0,22.828436214511058,0.09305344258642194,0.6,0.4,1.11875,44.75,40.0,-20.0,-20.0,7.75,24.1,35.0,0.7821229050279329,0.7821229050279329,4.75,5,-1.85,2.0,26.38690489617909,-0.15677192056631178,0.6,0.4,0.8287037037037037,44.75,54.0,-32.25,-21.75,7.75,24.1,35.0,0.7821229050279329,0.7821229050279329,-9.25,5,0.7235020487075499,0.4647302904564315,9.979966245831982,0.1621047329139115,0.6,0.4,1.2566701031557965,17.71151729406654,14.094007050528791,-12.202702702702704,-1.891304347826087,1.5667870036101084,10.034714801444045,15.68,0.8852996465329873,0.8852996465329873,3.6175102435377493,0.4,13.15,9.0,-14.6,-3.0
ES,2026-W19,8,-1.6875,-4.625,7.127349236767983,-0.669669832984581,0.375,0.625,0.568,17.75,31.25,-8.75,-6.5625,2.0,6.649999999999999,12.25,0.6901408450704225,0.6901408450704225,-13.5,8,-1.6875,-4.625,7.127349236767983,-0.669669832984581,0.375,0.625,0.568,17.75,31.25,-8.75,-6.5625,2.0,6.649999999999999,12.25,0.6901408450704225,0.6901408450704225,-13.5,8,-0.16741855730161515,-0.6833333333333333,2.0053192740788863,-0.2361375541434778,0.375,0.625,0.7919494406155426,5.098262006925625,6.437610465338546,-2.158590308370044,-1.313297375790893,0.33787474593495936,1.7042245370370364,4.234567901234568,0.8305904826943397,0.8305904826943397,-1.3393484584129212,0.0,6.09375,4.25,-7.65625,-8.375
