APVA Destination Robustness Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Destination event count: 747

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
ConstructiveEmergence | RangeRelativeToPrevious | t-2 | 0.2959 | 1 | Positive | 25
ConstructiveEmergence | VolumeRelativeToSessionMean | t-3 | 0.2845 | 1 | Positive | 26
ConstructiveEmergence | VolumeRelativeToPrevious | t-3 | -0.2756 | 1 | Negative | 27
ConstructiveEmergence | VolumeRelativeToRollingMean | t-1 | 0.2690 | 1 | Positive | 28
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-5 | 0.2671 | 1 | Positive | 29
ConstructiveEmergence | RangeRelativeToPrevious | t-5 | 0.2651 | 1 | Positive | 30
ConstructiveEmergence | CloseLocation | t-3 | 0.1972 | 0 | Positive | 31
ConstructiveEmergence | PolarityFlipFlag | t-5 | -0.1821 | 0 | Negative | 32
ConstructiveEmergence | BodyRelativeToPrevious | t-3 | -0.1642 | 0 | Negative | 33
ConstructiveEmergence | VolumeRelativeToPrevious | t-2 | 0.1616 | 0 | Positive | 34
ConstructiveEmergence | VolumeRelativeToPrevious | t-1 | 0.1367 | 0 | Positive | 35
ConstructiveEmergence | BodyRelativeToPrevious | t-2 | 0.1328 | 0 | Positive | 36
ConstructiveEmergence | BodyRelativeToPrevious | t-1 | 0.1139 | 0 | Positive | 37
ConstructiveEmergence | CloseLocation | t-2 | 0.1104 | 0 | Positive | 38
ConstructiveEmergence | CloseLocation | t-5 | -0.1064 | 0 | Negative | 39
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-3 | -0.0306 | 0 | Negative | 40
ConstructiveEmergence | RangeRelativeToPrevious | t-3 | 0.0229 | 0 | Positive | 41
ConstructiveEmergence | VolumeRelativeToRollingMean | t-2 | -0.0078 | 0 | Negative | 42
ConstructiveEmergence | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 43
ConstructiveEmergence | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 44
DecayToNeutral | RangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 1
DecayToNeutral | RangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 2
DecayToNeutral | RangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 3
DecayToNeutral | RangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 4
DecayToNeutral | BodyRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 5
DecayToNeutral | BodyRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 6
DecayToNeutral | BodyRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 7
DecayToNeutral | BodyRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 8
DecayToNeutral | TrueRangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 9
DecayToNeutral | TrueRangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 10
DecayToNeutral | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 11
DecayToNeutral | TrueRangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 12
DecayToNeutral | VolumeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 13
DecayToNeutral | VolumeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 14
DecayToNeutral | VolumeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 15
DecayToNeutral | VolumeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 16
DecayToNeutral | VolumeRelativeToRollingMean | t-1 | 0.0000 | 0 | Flat | 17
DecayToNeutral | VolumeRelativeToRollingMean | t-2 | 0.0000 | 0 | Flat | 18
DecayToNeutral | VolumeRelativeToRollingMean | t-3 | 0.0000 | 0 | Flat | 19
DecayToNeutral | VolumeRelativeToRollingMean | t-5 | 0.0000 | 0 | Flat | 20
DecayToNeutral | VolumeRelativeToSessionMean | t-1 | 0.0000 | 0 | Flat | 21
DecayToNeutral | VolumeRelativeToSessionMean | t-2 | 0.0000 | 0 | Flat | 22
DecayToNeutral | VolumeRelativeToSessionMean | t-3 | 0.0000 | 0 | Flat | 23
DecayToNeutral | VolumeRelativeToSessionMean | t-5 | 0.0000 | 0 | Flat | 24
DecayToNeutral | EfficiencyRatio | t-1 | 0.0000 | 0 | Flat | 25
DecayToNeutral | EfficiencyRatio | t-2 | 0.0000 | 0 | Flat | 26
DecayToNeutral | EfficiencyRatio | t-3 | 0.0000 | 0 | Flat | 27
DecayToNeutral | EfficiencyRatio | t-5 | 0.0000 | 0 | Flat | 28
DecayToNeutral | CloseLocation | t-1 | 0.0000 | 0 | Flat | 29
DecayToNeutral | CloseLocation | t-2 | 0.0000 | 0 | Flat | 30
DecayToNeutral | CloseLocation | t-3 | 0.0000 | 0 | Flat | 31
DecayToNeutral | CloseLocation | t-5 | 0.0000 | 0 | Flat | 32
DecayToNeutral | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 33
DecayToNeutral | MemoryStrength | t-2 | 0.0000 | 0 | Flat | 34
DecayToNeutral | MemoryStrength | t-3 | 0.0000 | 0 | Flat | 35
DecayToNeutral | MemoryStrength | t-5 | 0.0000 | 0 | Flat | 36
DecayToNeutral | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 37
DecayToNeutral | BranchEntropy | t-2 | 0.0000 | 0 | Flat | 38
DecayToNeutral | BranchEntropy | t-3 | 0.0000 | 0 | Flat | 39
DecayToNeutral | BranchEntropy | t-5 | 0.0000 | 0 | Flat | 40
DecayToNeutral | PolarityFlipFlag | t-1 | 0.0000 | 0 | Flat | 41
DecayToNeutral | PolarityFlipFlag | t-2 | 0.0000 | 0 | Flat | 42
DecayToNeutral | PolarityFlipFlag | t-3 | 0.0000 | 0 | Flat | 43
DecayToNeutral | PolarityFlipFlag | t-5 | 0.0000 | 0 | Flat | 44
DestructiveRotation | RangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 1
DestructiveRotation | RangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 2
DestructiveRotation | RangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 3
DestructiveRotation | RangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 4
DestructiveRotation | BodyRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 5
DestructiveRotation | BodyRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 6
DestructiveRotation | BodyRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 7
DestructiveRotation | BodyRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 8
DestructiveRotation | TrueRangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 9
DestructiveRotation | TrueRangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 10
DestructiveRotation | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 11
DestructiveRotation | TrueRangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 12
DestructiveRotation | VolumeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 13
DestructiveRotation | VolumeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 14
DestructiveRotation | VolumeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 15
DestructiveRotation | VolumeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 16
DestructiveRotation | VolumeRelativeToRollingMean | t-1 | 0.0000 | 0 | Flat | 17
DestructiveRotation | VolumeRelativeToRollingMean | t-2 | 0.0000 | 0 | Flat | 18
DestructiveRotation | VolumeRelativeToRollingMean | t-3 | 0.0000 | 0 | Flat | 19
DestructiveRotation | VolumeRelativeToRollingMean | t-5 | 0.0000 | 0 | Flat | 20
DestructiveRotation | VolumeRelativeToSessionMean | t-1 | 0.0000 | 0 | Flat | 21
DestructiveRotation | VolumeRelativeToSessionMean | t-2 | 0.0000 | 0 | Flat | 22
DestructiveRotation | VolumeRelativeToSessionMean | t-3 | 0.0000 | 0 | Flat | 23
DestructiveRotation | VolumeRelativeToSessionMean | t-5 | 0.0000 | 0 | Flat | 24
DestructiveRotation | EfficiencyRatio | t-1 | 0.0000 | 0 | Flat | 25
DestructiveRotation | EfficiencyRatio | t-2 | 0.0000 | 0 | Flat | 26
DestructiveRotation | EfficiencyRatio | t-3 | 0.0000 | 0 | Flat | 27
DestructiveRotation | EfficiencyRatio | t-5 | 0.0000 | 0 | Flat | 28
DestructiveRotation | CloseLocation | t-1 | 0.0000 | 0 | Flat | 29
DestructiveRotation | CloseLocation | t-2 | 0.0000 | 0 | Flat | 30
DestructiveRotation | CloseLocation | t-3 | 0.0000 | 0 | Flat | 31
DestructiveRotation | CloseLocation | t-5 | 0.0000 | 0 | Flat | 32
DestructiveRotation | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 33
DestructiveRotation | MemoryStrength | t-2 | 0.0000 | 0 | Flat | 34
DestructiveRotation | MemoryStrength | t-3 | 0.0000 | 0 | Flat | 35
DestructiveRotation | MemoryStrength | t-5 | 0.0000 | 0 | Flat | 36
DestructiveRotation | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 37
DestructiveRotation | BranchEntropy | t-2 | 0.0000 | 0 | Flat | 38
DestructiveRotation | BranchEntropy | t-3 | 0.0000 | 0 | Flat | 39
DestructiveRotation | BranchEntropy | t-5 | 0.0000 | 0 | Flat | 40
DestructiveRotation | PolarityFlipFlag | t-1 | 0.0000 | 0 | Flat | 41
DestructiveRotation | PolarityFlipFlag | t-2 | 0.0000 | 0 | Flat | 42
DestructiveRotation | PolarityFlipFlag | t-3 | 0.0000 | 0 | Flat | 43
DestructiveRotation | PolarityFlipFlag | t-5 | 0.0000 | 0 | Flat | 44
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-1 | 1.5864 | 1 | Positive | 1
ExhaustionPersistence | RangeRelativeToPrevious | t-1 | 1.4769 | 1 | Positive | 2
ExhaustionPersistence | VolumeRelativeToRollingMean | t-1 | 1.3756 | 1 | Positive | 3
ExhaustionPersistence | BodyRelativeToPrevious | t-1 | 1.3160 | 1 | Positive | 4
ExhaustionPersistence | VolumeRelativeToSessionMean | t-1 | 1.0390 | 1 | Positive | 5
ExhaustionPersistence | VolumeRelativeToPrevious | t-1 | 0.8750 | 1 | Positive | 6
ExhaustionPersistence | EfficiencyRatio | t-1 | 0.6954 | 1 | Positive | 7
ExhaustionPersistence | EfficiencyRatio | t-2 | -0.4971 | 1 | Negative | 8
ExhaustionPersistence | MemoryStrength | t-5 | -0.4579 | 1 | Negative | 9
ExhaustionPersistence | BodyRelativeToPrevious | t-3 | -0.4258 | 1 | Negative | 10
ExhaustionPersistence | BodyRelativeToPrevious | t-2 | -0.3949 | 1 | Negative | 11
ExhaustionPersistence | VolumeRelativeToPrevious | t-3 | -0.3759 | 1 | Negative | 12
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-2 | -0.3528 | 1 | Negative | 13
ExhaustionPersistence | BranchEntropy | t-5 | 0.3474 | 1 | Positive | 14
ExhaustionPersistence | EfficiencyRatio | t-3 | -0.3039 | 1 | Negative | 15
ExhaustionPersistence | RangeRelativeToPrevious | t-2 | -0.2687 | 1 | Negative | 16
ExhaustionPersistence | CloseLocation | t-1 | 0.2571 | 1 | Positive | 17
ExhaustionPersistence | RangeRelativeToPrevious | t-3 | -0.2499 | 0 | Negative | 18
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-3 | -0.2283 | 0 | Negative | 19
ExhaustionPersistence | CloseLocation | t-5 | -0.2188 | 0 | Negative | 20
ExhaustionPersistence | MemoryStrength | t-2 | 0.1994 | 0 | Positive | 21
ExhaustionPersistence | BranchEntropy | t-2 | -0.1994 | 0 | Negative | 22
ExhaustionPersistence | VolumeRelativeToPrevious | t-2 | -0.1907 | 0 | Negative | 23
ExhaustionPersistence | CloseLocation | t-2 | -0.1742 | 0 | Negative | 24
ExhaustionPersistence | PolarityFlipFlag | t-2 | 0.1472 | 0 | Positive | 25
ExhaustionPersistence | VolumeRelativeToPrevious | t-5 | -0.1464 | 0 | Negative | 26
ExhaustionPersistence | VolumeRelativeToSessionMean | t-2 | -0.1420 | 0 | Negative | 27
ExhaustionPersistence | RangeRelativeToPrevious | t-5 | -0.1373 | 0 | Negative | 28
ExhaustionPersistence | VolumeRelativeToSessionMean | t-3 | -0.1056 | 0 | Negative | 29
ExhaustionPersistence | VolumeRelativeToRollingMean | t-5 | 0.1012 | 0 | Positive | 30
ExhaustionPersistence | PolarityFlipFlag | t-3 | 0.0726 | 0 | Positive | 31
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-5 | -0.0677 | 0 | Negative | 32
ExhaustionPersistence | EfficiencyRatio | t-5 | 0.0597 | 0 | Positive | 33
ExhaustionPersistence | VolumeRelativeToRollingMean | t-2 | -0.0572 | 0 | Negative | 34
ExhaustionPersistence | VolumeRelativeToRollingMean | t-3 | -0.0524 | 0 | Negative | 35
ExhaustionPersistence | PolarityFlipFlag | t-5 | 0.0523 | 0 | Positive | 36
ExhaustionPersistence | BranchEntropy | t-3 | -0.0436 | 0 | Negative | 37
ExhaustionPersistence | MemoryStrength | t-3 | 0.0255 | 0 | Positive | 38
ExhaustionPersistence | CloseLocation | t-3 | -0.0185 | 0 | Negative | 39
ExhaustionPersistence | VolumeRelativeToSessionMean | t-5 | -0.0113 | 0 | Negative | 40
ExhaustionPersistence | PolarityFlipFlag | t-1 | -0.0102 | 0 | Negative | 41
ExhaustionPersistence | BodyRelativeToPrevious | t-5 | 0.0015 | 0 | Positive | 42
ExhaustionPersistence | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 43
ExhaustionPersistence | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 44
MixedStructure | VolumeRelativeToRollingMean | t-3 | 0.4268 | 1 | Positive | 1
MixedStructure | VolumeRelativeToRollingMean | t-2 | 0.3345 | 1 | Positive | 2
MixedStructure | RangeRelativeToPrevious | t-3 | 0.2930 | 1 | Positive | 3
MixedStructure | TrueRangeRelativeToPrevious | t-3 | 0.2671 | 1 | Positive | 4
MixedStructure | VolumeRelativeToPrevious | t-1 | -0.2633 | 1 | Negative | 5
