APVA Phase Transition Matrix Study v0.1 - 6E
=============================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Structural state counts: {'MixedStructure': 3671, 'NeutralProcessing': 16992, 'ReassertionProcessing': 2011, 'RecoveryResolution': 1696, 'CompressionProcessing': 6489, 'ExhaustionPersistence': 1884, 'DecayToNeutral': 1486, 'DestructiveRotation': 948, 'ConstructiveEmergence': 83}
Lifecycle phase counts: {'Terminal': 7908, 'Growth': 6973, 'Maturity': 2937, 'Insufficient': 68, 'Birth': 12364, 'Decay': 5010}
Valid phase observations: 35192

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth              12364     35.07%
Growth              6973     19.78%
Maturity            2937      8.33%
Decay               5010     14.21%
Terminal            7908     22.43%
Insufficient          68      0.19%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
Insufficient    2 CompressionProcessing               21       30.88%     1.678
Insufficient    2 NeutralProcessing                   16       23.53%     0.488
Insufficient    2 ReassertionProcessing                6        8.82%     1.547
Insufficient    2 DecayToNeutral                       4        5.88%     1.396
Insufficient    2 DestructiveRotation                  7       10.29%     3.829
Insufficient    2 MixedStructure                       2        2.94%     0.283
Birth           3 RecoveryResolution                 679        5.49%     1.142
Birth           3 ExhaustionPersistence              780        6.31%     1.181
Birth           3 CompressionProcessing             2981       24.11%     1.310
Birth           3 NeutralProcessing                 5495       44.45%     0.922
Birth           3 ReassertionProcessing              527        4.26%     0.747
Birth           3 DecayToNeutral                     420        3.40%     0.806
Birth           3 DestructiveRotation                312        2.52%     0.939
Birth           3 ConstructiveEmergence               30        0.24%     1.031
Birth           3 MixedStructure                    1139        9.21%     0.886
Growth          3 RecoveryResolution                 251        3.60%     0.748
Growth          3 ExhaustionPersistence              279        4.00%     0.749
Growth          3 CompressionProcessing             1057       15.16%     0.824
Growth          3 NeutralProcessing                 4319       61.94%     1.285
Growth          3 ReassertionProcessing              339        4.86%     0.852
Growth          3 DecayToNeutral                     106        1.52%     0.361
Growth          3 DestructiveRotation                 75        1.08%     0.400
Growth          3 ConstructiveEmergence               14        0.20%     0.853
Growth          3 MixedStructure                     533        7.64%     0.735
Maturity        3 RecoveryResolution                 200        6.81%     1.416
Maturity        3 ExhaustionPersistence              203        6.91%     1.293
Maturity        3 CompressionProcessing              586       19.95%     1.084
Maturity        3 NeutralProcessing                 1397       47.57%     0.987
Maturity        3 ReassertionProcessing              130        4.43%     0.776
Maturity        3 DecayToNeutral                     115        3.92%     0.929
Maturity        3 DestructiveRotation                 82        2.79%     1.038
Maturity        3 ConstructiveEmergence                4        0.14%     0.579
Maturity        3 MixedStructure                     220        7.49%     0.720
Decay           3 RecoveryResolution                 192        3.83%     0.797
Decay           3 ExhaustionPersistence              232        4.63%     0.867
Decay           3 CompressionProcessing              622       12.42%     0.675
Decay           3 NeutralProcessing                 2750       54.89%     1.139
Decay           3 ReassertionProcessing              362        7.23%     1.267
Decay           3 DecayToNeutral                     163        3.25%     0.772
Decay           3 DestructiveRotation                108        2.16%     0.802
Decay           3 ConstructiveEmergence               16        0.32%     1.357
Decay           3 MixedStructure                     565       11.28%     1.084
Terminal        3 RecoveryResolution                 370        4.68%     0.973
Terminal        3 ExhaustionPersistence              386        4.88%     0.914
