APVA Phase Transition Matrix Study v0.1 - 6E
=============================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Structural state counts: {'MixedStructure': 3671, 'NeutralProcessing': 16992, 'ReassertionProcessing': 2011, 'RecoveryResolution': 1696, 'CompressionProcessing': 6489, 'ExhaustionPersistence': 1884, 'DecayToNeutral': 1486, 'DestructiveRotation': 948, 'ConstructiveEmergence': 83}
Lifecycle phase counts: {'Terminal': 7908, 'Growth': 6973, 'Maturity': 2937, 'Insufficient': 68, 'Birth': 12364, 'Decay': 5010}
Valid phase observations: 35192

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth              12364     35.07%
Growth              6973     19.78%
Maturity            2937      8.33%
Decay               5010     14.21%
Terminal            7908     22.43%
Insufficient          68      0.19%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
CompressionProcessing        Maturity        1 MixedStructure                      17        2.02%     0.194
CompressionProcessing        Decay           1 RecoveryResolution                  23        4.36%     0.906
CompressionProcessing        Decay           1 ExhaustionPersistence               35        6.63%     1.241
CompressionProcessing        Decay           1 CompressionProcessing              282       53.41%     2.902
CompressionProcessing        Decay           1 NeutralProcessing                  142       26.89%     0.558
CompressionProcessing        Decay           1 ReassertionProcessing                2        0.38%     0.066
CompressionProcessing        Decay           1 DecayToNeutral                      19        3.60%     0.854
CompressionProcessing        Decay           1 DestructiveRotation                  3        0.57%     0.211
CompressionProcessing        Decay           1 MixedStructure                      22        4.17%     0.400
CompressionProcessing        Terminal        1 RecoveryResolution                  24        4.54%     0.943
CompressionProcessing        Terminal        1 ExhaustionPersistence               35        6.62%     1.238
CompressionProcessing        Terminal        1 CompressionProcessing              250       47.26%     2.568
CompressionProcessing        Terminal        1 NeutralProcessing                  139       26.28%     0.545
CompressionProcessing        Terminal        1 ReassertionProcessing                7        1.32%     0.232
CompressionProcessing        Terminal        1 DecayToNeutral                      35        6.62%     1.570
CompressionProcessing        Terminal        1 DestructiveRotation                 11        2.08%     0.773
CompressionProcessing        Terminal        1 MixedStructure                      28        5.29%     0.509
CompressionProcessing        Insufficient    1 RecoveryResolution                   1       20.00%     4.158
CompressionProcessing        Insufficient    1 ExhaustionPersistence                2       40.00%     7.486
CompressionProcessing        Insufficient    1 CompressionProcessing                2       40.00%     2.173
NeutralProcessing            Birth           1 CompressionProcessing              835       14.72%     0.800
NeutralProcessing            Birth           1 NeutralProcessing                 3205       56.51%     1.173
NeutralProcessing            Birth           1 ReassertionProcessing              530        9.34%     1.638
NeutralProcessing            Birth           1 DestructiveRotation                237        4.18%     1.554
NeutralProcessing            Birth           1 ConstructiveEmergence               20        0.35%     1.498
NeutralProcessing            Birth           1 MixedStructure                     845       14.90%     1.431
NeutralProcessing            Growth          1 CompressionProcessing              527       10.63%     0.577
NeutralProcessing            Growth          1 NeutralProcessing                 3066       61.83%     1.283
NeutralProcessing            Growth          1 ReassertionProcessing              550       11.09%     1.945
NeutralProcessing            Growth          1 DestructiveRotation                 40        0.81%     0.300
NeutralProcessing            Growth          1 ConstructiveEmergence               11        0.22%     0.942
NeutralProcessing            Growth          1 MixedStructure                     765       15.43%     1.482
NeutralProcessing            Maturity        1 RecoveryResolution                  21        1.60%     0.333
NeutralProcessing            Maturity        1 ExhaustionPersistence               21        1.60%     0.300
NeutralProcessing            Maturity        1 CompressionProcessing               26        1.98%     0.108
NeutralProcessing            Maturity        1 NeutralProcessing                 1192       90.85%     1.885
NeutralProcessing            Maturity        1 ReassertionProcessing               20        1.52%     0.267
NeutralProcessing            Maturity        1 MixedStructure                      32        2.44%     0.234
NeutralProcessing            Decay           1 RecoveryResolution                  37        0.91%     0.189
NeutralProcessing            Decay           1 ExhaustionPersistence               61        1.50%     0.280
NeutralProcessing            Decay           1 CompressionProcessing              191        4.69%     0.255
NeutralProcessing            Decay           1 NeutralProcessing                 3105       76.18%     1.581
NeutralProcessing            Decay           1 ReassertionProcessing              319        7.83%     1.372
NeutralProcessing            Decay           1 ConstructiveEmergence               11        0.27%     1.146
NeutralProcessing            Decay           1 MixedStructure                     352        8.64%     0.830
NeutralProcessing            Terminal        1 RecoveryResolution                   9        0.92%     0.192
NeutralProcessing            Terminal        1 ExhaustionPersistence                8        0.82%     0.154
NeutralProcessing            Terminal        1 CompressionProcessing               50        5.14%     0.279
NeutralProcessing            Terminal        1 NeutralProcessing                  752       77.29%     1.604
NeutralProcessing            Terminal        1 ReassertionProcessing               67        6.89%     1.207
NeutralProcessing            Terminal        1 ConstructiveEmergence                1        0.10%     0.437
NeutralProcessing            Terminal        1 MixedStructure                      86        8.84%     0.849
ReassertionProcessing        Terminal        1 CompressionProcessing              106        5.31%     0.289
ReassertionProcessing        Terminal        1 NeutralProcessing                  831       41.63%     0.864
ReassertionProcessing        Terminal        1 ReassertionProcessing              252       12.63%     2.214
ReassertionProcessing        Terminal        1 DestructiveRotation                237       11.87%     4.416
ReassertionProcessing        Terminal        1 ConstructiveEmergence               10        0.50%     2.128
ReassertionProcessing        Terminal        1 MixedStructure                     560       28.06%     2.695
ReassertionProcessing        Insufficient    1 CompressionProcessing                1        6.67%     0.362
ReassertionProcessing        Insufficient    1 DestructiveRotation                 14       93.33%    34.714
DecayToNeutral               Birth           1 CompressionProcessing              100        6.73%     0.366
DecayToNeutral               Birth           1 NeutralProcessing                  811       54.58%     1.132
DecayToNeutral               Birth           1 ReassertionProcessing               19        1.28%     0.224
DecayToNeutral               Birth           1 DestructiveRotation                127        8.55%     3.179
DecayToNeutral               Birth           1 ConstructiveEmergence                6        0.40%     1.715
DecayToNeutral               Birth           1 MixedStructure                     423       28.47%     2.735
DestructiveRotation          Maturity        1 RecoveryResolution                   6        6.00%     1.247
DestructiveRotation          Maturity        1 ExhaustionPersistence               15       15.00%     2.807
DestructiveRotation          Maturity        1 CompressionProcessing                2        2.00%     0.109
DestructiveRotation          Maturity        1 NeutralProcessing                   10       10.00%     0.208
DestructiveRotation          Maturity        1 ReassertionProcessing                6        6.00%     1.052
DestructiveRotation          Maturity        1 DecayToNeutral                      45       45.00%    10.677
DestructiveRotation          Maturity        1 DestructiveRotation                 11       11.00%     4.091
DestructiveRotation          Maturity        1 MixedStructure                       5        5.00%     0.480
DestructiveRotation          Terminal        1 RecoveryResolution                  43        5.14%     1.069
DestructiveRotation          Terminal        1 ExhaustionPersistence               95       11.36%     2.127
DestructiveRotation          Terminal        1 CompressionProcessing               25        2.99%     0.162
DestructiveRotation          Terminal        1 NeutralProcessing                  228       27.27%     0.566
DestructiveRotation          Terminal        1 ReassertionProcessing               51        6.10%     1.070
DestructiveRotation          Terminal        1 DecayToNeutral                     249       29.78%     7.067
DestructiveRotation          Terminal        1 DestructiveRotation                100       11.96%     4.449
DestructiveRotation          Terminal        1 ConstructiveEmergence                3        0.36%     1.524
DestructiveRotation          Terminal        1 MixedStructure                      42        5.02%     0.483
DestructiveRotation          Insufficient    1 CompressionProcessing                1        8.33%     0.453
DestructiveRotation          Insufficient    1 NeutralProcessing                    2       16.67%     0.346
DestructiveRotation          Insufficient    1 DecayToNeutral                       8       66.67%    15.818
DestructiveRotation          Insufficient    1 DestructiveRotation                  1        8.33%     3.099
ConstructiveEmergence        Birth           1 CompressionProcessing                6        7.23%     0.393
ConstructiveEmergence        Birth           1 NeutralProcessing                   27       32.53%     0.675
ConstructiveEmergence        Birth           1 DecayToNeutral                      11       13.25%     3.145
ConstructiveEmergence        Birth           1 MixedStructure                      39       46.99%     4.514
MixedStructure               Growth          1 RecoveryResolution                  26        7.32%     1.523
MixedStructure               Growth          1 ExhaustionPersistence               43       12.11%     2.267
MixedStructure               Growth          1 CompressionProcessing                7        1.97%     0.107
MixedStructure               Growth          1 NeutralProcessing                  111       31.27%     0.649
MixedStructure               Growth          1 ReassertionProcessing               18        5.07%     0.889
MixedStructure               Growth          1 DecayToNeutral                     106       29.86%     7.085
MixedStructure               Growth          1 DestructiveRotation                  2        0.56%     0.210
MixedStructure               Growth          1 MixedStructure                      42       11.83%     1.137
MixedStructure               Maturity        1 RecoveryResolution                   5       11.90%     2.475
MixedStructure               Maturity        1 ExhaustionPersistence                8       19.05%     3.565
MixedStructure               Maturity        1 NeutralProcessing                    3        7.14%     0.148
MixedStructure               Maturity        1 DecayToNeutral                      17       40.48%     9.604
MixedStructure               Maturity        1 DestructiveRotation                  1        2.38%     0.886
MixedStructure               Maturity        1 MixedStructure                       8       19.05%     1.830
MixedStructure               Terminal        1 RecoveryResolution                 307        9.41%     1.955
MixedStructure               Terminal        1 ExhaustionPersistence              399       12.22%     2.288
MixedStructure               Terminal        1 CompressionProcessing               91        2.79%     0.151
MixedStructure               Terminal        1 NeutralProcessing                 1219       37.35%     0.775
MixedStructure               Terminal        1 ReassertionProcessing              144        4.41%     0.774
MixedStructure               Terminal        1 DecayToNeutral                     662       20.28%     4.812
MixedStructure               Terminal        1 DestructiveRotation                 67        2.05%     0.763
MixedStructure               Terminal        1 ConstructiveEmergence               20        0.61%     2.603
MixedStructure               Terminal        1 MixedStructure                     355       10.88%     1.045
MixedStructure               Insufficient    1 ExhaustionPersistence                2       22.22%     4.159
MixedStructure               Insufficient    1 NeutralProcessing                    2       22.22%     0.461
MixedStructure               Insufficient    1 DecayToNeutral                       4       44.44%    10.546
MixedStructure               Insufficient    1 MixedStructure                       1       11.11%     1.067
RecoveryResolution           Birth           2 RecoveryResolution                 291       26.97%     5.607
RecoveryResolution           Birth           2 ExhaustionPersistence               57        5.28%     0.989
RecoveryResolution           Birth           2 CompressionProcessing              450       41.71%     2.266
RecoveryResolution           Birth           2 NeutralProcessing                  281       26.04%     0.540
RecoveryResolution           Maturity        2 RecoveryResolution                  16        4.72%     0.981
RecoveryResolution           Maturity        2 ExhaustionPersistence               31        9.14%     1.711
RecoveryResolution           Maturity        2 CompressionProcessing              210       61.95%     3.366
RecoveryResolution           Maturity        2 NeutralProcessing                   82       24.19%     0.502
RecoveryResolution           Terminal        2 RecoveryResolution                  19        7.57%     1.574
RecoveryResolution           Terminal        2 ExhaustionPersistence               25        9.96%     1.864
RecoveryResolution           Terminal        2 CompressionProcessing              146       58.17%     3.161
RecoveryResolution           Terminal        2 NeutralProcessing                   61       24.30%     0.504
RecoveryResolution           Insufficient    2 RecoveryResolution                   7       25.93%     5.390
RecoveryResolution           Insufficient    2 ExhaustionPersistence                1        3.70%     0.693
RecoveryResolution           Insufficient    2 CompressionProcessing               12       44.44%     2.415
RecoveryResolution           Insufficient    2 NeutralProcessing                    7       25.93%     0.538
ExhaustionPersistence        Birth           2 RecoveryResolution                 304       27.24%     5.663
ExhaustionPersistence        Birth           2 ExhaustionPersistence              234       20.97%     3.924
ExhaustionPersistence        Birth           2 CompressionProcessing               97        8.69%     0.472
ExhaustionPersistence        Birth           2 NeutralProcessing                  259       23.21%     0.482
ExhaustionPersistence        Birth           2 DecayToNeutral                      32        2.87%     0.680
ExhaustionPersistence        Birth           2 DestructiveRotation                190       17.03%     6.332
ExhaustionPersistence        Maturity        2 RecoveryResolution                  85       27.96%     5.813
ExhaustionPersistence        Maturity        2 ExhaustionPersistence              143       47.04%     8.803
ExhaustionPersistence        Maturity        2 NeutralProcessing                   73       24.01%     0.498
ExhaustionPersistence        Maturity        2 DecayToNeutral                       2        0.66%     0.156
ExhaustionPersistence        Maturity        2 DestructiveRotation                  1        0.33%     0.122
ExhaustionPersistence        Decay           2 RecoveryResolution                  49       12.07%     2.509
ExhaustionPersistence        Decay           2 ExhaustionPersistence               80       19.70%     3.688
ExhaustionPersistence        Decay           2 CompressionProcessing               41       10.10%     0.549
ExhaustionPersistence        Decay           2 NeutralProcessing                  119       29.31%     0.608
ExhaustionPersistence        Decay           2 DecayToNeutral                      55       13.55%     3.214
ExhaustionPersistence        Decay           2 DestructiveRotation                 45       11.08%     4.122
ExhaustionPersistence        Decay           2 ConstructiveEmergence                1        0.25%     1.046
ExhaustionPersistence        Decay           2 MixedStructure                      16        3.94%     0.379
ExhaustionPersistence        Terminal        2 RecoveryResolution                   6       10.34%     2.151
ExhaustionPersistence        Terminal        2 ExhaustionPersistence               12       20.69%     3.872
ExhaustionPersistence        Terminal        2 CompressionProcessing                7       12.07%     0.656
ExhaustionPersistence        Terminal        2 NeutralProcessing                   16       27.59%     0.572
ExhaustionPersistence        Terminal        2 DecayToNeutral                       8       13.79%     3.273
ExhaustionPersistence        Terminal        2 DestructiveRotation                  6       10.34%     3.847
ExhaustionPersistence        Terminal        2 MixedStructure                       3        5.17%     0.497
CompressionProcessing        Birth           2 RecoveryResolution                 118        4.03%     0.838
CompressionProcessing        Birth           2 ExhaustionPersistence              182        6.22%     1.163
CompressionProcessing        Birth           2 CompressionProcessing             1222       41.73%     2.268
CompressionProcessing        Birth           2 NeutralProcessing                 1137       38.83%     0.806
CompressionProcessing        Birth           2 ReassertionProcessing               46        1.57%     0.275
CompressionProcessing        Birth           2 DecayToNeutral                      53        1.81%     0.429
CompressionProcessing        Birth           2 DestructiveRotation                 55        1.88%     0.699
CompressionProcessing        Birth           2 ConstructiveEmergence                3        0.10%     0.435
CompressionProcessing        Birth           2 MixedStructure                     112        3.83%     0.368
CompressionProcessing        Growth          2 RecoveryResolution                  66        3.98%     0.827
CompressionProcessing        Growth          2 ExhaustionPersistence              102        6.15%     1.151
CompressionProcessing        Growth          2 CompressionProcessing              832       50.15%     2.725
CompressionProcessing        Growth          2 NeutralProcessing                  499       30.08%     0.624
CompressionProcessing        Growth          2 ReassertionProcessing               27        1.63%     0.285
CompressionProcessing        Growth          2 DecayToNeutral                      41        2.47%     0.586
CompressionProcessing        Growth          2 DestructiveRotation                 12        0.72%     0.269
CompressionProcessing        Growth          2 ConstructiveEmergence                2        0.12%     0.512
CompressionProcessing        Growth          2 MixedStructure                      78        4.70%     0.452
CompressionProcessing        Maturity        2 RecoveryResolution                  39        4.64%     0.965
CompressionProcessing        Maturity        2 ExhaustionPersistence               58        6.90%     1.292
CompressionProcessing        Maturity        2 CompressionProcessing              387       46.07%     2.503
CompressionProcessing        Maturity        2 NeutralProcessing                  257       30.60%     0.635
CompressionProcessing        Maturity        2 ReassertionProcessing               11        1.31%     0.230
CompressionProcessing        Maturity        2 DecayToNeutral                      30        3.57%     0.847
CompressionProcessing        Maturity        2 DestructiveRotation                  9        1.07%     0.398
CompressionProcessing        Maturity        2 MixedStructure                      49        5.83%     0.561
CompressionProcessing        Decay           2 RecoveryResolution                  22        4.17%     0.866
CompressionProcessing        Decay           2 ExhaustionPersistence               31        5.87%     1.099
CompressionProcessing        Decay           2 CompressionProcessing              187       35.42%     1.924
CompressionProcessing        Decay           2 NeutralProcessing                  159       30.11%     0.625
CompressionProcessing        Decay           2 ReassertionProcessing               18        3.41%     0.598
CompressionProcessing        Decay           2 DecayToNeutral                      43        8.14%     1.932
CompressionProcessing        Decay           2 DestructiveRotation                 15        2.84%     1.057
CompressionProcessing        Decay           2 ConstructiveEmergence                2        0.38%     1.609
CompressionProcessing        Decay           2 MixedStructure                      51        9.66%     0.928
CompressionProcessing        Terminal        2 RecoveryResolution                  23        4.35%     0.904
CompressionProcessing        Terminal        2 ExhaustionPersistence               31        5.86%     1.097
CompressionProcessing        Terminal        2 CompressionProcessing              201       38.00%     2.065
CompressionProcessing        Terminal        2 NeutralProcessing                  159       30.06%     0.624
CompressionProcessing        Terminal        2 ReassertionProcessing               17        3.21%     0.563
CompressionProcessing        Terminal        2 DecayToNeutral                      38        7.18%     1.704
CompressionProcessing        Terminal        2 DestructiveRotation                 10        1.89%     0.703
CompressionProcessing        Terminal        2 MixedStructure                      50        9.45%     0.908
CompressionProcessing        Insufficient    2 ExhaustionPersistence                1       20.00%     3.743
CompressionProcessing        Insufficient    2 CompressionProcessing                4       80.00%     4.347
NeutralProcessing            Birth           2 RecoveryResolution                 152        2.68%     0.557
NeutralProcessing            Birth           2 ExhaustionPersistence              215        3.79%     0.709
NeutralProcessing            Birth           2 CompressionProcessing              980       17.28%     0.939
NeutralProcessing            Birth           2 NeutralProcessing                 2420       42.67%     0.885
NeutralProcessing            Birth           2 ReassertionProcessing              480        8.46%     1.484
NeutralProcessing            Birth           2 DecayToNeutral                     342        6.03%     1.431
NeutralProcessing            Birth           2 DestructiveRotation                142        2.50%     0.931
NeutralProcessing            Birth           2 ConstructiveEmergence               15        0.26%     1.123
NeutralProcessing            Birth           2 MixedStructure                     926       16.33%     1.569
NeutralProcessing            Growth          2 RecoveryResolution                 119        2.40%     0.499
NeutralProcessing            Growth          2 ExhaustionPersistence              166        3.35%     0.626
NeutralProcessing            Growth          2 CompressionProcessing              325        6.55%     0.356
NeutralProcessing            Growth          2 NeutralProcessing                 3688       74.37%     1.543
NeutralProcessing            Growth          2 ReassertionProcessing              281        5.67%     0.993
NeutralProcessing            Growth          2 DestructiveRotation                 13        0.26%     0.097
NeutralProcessing            Growth          2 ConstructiveEmergence               12        0.24%     1.028
NeutralProcessing            Growth          2 MixedStructure                     355        7.16%     0.688
NeutralProcessing            Maturity        2 RecoveryResolution                  25        1.91%     0.396
NeutralProcessing            Maturity        2 ExhaustionPersistence               32        2.44%     0.456
NeutralProcessing            Maturity        2 CompressionProcessing               68        5.18%     0.282
NeutralProcessing            Maturity        2 NeutralProcessing                 1045       79.65%     1.653
NeutralProcessing            Maturity        2 ReassertionProcessing               58        4.42%     0.775
NeutralProcessing            Maturity        2 DestructiveRotation                  3        0.23%     0.085
NeutralProcessing            Maturity        2 ConstructiveEmergence                3        0.23%     0.971
NeutralProcessing            Maturity        2 MixedStructure                      78        5.95%     0.571
NeutralProcessing            Decay           2 RecoveryResolution                  92        2.26%     0.469
NeutralProcessing            Decay           2 ExhaustionPersistence              133        3.26%     0.611
NeutralProcessing            Decay           2 CompressionProcessing              289        7.09%     0.385
NeutralProcessing            Decay           2 NeutralProcessing                 2696       66.14%     1.372
NeutralProcessing            Decay           2 ReassertionProcessing              328        8.05%     1.411
NeutralProcessing            Decay           2 DecayToNeutral                      73        1.79%     0.425
NeutralProcessing            Decay           2 DestructiveRotation                 16        0.39%     0.146
NeutralProcessing            Decay           2 ConstructiveEmergence               13        0.32%     1.355
NeutralProcessing            Decay           2 MixedStructure                     436       10.70%     1.028
NeutralProcessing            Terminal        2 RecoveryResolution                  20        2.06%     0.427
NeutralProcessing            Terminal        2 ExhaustionPersistence               27        2.77%     0.519
NeutralProcessing            Terminal        2 CompressionProcessing               74        7.61%     0.413
NeutralProcessing            Terminal        2 NeutralProcessing                  656       67.42%     1.399
NeutralProcessing            Terminal        2 ReassertionProcessing               66        6.78%     1.189
NeutralProcessing            Terminal        2 DecayToNeutral                      20        2.06%     0.488
NeutralProcessing            Terminal        2 DestructiveRotation                  4        0.41%     0.153
NeutralProcessing            Terminal        2 ConstructiveEmergence                1        0.10%     0.437
NeutralProcessing            Terminal        2 MixedStructure                     105       10.79%     1.037
ReassertionProcessing        Terminal        2 RecoveryResolution                  31        1.55%     0.323
ReassertionProcessing        Terminal        2 ExhaustionPersistence               47        2.35%     0.441
ReassertionProcessing        Terminal        2 CompressionProcessing              150        7.52%     0.408
ReassertionProcessing        Terminal        2 NeutralProcessing                 1034       51.80%     1.075
ReassertionProcessing        Terminal        2 ReassertionProcessing              352       17.64%     3.092
ReassertionProcessing        Terminal        2 DecayToNeutral                      68        3.41%     0.808
ReassertionProcessing        Terminal        2 DestructiveRotation                157        7.87%     2.925
ReassertionProcessing        Terminal        2 ConstructiveEmergence               10        0.50%     2.128
ReassertionProcessing        Terminal        2 MixedStructure                     147        7.36%     0.708
ReassertionProcessing        Insufficient    2 ExhaustionPersistence                2       13.33%     2.495
ReassertionProcessing        Insufficient    2 CompressionProcessing                3       20.00%     1.087
ReassertionProcessing        Insufficient    2 NeutralProcessing                    2       13.33%     0.277
ReassertionProcessing        Insufficient    2 ReassertionProcessing                5       33.33%     5.844
ReassertionProcessing        Insufficient    2 DecayToNeutral                       1        6.67%     1.582
ReassertionProcessing        Insufficient    2 DestructiveRotation                  2       13.33%     4.959
DecayToNeutral               Birth           2 RecoveryResolution                  44        2.96%     0.616
DecayToNeutral               Birth           2 ExhaustionPersistence               55        3.70%     0.693
DecayToNeutral               Birth           2 CompressionProcessing              172       11.58%     0.629
DecayToNeutral               Birth           2 NeutralProcessing                  431       29.02%     0.602
DecayToNeutral               Birth           2 ReassertionProcessing               59        3.97%     0.697
DecayToNeutral               Birth           2 DecayToNeutral                     277       18.65%     4.426
DecayToNeutral               Birth           2 DestructiveRotation                 99        6.67%     2.479
DecayToNeutral               Birth           2 ConstructiveEmergence               12        0.81%     3.433
DecayToNeutral               Birth           2 MixedStructure                     336       22.63%     2.174
DestructiveRotation          Maturity        2 RecoveryResolution                   5        5.00%     1.039
DestructiveRotation          Maturity        2 ExhaustionPersistence                4        4.00%     0.749
DestructiveRotation          Maturity        2 CompressionProcessing               12       12.00%     0.652
DestructiveRotation          Maturity        2 NeutralProcessing                   34       34.00%     0.705
DestructiveRotation          Maturity        2 ReassertionProcessing                3        3.00%     0.526
DestructiveRotation          Maturity        2 DecayToNeutral                      18       18.00%     4.271
DestructiveRotation          Maturity        2 DestructiveRotation                 10       10.00%     3.719
DestructiveRotation          Maturity        2 MixedStructure                      14       14.00%     1.345
DestructiveRotation          Terminal        2 RecoveryResolution                  29        3.47%     0.721
DestructiveRotation          Terminal        2 ExhaustionPersistence               45        5.38%     1.007
DestructiveRotation          Terminal        2 CompressionProcessing              107       12.80%     0.695
DestructiveRotation          Terminal        2 NeutralProcessing                  306       36.60%     0.760
DestructiveRotation          Terminal        2 ReassertionProcessing               65        7.78%     1.363
DestructiveRotation          Terminal        2 DecayToNeutral                      81        9.69%     2.299
DestructiveRotation          Terminal        2 DestructiveRotation                 86       10.29%     3.826
DestructiveRotation          Terminal        2 ConstructiveEmergence                3        0.36%     1.524
DestructiveRotation          Terminal        2 MixedStructure                     114       13.64%     1.310
DestructiveRotation          Insufficient    2 CompressionProcessing                2       16.67%     0.906
DestructiveRotation          Insufficient    2 NeutralProcessing                    3       25.00%     0.519
DestructiveRotation          Insufficient    2 DecayToNeutral                       1        8.33%     1.977
DestructiveRotation          Insufficient    2 DestructiveRotation                  5       41.67%    15.497
DestructiveRotation          Insufficient    2 MixedStructure                       1        8.33%     0.801
ConstructiveEmergence        Birth           2 RecoveryResolution                   2        2.41%     0.501
ConstructiveEmergence        Birth           2 ExhaustionPersistence                4        4.82%     0.902
ConstructiveEmergence        Birth           2 CompressionProcessing                7        8.43%     0.458
ConstructiveEmergence        Birth           2 NeutralProcessing                   40       48.19%     1.000
ConstructiveEmergence        Birth           2 DecayToNeutral                       8        9.64%     2.287
ConstructiveEmergence        Birth           2 DestructiveRotation                  2        2.41%     0.896
ConstructiveEmergence        Birth           2 MixedStructure                      20       24.10%     2.316
MixedStructure               Growth          2 RecoveryResolution                  11        3.10%     0.644
MixedStructure               Growth          2 ExhaustionPersistence               22        6.20%     1.160
MixedStructure               Growth          2 CompressionProcessing               53       14.93%     0.811
MixedStructure               Growth          2 NeutralProcessing                  129       36.34%     0.754
MixedStructure               Growth          2 ReassertionProcessing               12        3.38%     0.593
MixedStructure               Growth          2 DecayToNeutral                      42       11.83%     2.807
MixedStructure               Growth          2 DestructiveRotation                  1        0.28%     0.105
MixedStructure               Growth          2 ConstructiveEmergence                1        0.28%     1.197
MixedStructure               Growth          2 MixedStructure                      84       23.66%     2.274
MixedStructure               Maturity        2 RecoveryResolution                   3        7.14%     1.485
MixedStructure               Maturity        2 ExhaustionPersistence                2        4.76%     0.891
MixedStructure               Maturity        2 CompressionProcessing                5       11.90%     0.647
MixedStructure               Maturity        2 NeutralProcessing                   15       35.71%     0.741
MixedStructure               Maturity        2 DecayToNeutral                       9       21.43%     5.084
MixedStructure               Maturity        2 MixedStructure                       8       19.05%     1.830
MixedStructure               Terminal        2 RecoveryResolution                 118        3.62%     0.752
MixedStructure               Terminal        2 ExhaustionPersistence              141        4.32%     0.808
MixedStructure               Terminal        2 CompressionProcessing              446       13.66%     0.742
MixedStructure               Terminal        2 NeutralProcessing                 1380       42.28%     0.877
MixedStructure               Terminal        2 ReassertionProcessing              182        5.58%     0.978
MixedStructure               Terminal        2 DecayToNeutral                     242        7.41%     1.759
MixedStructure               Terminal        2 DestructiveRotation                 65        1.99%     0.741
MixedStructure               Terminal        2 ConstructiveEmergence                5        0.15%     0.651
MixedStructure               Terminal        2 MixedStructure                     685       20.99%     2.017
MixedStructure               Insufficient    2 ExhaustionPersistence                1       11.11%     2.079
MixedStructure               Insufficient    2 NeutralProcessing                    4       44.44%     0.922
MixedStructure               Insufficient    2 ReassertionProcessing                1       11.11%     1.948
MixedStructure               Insufficient    2 DecayToNeutral                       2       22.22%     5.273
MixedStructure               Insufficient    2 MixedStructure                       1       11.11%     1.068
RecoveryResolution           Birth           3 RecoveryResolution                  42        3.89%     0.809
RecoveryResolution           Birth           3 ExhaustionPersistence               84        7.78%     1.457
RecoveryResolution           Birth           3 CompressionProcessing              678       62.84%     3.414
RecoveryResolution           Birth           3 NeutralProcessing                  275       25.49%     0.529
RecoveryResolution           Maturity        3 RecoveryResolution                  21        6.19%     1.288
RecoveryResolution           Maturity        3 ExhaustionPersistence               30        8.85%     1.656
RecoveryResolution           Maturity        3 CompressionProcessing              180       53.10%     2.885
RecoveryResolution           Maturity        3 NeutralProcessing                  108       31.86%     0.661
RecoveryResolution           Terminal        3 RecoveryResolution                  24        9.56%     1.988
RecoveryResolution           Terminal        3 ExhaustionPersistence               16        6.37%     1.193
RecoveryResolution           Terminal        3 CompressionProcessing               81       32.27%     1.753
RecoveryResolution           Terminal        3 NeutralProcessing                   77       30.68%     0.637
RecoveryResolution           Terminal        3 ReassertionProcessing                2        0.80%     0.140
RecoveryResolution           Terminal        3 DecayToNeutral                      18        7.17%     1.701
RecoveryResolution           Terminal        3 DestructiveRotation                 11        4.38%     1.630
RecoveryResolution           Terminal        3 MixedStructure                      22        8.76%     0.842
RecoveryResolution           Insufficient    3 RecoveryResolution                   2        7.41%     1.540
RecoveryResolution           Insufficient    3 ExhaustionPersistence                1        3.70%     0.693
RecoveryResolution           Insufficient    3 CompressionProcessing               13       48.15%     2.616
RecoveryResolution           Insufficient    3 NeutralProcessing                   10       37.04%     0.768
RecoveryResolution           Insufficient    3 DestructiveRotation                  1        3.70%     1.377
ExhaustionPersistence        Birth           3 RecoveryResolution                 289       25.90%     5.383
ExhaustionPersistence        Birth           3 ExhaustionPersistence              176       15.77%     2.951
ExhaustionPersistence        Birth           3 CompressionProcessing               82        7.35%     0.399
ExhaustionPersistence        Birth           3 NeutralProcessing                  286       25.63%     0.532
ExhaustionPersistence        Birth           3 DecayToNeutral                     131       11.74%     2.785
ExhaustionPersistence        Birth           3 DestructiveRotation                152       13.62%     5.065
ExhaustionPersistence        Maturity        3 RecoveryResolution                  80       26.32%     5.471
ExhaustionPersistence        Maturity        3 ExhaustionPersistence               59       19.41%     3.632
ExhaustionPersistence        Maturity        3 CompressionProcessing               22        7.24%     0.393
ExhaustionPersistence        Maturity        3 NeutralProcessing                   78       25.66%     0.532
ExhaustionPersistence        Maturity        3 DecayToNeutral                      32       10.53%     2.497
ExhaustionPersistence        Maturity        3 DestructiveRotation                 32       10.53%     3.915
ExhaustionPersistence        Maturity        3 MixedStructure                       1        0.33%     0.032
ExhaustionPersistence        Decay           3 RecoveryResolution                  51       12.56%     2.611
ExhaustionPersistence        Decay           3 ExhaustionPersistence               47       11.58%     2.166
ExhaustionPersistence        Decay           3 CompressionProcessing               49       12.07%     0.656
ExhaustionPersistence        Decay           3 NeutralProcessing                  144       35.47%     0.736
ExhaustionPersistence        Decay           3 ReassertionProcessing                5        1.23%     0.216
