APVA Sequence Evolution Study v0.1
==================================
Input: Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_OPEN_apva_bar_evidence_v01.csv
Total rows: 35151
SequenceStage logic reuses the crude proxy from APVA_PostBreakoutOOE_10.py.
This is not true PVA OOE.
Same-bar IB/SYM and lateral breakouts create parallel source-specific segments.
Transition-rate lookahead: next 5 bars of the same segment.
Ranked-condition minimum Count: 30

Diagnostics
===========
Total segments:         3181
IBSYM segments:         1191
Lateral segments:       1990
Up segments:            1561
Down segments:          1620
Average segment length: 10.18
Median segment length:  9.00
Max segment length:     20
Zero-length segments:   119

Segment Ledger
==============
SegmentId Type     Direction   StartBar     EndBar   Length  MaxStage  ToStage1  ToStage2  ToStage3  ToStage4
      809 IBSYM    Down            8565       8565        1         0        NA        NA        NA        NA
      810 Lateral  Down            8567       8577       11         3         2         3         5        NA
      811 IBSYM    Down            8579       8585        7         1         1        NA        NA        NA
      812 Lateral  Down            8579       8585        7         1         1        NA        NA        NA
      813 Lateral  Down            8587       8588        2         0        NA        NA        NA        NA
      814 IBSYM    Up              8590       8593        4         1         2        NA        NA        NA
      815 Lateral  Down            8595       8599        5         2         1         2        NA        NA
      816 IBSYM    Up              8601       8607        7         3         1         2         5        NA
      817 Lateral  Up              8601       8607        7         3         1         2         5        NA
      818 Lateral  Down            8609       8615        7         1         6        NA        NA        NA
      819 Lateral  Down            8617       8636       20         4         1         3         6         9
      820 Lateral  Up              8638       8643        6         2         2         4        NA        NA
      821 IBSYM    Up              8645       8658       14         3         1         4        11        NA
      822 Lateral  Up              8645       8658       14         3         1         4        11        NA
      823 Lateral  Down            8660       8679       20         4         2         5         7         9
      824 Lateral  Down            8682       8701       20         3         2        11        17        NA
      825 Lateral  Up              8709       8728       20         3         1        11        20        NA
      826 IBSYM    Up              8745       8758       14         4         5         7        10        11
      827 Lateral  Up              8745       8758       14         4         5         7        10        11
      828 IBSYM    Up              8760       8761        2         0        NA        NA        NA        NA
      829 Lateral  Up              8760       8761        2         0        NA        NA        NA        NA
      830 IBSYM    Down            8763       8762        0         0        NA        NA        NA        NA
      831 Lateral  Down            8764       8777       14         4         2         4         6         8
      832 IBSYM    Up              8779       8784        6         1         2        NA        NA        NA
      833 Lateral  Up              8786       8805       20         2         1        19        NA        NA
      834 IBSYM    Down            8809       8809        1         1         1        NA        NA        NA
      835 IBSYM    Down            8811       8822       12         3         2         8        10        NA
      836 Lateral  Down            8811       8822       12         3         2         8        10        NA
      837 IBSYM    Up              8824       8824        1         1         1        NA        NA        NA
      838 Lateral  Up              8824       8824        1         1         1        NA        NA        NA
      839 Lateral  Up              8826       8830        5         1         3        NA        NA        NA
      840 Lateral  Up              8832       8842       11         2         1         8        NA        NA
      841 Lateral  Down            8844       8852        9         2         6         7        NA        NA
      842 IBSYM    Down            8854       8861        8         2         3         4        NA        NA
      843 Lateral  Down            8854       8861        8         2         3         4        NA        NA
      844 IBSYM    Down            8863       8872       10         2         1         5        NA        NA
      845 Lateral  Down            8874       8893       20         4         5        12        19        20
      846 Lateral  Down            8902       8914       13         4         2         4         7         8
      847 Lateral  Up              8916       8927       12         3         3         7         9        NA
      848 IBSYM    Up              8929       8943       15         4         1         2         4         9
      849 Lateral  Up              8929       8943       15         4         1         2         4         9
      850 Lateral  Up              8945       8951        7         3         3         5         7        NA
      851 Lateral  Down            8953       8970       18         3         1         2        11        NA
      852 Lateral  Down            8972       8974        3         1         3        NA        NA        NA
      853 Lateral  Down            8976       8979        4         2         3         4        NA        NA
      854 Lateral  Up              8981       9000       20         3         1         2        18        NA
      855 Lateral  Up              9004       9008        5         1         4        NA        NA        NA
      856 IBSYM    Up              9010       9011        2         0        NA        NA        NA        NA
      857 IBSYM    Down            9013       9032       20         4         2         4         9        19
      858 Lateral  Up              9041       9060       20         4         1         2        14        18
      859 Lateral  Down            9064       9066        3         2         1         2        NA        NA
      860 IBSYM    Down            9068       9071        4         3         2         3         4        NA
      861 Lateral  Down            9068       9071        4         3         2         3         4        NA
      862 Lateral  Up              9073       9079        7         3         1         5         7        NA
      863 Lateral  Down            9081       9100       20         4         2         5         7        11
      864 IBSYM    Up              9102       9112       11         4         4         6         8         9
      865 Lateral  Down            9114       9124       11         3         3         5        10        NA
      866 Lateral  Up              9126       9129        4         2         2         4        NA        NA
      867 Lateral  Up              9131       9150       20         4         1         3        12        13
      868 Lateral  Down            9170       9188       19         4         1         6         8        10
      869 Lateral  Down            9190       9200       11         4         1         5         7         8
      870 IBSYM    Up              9202       9208        7         1         5        NA        NA        NA
      871 Lateral  Up              9202       9208        7         1         5        NA        NA        NA
      872 Lateral  Up              9210       9213        4         1         3        NA        NA        NA
      873 Lateral  Down            9215       9216        2         0        NA        NA        NA        NA
      874 IBSYM    Up              9218       9224        7         1         2        NA        NA        NA
      875 Lateral  Up              9218       9224        7         1         2        NA        NA        NA
      876 Lateral  Up              9226       9244       19         4         1         2         7        13
      877 IBSYM    Up              9246       9252        7         2         2         4        NA        NA
      878 Lateral  Up              9246       9252        7         2         2         4        NA        NA
      879 Lateral  Up              9254       9272       19         4         2         4         8        15
      880 Lateral  Up              9274       9275        2         0        NA        NA        NA        NA
      881 Lateral  Up              9277       9289       13         4         1         5         7         9
      882 IBSYM    Up              9291       9290        0         0        NA        NA        NA        NA
      883 Lateral  Up              9292       9301       10         1         3        NA        NA        NA
      884 IBSYM    Down            9303       9307        5         2         1         5        NA        NA
      885 Lateral  Down            9303       9307        5         2         1         5        NA        NA
      886 IBSYM    Up              9309       9313        5         2         1         2        NA        NA
      887 Lateral  Down            9315       9323        9         2         1         4        NA        NA
      888 IBSYM    Up              9325       9326        2         0        NA        NA        NA        NA
      889 Lateral  Up              9328       9329        2         0        NA        NA        NA        NA
      890 IBSYM    Up              9331       9333        3         1         3        NA        NA        NA
      891 Lateral  Up              9331       9333        3         1         3        NA        NA        NA
      892 IBSYM    Down            9335       9341        7         4         2         3         5         7
      893 Lateral  Down            9335       9341        7         4         2         3         5         7
      894 Lateral  Down            9343       9362       20         2         2        12        NA        NA
      895 IBSYM    Up              9406       9412        7         1         2        NA        NA        NA
      896 Lateral  Up              9406       9412        7         1         2        NA        NA        NA
      897 IBSYM    Up              9414       9433       20         4         1         5         6        15
      898 Lateral  Up              9414       9433       20         4         1         5         6        15
      899 Lateral  Up              9452       9471       20         4         1         3         4         5
      900 IBSYM    Up              9487       9506       20         4         4        12        13        15
      901 Lateral  Up              9487       9506       20         4         4        12        13        15
      902 IBSYM    Down            9523       9542       20         4         1         3         4         6
      903 IBSYM    Down            9564       9580       17         4         2        11        15        16
      904 IBSYM    Down            9582       9590        9         1         1        NA        NA        NA
      905 Lateral  Down            9592       9611       20         4         2         9        12        14
      906 IBSYM    Up              9614       9614        1         0        NA        NA        NA        NA
      907 Lateral  Up              9614       9614        1         0        NA        NA        NA        NA
      908 IBSYM    Down            9616       9626       11         2         4        11        NA        NA
      909 Lateral  Up              9628       9630        3         1         1        NA        NA        NA
      910 Lateral  Down            9632       9651       20         4         3         6        12        13
      911 IBSYM    Up              9687       9688        2         0        NA        NA        NA        NA
      912 IBSYM    Up              9690       9690        1         0        NA        NA        NA        NA
      913 Lateral  Up              9692       9697        6         2         1         5        NA        NA
      914 Lateral  Down            9699       9704        6         2         1         4        NA        NA
      915 Lateral  Up              9706       9708        3         2         1         2        NA        NA
      916 IBSYM    Up              9710       9729       20         2         2         3        NA        NA
      917 Lateral  Up              9710       9729       20         2         2         3        NA        NA
      918 Lateral  Down            9733       9744       12         4         1         4         5         6
      919 IBSYM    Down            9746       9755       10         4         2         5         7         8
      920 Lateral  Down            9746       9755       10         4         2         5         7         8
      921 IBSYM    Down            9757       9766       10         4         1         3         5         7
      922 Lateral  Down            9757       9766       10         4         1         3         5         7
      923 IBSYM    Up              9768       9787       20         2         1         4        NA        NA
      924 Lateral  Up              9768       9787       20         2         1         4        NA        NA
      925 IBSYM    Down            9815       9824       10         4         1         3         5         7
      926 Lateral  Down            9815       9824       10         4         1         3         5         7
      927 IBSYM    Up              9826       9835       10         2         3         6        NA        NA
      928 Lateral  Up              9826       9835       10         2         3         6        NA        NA
      929 Lateral  Up              9837       9840        4         1         1        NA        NA        NA
      930 IBSYM    Down            9842       9853       12         2         2        10        NA        NA
      931 Lateral  Down            9855       9873       19         4         4         5         7        10
      932 Lateral  Down            9875       9880        6         2         1         5        NA        NA
      933 Lateral  Up              9882       9887        6         2         3         4        NA        NA
      934 Lateral  Down            9889       9888        0         0        NA        NA        NA        NA
      935 IBSYM    Up              9890       9893        4         2         2         4        NA        NA
      936 IBSYM    Down            9895       9894        0         0        NA        NA        NA        NA
      937 Lateral  Down            9896       9907       12         2         2        11        NA        NA
      938 Lateral  Up              9909       9918       10         2         3         4        NA        NA
      939 Lateral  Down            9920       9939       20         4         5         9        10        14
      940 IBSYM    Up              9948       9967       20         3         6        11        14        NA
      941 Lateral  Up              9948       9967       20         3         6        11        14        NA
      942 IBSYM    Down            9976       9987       12         3         1         2         9        NA
      943 Lateral  Down            9976       9987       12         3         1         2         9        NA
      944 Lateral  Down            9989       9992        4         3         1         2         4        NA
      945 IBSYM    Down            9994       9996        3         0        NA        NA        NA        NA
      946 Lateral  Up              9998      10017       20         4         1         2         5         6
      947 Lateral  Up             10020      10039       20         4         2         6        10        14
      948 IBSYM    Up             10055      10060        6         3         1         3         5        NA
      949 Lateral  Up             10055      10060        6         3         1         3         5        NA
      950 Lateral  Down           10062      10074       13         2         7         8        NA        NA
      951 IBSYM    Up             10076      10081        6         3         3         4         6        NA
      952 Lateral  Up             10083      10089        7         2         3         4        NA        NA
      953 Lateral  Up             10091      10098        8         2         1         6        NA        NA
      954 Lateral  Up             10100      10109       10         3         1         5         7        NA
      955 IBSYM    Down           10111      10114        4         2         2         4        NA        NA
      956 Lateral  Down           10111      10114        4         2         2         4        NA        NA
      957 Lateral  Up             10116      10135       20         3         2         5        19        NA
      958 IBSYM    Down           10142      10161       20         4         2         4         7        12
      959 Lateral  Down           10142      10161       20         4         2         4         7        12
      960 IBSYM    Up             10164      10169        6         2         1         5        NA        NA
      961 Lateral  Up             10164      10169        6         2         1         5        NA        NA
      962 IBSYM    Up             10171      10176        6         2         1         4        NA        NA
      963 Lateral  Up             10171      10176        6         2         1         4        NA        NA
      964 Lateral  Down           10178      10182        5         2         2         3        NA        NA
      965 IBSYM    Down           10184      10202       19         4         1         3         4         6
      966 Lateral  Down           10184      10202       19         4         1         3         4         6
      967 IBSYM    Down           10204      10206        3         1         3        NA        NA        NA
      968 Lateral  Down           10208      10213        6         1         4        NA        NA        NA
      969 IBSYM    Down           10215      10214        0         0        NA        NA        NA        NA
      970 Lateral  Down           10216      10219        4         3         2         3         4        NA
      971 Lateral  Up             10221      10229        9         2         6         9        NA        NA
      972 IBSYM    Down           10231      10233        3         0        NA        NA        NA        NA
      973 Lateral  Down           10231      10233        3         0        NA        NA        NA        NA
      974 IBSYM    Up             10235      10237        3         1         3        NA        NA        NA
      975 Lateral  Up             10235      10237        3         1         3        NA        NA        NA
      976 Lateral  Up             10239      10255       17         4         1         2         7         8
      977 IBSYM    Down           10257      10256        0         0        NA        NA        NA        NA
      978 Lateral  Down           10258      10269       12         3         1         2        12        NA
      979 IBSYM    Down           10271      10277        7         3         1         5         7        NA
      980 Lateral  Down           10271      10277        7         3         1         5         7        NA
      981 Lateral  Down           10279      10284        6         1         2        NA        NA        NA
      982 IBSYM    Up             10286      10290        5         2         1         5        NA        NA
      983 Lateral  Up             10286      10290        5         2         1         5        NA        NA
      984 IBSYM    Down           10292      10300        9         1         2        NA        NA        NA
      985 Lateral  Down           10292      10300        9         1         2        NA        NA        NA
      986 IBSYM    Down           10302      10301        0         0        NA        NA        NA        NA
      987 Lateral  Down           10303      10322       20         4         1        10        14        20
      988 IBSYM    Up             10334      10340        7         2         1         5        NA        NA
      989 Lateral  Up             10334      10340        7         2         1         5        NA        NA
      990 Lateral  Up             10342      10358       17         4         1         2         8        10
      991 IBSYM    Down           10360      10360        1         0        NA        NA        NA        NA
      992 Lateral  Up             10362      10375       14         2         2        13        NA        NA
      993 Lateral  Down           10377      10396       20         4         1         2         7         9
      994 IBSYM    Down           10410      10409        0         0        NA        NA        NA        NA
      995 Lateral  Up             10411      10420       10         2         1         5        NA        NA
      996 IBSYM    Up             10422      10441       20         3         1        13        20        NA
      997 Lateral  Up             10422      10441       20         3         1        13        20        NA
      998 Lateral  Up             10447      10458       12         3         2         4         5        NA
      999 Lateral  Down           10460      10468        9         3         2         4         5        NA
     1000 Lateral  Up             10470      10477        8         3         2         5         8        NA
     1001 IBSYM    Up             10479      10479        1         1         1        NA        NA        NA
     1002 Lateral  Up             10481      10491       11         2         3         9        NA        NA
     1003 Lateral  Down           10493      10495        3         2         1         2        NA        NA
     1004 IBSYM    Down           10497      10497        1         1         1        NA        NA        NA
     1005 Lateral  Down           10497      10497        1         1         1        NA        NA        NA
     1006 IBSYM    Down           10499      10518       20         4         1         3         5         6
     1007 Lateral  Down           10529      10548       20         4         3         6        18        19
     1008 Lateral  Down           10551      10560       10         2         1         5        NA        NA
     1009 Lateral  Up             10562      10566        5         1         3        NA        NA        NA
     1010 IBSYM    Down           10568      10568        1         0        NA        NA        NA        NA
     1011 Lateral  Down           10570      10580       11         2         5         6        NA        NA
     1012 Lateral  Down           10582      10594       13         4         4         7         9        10
     1013 Lateral  Down           10596      10606       11         3         2         6        11        NA
     1014 Lateral  Down           10608      10627       20         4         1         7        13        20
     1015 Lateral  Up             10631      10650       20         4         1         4        17        18
     1016 IBSYM    Up             10662      10681       20         4         4         6         9        15
     1017 Lateral  Up             10662      10681       20         4         4         6         9        15
     1018 Lateral  Down           10684      10685        2         0        NA        NA        NA        NA
     1019 Lateral  Down           10687      10689        3         2         1         3        NA        NA
     1020 Lateral  Down           10691      10706       16         4         4         5        10        15
     1021 IBSYM    Down           10708      10710        3         2         2         3        NA        NA
     1022 Lateral  Up             10712      10725       14         1         8        NA        NA        NA
     1023 IBSYM    Down           10727      10729        3         1         3        NA        NA        NA
     1024 Lateral  Down           10727      10729        3         1         3        NA        NA        NA
     1025 IBSYM    Down           10731      10743       13         4         2         5         7         9
     1026 Lateral  Down           10731      10743       13         4         2         5         7         9
     1027 Lateral  Down           10745      10755       11         3         1         5         6        NA
     1028 Lateral  Up             10757      10769       13         3         1         2        13        NA
     1029 Lateral  Down           10771      10784       14         4         1         2         8         9
     1030 Lateral  Down           10786      10791        6         2         1         6        NA        NA
     1031 Lateral  Down           10793      10798        6         2         2         4        NA        NA
     1032 Lateral  Up             10800      10811       12         4         2         3         7         8
     1033 Lateral  Down           10813      10832       20         4         4         7        10        12
     1034 IBSYM    Down           10834      10848       15         3         2         6         7        NA
     1035 Lateral  Down           10834      10848       15         3         2         6         7        NA
     1036 IBSYM    Up             10850      10869       20         4         2         3         8        10
     1037 Lateral  Up             10850      10869       20         4         2         3         8        10
     1038 Lateral  Down           10941      10950       10         3         1         7         8        NA
     1039 IBSYM    Up             10952      10960        9         2         4         8        NA        NA
     1040 Lateral  Up             10952      10960        9         2         4         8        NA        NA
     1041 Lateral  Up             10962      10971       10         4         2         4         7         9
     1042 IBSYM    Down           10973      10974        2         0        NA        NA        NA        NA
     1043 IBSYM    Up             10976      10976        1         0        NA        NA        NA        NA
     1044 Lateral  Up             10978      10997       20         4         1         9        13        18
     1045 IBSYM    Up             11046      11065       20         4         2         7         8        11
     1046 IBSYM    Up             11069      11070        2         1         2        NA        NA        NA
     1047 Lateral  Down           11072      11075        4         2         1         2        NA        NA
     1048 IBSYM    Up             11077      11085        9         3         3         5         8        NA
     1049 Lateral  Up             11087      11106       20         4         2         3         4         7
     1050 Lateral  Down           11132      11142       11         2         3         8        NA        NA
     1051 Lateral  Down           11144      11163       20         4         1         9        10        20
     1052 Lateral  Up             11182      11201       20         3         2         8        17        NA
     1053 IBSYM    Down           11206      11213        8         2         2         8        NA        NA
     1054 IBSYM    Up             11215      11234       20         4         1         4         8        11
     1055 Lateral  Down           11236      11249       14         4         1         2         7         8
     1056 Lateral  Up             11251      11255        5         2         1         3        NA        NA
     1057 IBSYM    Up             11257      11267       11         3         1         3         9        NA
     1058 Lateral  Up             11257      11267       11         3         1         3         9        NA
     1059 IBSYM    Down           11269      11288       20         4         7        10        11        12
     1060 Lateral  Up             11293      11297        5         1         1        NA        NA        NA
     1061 IBSYM    Down           11299      11298        0         0        NA        NA        NA        NA
     1062 Lateral  Down           11300      11319       20         4         2         8         9        11
     1063 Lateral  Down           11359      11370       12         2         2         5        NA        NA
     1064 IBSYM    Up             11372      11375        4         1         3        NA        NA        NA
     1065 Lateral  Down           11377      11396       20         4         1         7        11        12
     1066 Lateral  Down           11400      11415       16         4         1         2         7        11
     1067 IBSYM    Down           11417      11416        0         0        NA        NA        NA        NA
     1068 Lateral  Down           11418      11422        5         4         1         2         4         5
     1069 Lateral  Up             11424      11440       17         4         2         8         9        10
     1070 Lateral  Up             11442      11455       14         3         1         8        14        NA
     1071 Lateral  Up             11457      11465        9         2         1         5        NA        NA
     1072 IBSYM    Up             11467      11486       20         1         7        NA        NA        NA
     1073 Lateral  Up             11467      11486       20         1         7        NA        NA        NA
     1074 Lateral  Up             11511      11513        3         1         2        NA        NA        NA
     1075 Lateral  Down           11515      11534       20         4         1         5         8        11
     1076 IBSYM    Up             11538      11540        3         0        NA        NA        NA        NA
     1077 Lateral  Up             11542      11544        3         1         2        NA        NA        NA
     1078 IBSYM    Up             11546      11555       10         1         2        NA        NA        NA
     1079 Lateral  Up             11546      11555       10         1         2        NA        NA        NA
     1080 IBSYM    Up             11557      11563        7         1         6        NA        NA        NA
     1081 Lateral  Up             11557      11563        7         1         6        NA        NA        NA
     1082 Lateral  Up             11565      11584       20         4         4         5         6        14
     1083 Lateral  Down           11588      11595        8         3         1         3         8        NA
     1084 Lateral  Up             11597      11609       13         3         2         8        10        NA
     1085 IBSYM    Up             11611      11614        4         1         1        NA        NA        NA
     1086 Lateral  Up             11611      11614        4         1         1        NA        NA        NA
     1087 IBSYM    Down           11616      11619        4         1         4        NA        NA        NA
     1088 Lateral  Down           11616      11619        4         1         4        NA        NA        NA
     1089 Lateral  Down           11621      11640       20         4         1         3         5         6
     1090 Lateral  Down           11665      11684       20         4         1        11        13        14
     1091 IBSYM    Up             11693      11695        3         1         3        NA        NA        NA
     1092 Lateral  Up             11693      11695        3         1         3        NA        NA        NA
     1093 Lateral  Up             11697      11716       20         3         1         3        15        NA
     1094 IBSYM    Down           11743      11742        0         0        NA        NA        NA        NA
     1095 Lateral  Down           11744      11748        5         2         2         5        NA        NA
     1096 Lateral  Down           11750      11756        7         3         3         4         7        NA
     1097 Lateral  Down           11758      11777       20         4         1         8         9        10
     1098 Lateral  Up             11789      11793        5         2         1         5        NA        NA
     1099 Lateral  Down           11795      11805       11         4         1         3         4         6
     1100 Lateral  Down           11807      11813        7         4         2         3         5         6
     1101 Lateral  Down           11815      11821        7         1         1        NA        NA        NA
     1102 Lateral  Down           11823      11842       20         3         2         7         8        NA
     1103 IBSYM    Up             11872      11891       20         4         4         6         8        16
     1104 Lateral  Up             11872      11891       20         4         4         6         8        16
     1105 Lateral  Down           11895      11903        9         4         1         4         7         9
     1106 Lateral  Down           11905      11906        2         1         2        NA        NA        NA
     1107 IBSYM    Down           11908      11907        0         0        NA        NA        NA        NA
     1108 Lateral  Down           11909      11918       10         4         1         2         4         7
     1109 Lateral  Up             11920      11939       20         3         2         6        20        NA
     1110 Lateral  Up             11983      11989        7         2         5         7        NA        NA
     1111 IBSYM    Down           11991      12010       20         4         2         3        13        16
     1112 Lateral  Down           11991      12010       20         4         2         3        13        16
     1113 Lateral  Down           12026      12045       20         4         2         4         7        15
     1114 IBSYM    Down           12066      12074        9         2         2         7        NA        NA
     1115 Lateral  Down           12066      12074        9         2         2         7        NA        NA
     1116 IBSYM    Up             12076      12086       11         4         2         6         7         8
     1117 Lateral  Up             12076      12086       11         4         2         6         7         8
     1118 Lateral  Up             12088      12100       13         2         1        10        NA        NA
     1119 IBSYM    Down           12102      12114       13         3         2         4         5        NA
     1120 Lateral  Down           12102      12114       13         3         2         4         5        NA
     1121 Lateral  Up             12116      12133       18         4         1        12        13        14
     1122 IBSYM    Up             12135      12154       20         4         1         5         8         9
     1123 Lateral  Up             12135      12154       20         4         1         5         8         9
     1124 Lateral  Up             12157      12163        7         2         1         4        NA        NA
     1125 Lateral  Up             12165      12169        5         2         2         3        NA        NA
     1126 Lateral  Down           12171      12184       14         4         3         5         9        12
     1127 Lateral  Down           12186      12188        3         0        NA        NA        NA        NA
     1128 IBSYM    Up             12190      12198        9         4         1         4         5         6
     1129 Lateral  Up             12190      12198        9         4         1         4         5         6
     1130 Lateral  Down           12200      12218       19         2         3         5        NA        NA
     1131 Lateral  Up             12220      12228        9         4         1         4         6         7
     1132 IBSYM    Down           12230      12245       16         4         1         2         6         9
     1133 Lateral  Down           12230      12245       16         4         1         2         6         9
     1134 Lateral  Down           12247      12259       13         2         1         7        NA        NA
     1135 Lateral  Up             12261      12266        6         2         2         3        NA        NA
     1136 Lateral  Up             12268      12282       15         4         1         2         9        13
     1137 Lateral  Down           12284      12287        4         2         1         3        NA        NA
     1138 Lateral  Up             12289      12303       15         4         1         2         5         9
     1139 IBSYM    Up             12305      12314       10         3         1         5         8        NA
     1140 Lateral  Up             12305      12314       10         3         1         5         8        NA
     1141 IBSYM    Up             12316      12316        1         0        NA        NA        NA        NA
     1142 Lateral  Up             12318      12326        9         3         2         4         7        NA
     1143 IBSYM    Down           12328      12338       11         3         2         5        11        NA
     1144 Lateral  Down           12328      12338       11         3         2         5        11        NA
     1145 IBSYM    Down           12340      12341        2         0        NA        NA        NA        NA
     1146 Lateral  Down           12340      12341        2         0        NA        NA        NA        NA
     1147 Lateral  Down           12343      12362       20         4         1         3         6         7
     1148 Lateral  Down           12380      12381        2         1         1        NA        NA        NA
     1149 IBSYM    Down           12383      12390        8         3         2         3         7        NA
     1150 Lateral  Down           12383      12390        8         3         2         3         7        NA
     1151 Lateral  Down           12392      12404       13         2         2         5        NA        NA
     1152 Lateral  Up             12406      12424       19         4         1         3         5         7
     1153 Lateral  Down           12426      12429        4         0        NA        NA        NA        NA
     1154 IBSYM    Down           12431      12444       14         4         3         4         8        13
     1155 IBSYM    Up             12446      12454        9         1         3        NA        NA        NA
     1156 Lateral  Up             12446      12454        9         1         3        NA        NA        NA
     1157 Lateral  Down           12456      12458        3         0        NA        NA        NA        NA
     1158 IBSYM    Up             12460      12479       20         4         2         3         5         6
     1159 Lateral  Up             12460      12479       20         4         2         3         5         6
     1160 IBSYM    Down           12514      12524       11         3         2         5         6        NA
     1161 Lateral  Down           12514      12524       11         3         2         5         6        NA
     1162 Lateral  Down           12526      12528        3         1         1        NA        NA        NA
     1163 Lateral  Up             12530      12537        8         4         1         2         3         4
     1164 Lateral  Up             12539      12540        2         0        NA        NA        NA        NA
     1165 IBSYM    Up             12542      12559       18         4         2         3         7        12
     1166 Lateral  Up             12542      12559       18         4         2         3         7        12
     1167 Lateral  Down           12561      12576       16         4         1         6         7        14
     1168 Lateral  Down           12578      12582        5         1         2        NA        NA        NA
     1169 Lateral  Down           12584      12584        1         1         1        NA        NA        NA
     1170 IBSYM    Down           12586      12585        0         0        NA        NA        NA        NA
     1171 Lateral  Down           12587      12592        6         1         4        NA        NA        NA
     1172 Lateral  Up             12594      12613       20         4         2         6         7        11
     1173 IBSYM    Up             12616      12625       10         4         3         4         6        10
     1174 Lateral  Up             12627      12635        9         3         2         7         8        NA
     1175 Lateral  Down           12637      12646       10         2         5         6        NA        NA
     1176 IBSYM    Up             12648      12649        2         0        NA        NA        NA        NA
     1177 Lateral  Up             12651      12658        8         3         4         5         7        NA
     1178 IBSYM    Down           12660      12659        0         0        NA        NA        NA        NA
     1179 Lateral  Down           12661      12664        4         1         2        NA        NA        NA
     1180 Lateral  Down           12666      12675       10         2         1         4        NA        NA
     1181 IBSYM    Up             12677      12677        1         1         1        NA        NA        NA
     1182 Lateral  Up             12679      12690       12         3         1         4         9        NA
     1183 Lateral  Down           12692      12696        5         3         1         4         5        NA
     1184 IBSYM    Up             12698      12717       20         3         6        11        19        NA
     1185 Lateral  Up             12698      12717       20         3         6        11        19        NA
     1186 IBSYM    Up             12720      12725        6         3         1         4         6        NA
     1187 Lateral  Up             12720      12725        6         3         1         4         6        NA
     1188 IBSYM    Down           12727      12746       20         4         2         7         8        10
     1189 Lateral  Down           12727      12746       20         4         2         7         8        10
     1190 IBSYM    Up             12748      12750        3         1         2        NA        NA        NA
     1191 Lateral  Up             12748      12750        3         1         2        NA        NA        NA
     1192 Lateral  Up             12752      12771       20         4         1         2         4         5
     1193 Lateral  Down           12778      12784        7         1         2        NA        NA        NA
     1194 Lateral  Down           12786      12804       19         4         1         6         7        13
     1195 Lateral  Up             12806      12807        2         0        NA        NA        NA        NA
     1196 Lateral  Up             12809      12828       20         4         2         5        15        18
     1197 Lateral  Up             12834      12845       12         2         4         7        NA        NA
     1198 Lateral  Down           12847      12850        4         2         2         3        NA        NA
     1199 Lateral  Down           12852      12866       15         3         1         6        14        NA
     1200 Lateral  Up             12868      12872        5         1         1        NA        NA        NA
     1201 IBSYM    Down           12874      12875        2         0        NA        NA        NA        NA
     1202 Lateral  Up             12877      12891       15         4         3         4         5        10
     1203 IBSYM    Down           12893      12892        0         0        NA        NA        NA        NA
     1204 Lateral  Down           12894      12906       13         2         4         5        NA        NA
     1205 IBSYM    Down           12908      12923       16         3         2         5        14        NA
     1206 Lateral  Down           12908      12923       16         3         2         5        14        NA
     1207 Lateral  Up             12925      12930        6         2         3         5        NA        NA
     1208 IBSYM    Up             12932      12933        2         0        NA        NA        NA        NA
     1209 Lateral  Up             12932      12933        2         0        NA        NA        NA        NA
     1210 Lateral  Down           12935      12941        7         2         4         5        NA        NA
     1211 IBSYM    Down           12943      12944        2         1         2        NA        NA        NA
     1212 Lateral  Down           12946      12963       18         4         1         2         4        10
     1213 Lateral  Up             12965      12971        7         2         1         2        NA        NA
     1214 IBSYM    Up             12973      12991       19         4         5         6         8         9
     1215 Lateral  Up             12973      12991       19         4         5         6         8         9
     1216 Lateral  Up             12993      13012       20         3         1         3        18        NA
     1217 IBSYM    Up             13022      13027        6         3         2         3         5        NA
     1218 Lateral  Down           13029      13032        4         3         1         2         4        NA
