APVA Excursion Destinations Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Destination event count: 747

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
MixedStructure | BodyRelativeToPrevious | t-3 | 1.5146 | 1.0000 | 2.0573
MixedStructure | BodyRelativeToPrevious | t-5 | 1.0252 | 1.0000 | 1.2722
MixedStructure | TrueRangeRelativeToPrevious | t-1 | 0.9977 | 0.8571 | 0.6472
MixedStructure | TrueRangeRelativeToPrevious | t-2 | 1.2586 | 1.0000 | 0.8687
MixedStructure | TrueRangeRelativeToPrevious | t-3 | 1.3268 | 1.0000 | 1.0349
MixedStructure | TrueRangeRelativeToPrevious | t-5 | 1.0649 | 1.0000 | 0.5338
MixedStructure | VolumeRelativeToPrevious | t-1 | 1.1075 | 0.8933 | 0.9039
MixedStructure | VolumeRelativeToPrevious | t-2 | 1.3588 | 0.9755 | 1.3034
MixedStructure | VolumeRelativeToPrevious | t-3 | 1.5407 | 1.0305 | 1.6575
MixedStructure | VolumeRelativeToPrevious | t-5 | 1.2873 | 0.9400 | 1.7480
MixedStructure | VolumeRelativeToRollingMean | t-1 | 0.7352 | 0.6741 | 0.4282
MixedStructure | VolumeRelativeToRollingMean | t-2 | 0.8854 | 0.6993 | 0.7132
MixedStructure | VolumeRelativeToRollingMean | t-3 | 0.8850 | 0.7152 | 0.8550
MixedStructure | VolumeRelativeToRollingMean | t-5 | 0.6794 | 0.5650 | 0.6985
MixedStructure | VolumeRelativeToSessionMean | t-1 | 0.5774 | 0.4451 | 0.5209
MixedStructure | VolumeRelativeToSessionMean | t-2 | 0.6969 | 0.4811 | 0.7274
MixedStructure | VolumeRelativeToSessionMean | t-3 | 0.6650 | 0.5206 | 0.6334
MixedStructure | VolumeRelativeToSessionMean | t-5 | 0.5539 | 0.3999 | 0.5349
