APVA Loop Closure Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Loop candidates: 2061

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
6E | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50
Aggregate | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
NeutralStart -> Age5 -> ExhaustionPersistence -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 9 | 0.44% | 1 | 8.6667
NeutralStart -> Age3 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 8 | 0.39% | 1 | 7.1250
NeutralStart -> Age6-10 -> RecoveryResolution -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 8 | 0.39% | 1 | 8.5000
NeutralStart -> Age5 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 8 | 0.39% | 1 | 7.5000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> DestructiveRotation -> DestructiveRotation -> NeutralStart | 8 | 0.39% | 1 | 11.8750
NeutralStart -> Age11-20 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 7 | 0.34% | 1 | 18.8571
NeutralStart -> Age5 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 7 | 0.34% | 1 | 8.7143
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 6 | 0.29% | 1 | 15.5000
NeutralStart -> Age5 -> RecoveryResolution -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 6 | 0.29% | 1 | 11.8333
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 6 | 0.29% | 1 | 13.1667
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 6 | 0.29% | 1 | 12.3333
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 6 | 0.29% | 1 | 17.0000
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 6 | 0.29% | 1 | 14.0000
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 6 | 0.29% | 1 | 4.0000
NeutralStart -> Age3 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 6 | 0.29% | 1 | 6.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> DestructiveRotation -> DestructiveRotation -> NeutralStart | 5 | 0.24% | 1 | 5.8000
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 5 | 0.24% | 1 | 16.4000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> DecayToNeutral -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 5 | 0.24% | 1 | 14.0000
NeutralStart -> Age6-10 -> CompressionProcessing -> CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 5 | 0.24% | 1 | 11.8000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 5 | 0.24% | 1 | 15.6000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 5 | 0.24% | 1 | 16.0000
NeutralStart -> Age4 -> RecoveryResolution -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 5 | 0.24% | 1 | 13.4000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 5 | 0.24% | 1 | 10.0000
NeutralStart -> Age3 -> CompressionProcessing -> CompressionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 4 | 0.19% | 1 | 9.0000
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 4 | 0.19% | 1 | 10.7500
NeutralStart -> Age21+ -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 4 | 0.19% | 1 | 27.7500
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 3 | 0.15% | 1 | 5.0000
NeutralStart -> Age3 -> MixedStructure -> MixedStructure -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 3 | 0.15% | 1 | 8.6667
NeutralStart -> Age5 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 3 | 0.15% | 1 | 10.3333
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 3 | 0.15% | 1 | 25.0000
NeutralStart -> Age6-10 -> RecoveryResolution -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 0.15% | 1 | 17.6667
NeutralStart -> Age6-10 -> ConstructiveEmergence -> ConstructiveEmergence -> MixedStructure -> MixedStructure -> NeutralStart | 3 | 0.15% | 1 | 16.6667
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 0.15% | 1 | 16.3333
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 0.15% | 1 | 17.6667
NeutralStart -> Age11-20 -> CompressionProcessing -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 0.15% | 1 | 29.6667
NeutralStart -> Age3 -> MixedStructure -> MixedStructure -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 3 | 0.15% | 1 | 5.0000
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 3 | 0.15% | 1 | 12.0000
NeutralStart -> Age11-20 -> ReassertionProcessing -> ReassertionProcessing -> DestructiveRotation -> DestructiveRotation -> NeutralStart | 3 | 0.15% | 1 | 18.0000
NeutralStart -> Age5 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 0.15% | 1 | 17.0000
NeutralStart -> Age2 -> ConstructiveEmergence -> ConstructiveEmergence -> ConstructiveEmergence -> NeutralStart | 3 | 0.15% | 1 | 3.0000
NeutralStart -> Age6-10 -> CompressionProcessing -> CompressionProcessing -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 3 | 0.15% | 1 | 23.3333
NeutralStart -> Age2 -> DestructiveRotation -> DestructiveRotation -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 3 | 0.15% | 1 | 12.3333
NeutralStart -> Age2 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 0.15% | 1 | 10.3333
NeutralStart -> Age6-10 -> ExhaustionPersistence -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 0.15% | 1 | 19.0000
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 0.15% | 1 | 11.3333
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 3 | 0.15% | 1 | 11.0000

4. Neutral Maturation Table
MaxNeutralAgeReached | Count | Probability | TopDestinationFamily
2 | 931 | 45.37% | MixedStructure
6-10 | 507 | 24.71% | MixedStructure
3 | 242 | 11.79% | MixedStructure
5 | 145 | 7.07% | MixedStructure
11-20 | 126 | 6.14% | MixedStructure
4 | 90 | 4.39% | MixedStructure
