APVA Stage + Alignment + Breakout Type Study v0.1 - 6E
======================================================
Instrument: 6E
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_OPEN_apva_bar_evidence_v01.csv
Total rows: 35179
Total stage-alignment-breakout observations: 28147
Breakout, SequenceStage, alignment, event, and DRFwd logic are reused from prior studies.
This is a descriptive decomposition of the prior Stage x Alignment result.

Observation Counts by BreakoutType
==================================
IBSYM            8724
Lateral         19423

Observation Counts by Stage
===========================
Stage0      2892
Stage1      8403
Stage2      6783
Stage3      3856
Stage4      6213

Observation Counts by Alignment
===============================
Aligned         13938
Opposed         14209

Event x Stage x Alignment x BreakoutType
========================================
Event                    Type       Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
DissipationContained     Lateral   Stage2 Opposed       377    -0.000043    -0.000050    44.30%    51.99%     3.71%
DissipationContained     Lateral   Stage3 Aligned       202     0.000040     0.000050    54.46%    40.59%     4.95%
DissipationContained     Lateral   Stage3 Opposed       475    -0.000047     0.000000    44.42%    49.89%     5.68%
DissipationContained     Lateral   Stage4 Aligned       468     0.000053     0.000050    52.35%    46.37%     1.28%
DissipationContained     Lateral   Stage4 Opposed       437    -0.000055    -0.000050    44.62%    50.80%     4.58%
DissipationAccepted      IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationAccepted      IBSYM     Stage0 Opposed       208     0.000031    -0.000050    44.23%    50.48%     5.29%
DissipationAccepted      IBSYM     Stage1 Aligned       524    -0.000025     0.000000    45.61%    49.05%     5.34%
DissipationAccepted      IBSYM     Stage1 Opposed       170     0.000003    -0.000025    44.12%    50.00%     5.88%
DissipationAccepted      IBSYM     Stage2 Aligned       208     0.000006    -0.000025    46.63%    50.00%     3.37%
DissipationAccepted      IBSYM     Stage2 Opposed       147     0.000026     0.000050    50.34%    39.46%    10.20%
DissipationAccepted      IBSYM     Stage3 Aligned        68    -0.000041    -0.000050    39.71%    54.41%     5.88%
DissipationAccepted      IBSYM     Stage3 Opposed       318    -0.000042    -0.000050    42.77%    52.52%     4.72%
DissipationAccepted      IBSYM     Stage4 Aligned       209    -0.000030     0.000050    52.63%    43.06%     4.31%
DissipationAccepted      IBSYM     Stage4 Opposed       171    -0.000009     0.000000    47.95%    47.95%     4.09%
DissipationAccepted      Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationAccepted      Lateral   Stage0 Opposed       395    -0.000003     0.000000    45.57%    48.86%     5.57%
DissipationAccepted      Lateral   Stage1 Aligned      1246    -0.000011     0.000000    45.51%    48.39%     6.10%
DissipationAccepted      Lateral   Stage1 Opposed       373    -0.000018     0.000000    46.92%    47.45%     5.63%
DissipationAccepted      Lateral   Stage2 Aligned       502     0.000008     0.000050    50.20%    46.81%     2.99%
DissipationAccepted      Lateral   Stage2 Opposed       340    -0.000050     0.000000    44.71%    48.82%     6.47%
DissipationAccepted      Lateral   Stage3 Aligned       170    -0.000002     0.000000    45.88%    49.41%     4.71%
DissipationAccepted      Lateral   Stage3 Opposed       735    -0.000027    -0.000050    43.13%    52.65%     4.22%
DissipationAccepted      Lateral   Stage4 Aligned       537     0.000019     0.000050    51.40%    45.44%     3.17%
DissipationAccepted      Lateral   Stage4 Opposed       408    -0.000013     0.000000    47.55%    48.53%     3.92%
ParticipationPeak        IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        IBSYM     Stage0 Opposed       180     0.000120     0.000000    49.44%    45.56%     5.00%
ParticipationPeak        IBSYM     Stage1 Aligned       456    -0.000053    -0.000050    40.57%    51.10%     8.33%
ParticipationPeak        IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        IBSYM     Stage2 Aligned       201     0.000009    -0.000050    42.79%    53.23%     3.98%
ParticipationPeak        IBSYM     Stage2 Opposed       460    -0.000022     0.000000    45.22%    47.83%     6.96%
ParticipationPeak        IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        IBSYM     Stage3 Opposed        84    -0.000087    -0.000025    46.43%    50.00%     3.57%
ParticipationPeak        IBSYM     Stage4 Aligned       230     0.000012     0.000050    51.74%    43.04%     5.22%
ParticipationPeak        IBSYM     Stage4 Opposed       151    -0.000040    -0.000050    43.05%    51.66%     5.30%
ParticipationPeak        Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        Lateral   Stage0 Opposed       352     0.000052     0.000000    48.86%    47.16%     3.98%
ParticipationPeak        Lateral   Stage1 Aligned      1041    -0.000038     0.000000    43.23%    49.95%     6.82%
ParticipationPeak        Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        Lateral   Stage2 Aligned       500    -0.000012    -0.000050    45.40%    50.60%     4.00%
ParticipationPeak        Lateral   Stage2 Opposed      1023    -0.000037     0.000000    45.45%    49.85%     4.69%
ParticipationPeak        Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        Lateral   Stage3 Opposed       220    -0.000032    -0.000050    44.55%    53.18%     2.27%
ParticipationPeak        Lateral   Stage4 Aligned       508     0.000034     0.000050    51.57%    44.88%     3.54%
ParticipationPeak        Lateral   Stage4 Opposed       348    -0.000071    -0.000050    45.98%    50.86%     3.16%
ParticipationClimactic   IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage0 Opposed        65     0.000185     0.000100    53.85%    40.00%     6.15%
ParticipationClimactic   IBSYM     Stage1 Aligned       146    -0.000123    -0.000075    41.10%    56.16%     2.74%
ParticipationClimactic   IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage2 Aligned       102    -0.000032    -0.000050    43.14%    53.92%     2.94%
ParticipationClimactic   IBSYM     Stage2 Opposed       156    -0.000016     0.000000    47.44%    48.08%     4.49%
ParticipationClimactic   IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage3 Opposed        20    -0.000140    -0.000150    30.00%    55.00%    15.00%
ParticipationClimactic   IBSYM     Stage4 Aligned        78    -0.000126    -0.000075    46.15%    51.28%     2.56%
ParticipationClimactic   IBSYM     Stage4 Opposed        53     0.000092     0.000050    50.94%    45.28%     3.77%
ParticipationClimactic   Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   Lateral   Stage0 Opposed       147     0.000029     0.000000    47.62%    46.94%     5.44%
ParticipationClimactic   Lateral   Stage1 Aligned       499    -0.000047    -0.000050    43.09%    54.31%     2.61%
ParticipationClimactic   Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   Lateral   Stage2 Aligned       256     0.000036     0.000000    47.66%    48.83%     3.52%
ParticipationClimactic   Lateral   Stage2 Opposed       415    -0.000072    -0.000050    44.10%    50.84%     5.06%
ParticipationClimactic   Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   Lateral   Stage3 Opposed        89    -0.000201    -0.000150    37.08%    56.18%     6.74%
ParticipationClimactic   Lateral   Stage4 Aligned       271     0.000087     0.000100    54.24%    42.07%     3.69%
ParticipationClimactic   Lateral   Stage4 Opposed       177    -0.000050    -0.000100    41.24%    54.24%     4.52%
PeakContained            IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            IBSYM     Stage0 Opposed        51     0.000042    -0.000050    43.14%    52.94%     3.92%
PeakContained            IBSYM     Stage1 Aligned       116     0.000034     0.000000    43.10%    48.28%     8.62%
PeakContained            IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            IBSYM     Stage2 Aligned        75     0.000036     0.000050    50.67%    44.00%     5.33%
PeakContained            IBSYM     Stage2 Opposed       160    -0.000062    -0.000025    45.62%    50.00%     4.38%
PeakContained            IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            IBSYM     Stage3 Opposed        19    -0.000045     0.000000    47.37%    47.37%     5.26%
PeakContained            IBSYM     Stage4 Aligned        90     0.000094     0.000050    55.56%    38.89%     5.56%
PeakContained            IBSYM     Stage4 Opposed        44     0.000031     0.000000    45.45%    47.73%     6.82%
PeakContained            Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            Lateral   Stage0 Opposed       104     0.000010    -0.000100    41.35%    57.69%     0.96%
PeakContained            Lateral   Stage1 Aligned       247     0.000007     0.000000    44.94%    47.37%     7.69%
PeakContained            Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            Lateral   Stage2 Aligned       165    -0.000081    -0.000050    40.00%    54.55%     5.45%
PeakContained            Lateral   Stage2 Opposed       367    -0.000015     0.000000    47.41%    48.50%     4.09%
PeakContained            Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            Lateral   Stage3 Opposed        43    -0.000006    -0.000050    44.19%    55.81%     0.00%
PeakContained            Lateral   Stage4 Aligned       191     0.000019     0.000050    51.31%    45.55%     3.14%
PeakContained            Lateral   Stage4 Opposed       115    -0.000185    -0.000050    41.74%    54.78%     3.48%
PeakAccepted             IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             IBSYM     Stage0 Opposed        93     0.000172     0.000000    49.46%    43.01%     7.53%
PeakAccepted             IBSYM     Stage1 Aligned       298    -0.000073    -0.000050    39.93%    51.34%     8.72%
PeakAccepted             IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             IBSYM     Stage2 Aligned        95     0.000001    -0.000100    41.05%    55.79%     3.16%
PeakAccepted             IBSYM     Stage2 Opposed       234     0.000010     0.000000    46.58%    45.30%     8.12%
PeakAccepted             IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             IBSYM     Stage3 Opposed        61    -0.000115    -0.000050    45.90%    50.82%     3.28%
PeakAccepted             IBSYM     Stage4 Aligned       112    -0.000018     0.000050    51.79%    44.64%     3.57%
PeakAccepted             IBSYM     Stage4 Opposed        80    -0.000102    -0.000050    41.25%    53.75%     5.00%
PeakAccepted             Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             Lateral   Stage0 Opposed       173     0.000084     0.000000    49.71%    43.35%     6.94%
PeakAccepted             Lateral   Stage1 Aligned       700    -0.000059    -0.000050    42.14%    51.14%     6.71%
PeakAccepted             Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             Lateral   Stage2 Aligned       251     0.000051     0.000000    49.80%    47.01%     3.19%
PeakAccepted             Lateral   Stage2 Opposed       506    -0.000059     0.000000    44.86%    49.80%     5.34%
PeakAccepted             Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             Lateral   Stage3 Opposed       163    -0.000050    -0.000050    42.94%    53.99%     3.07%
PeakAccepted             Lateral   Stage4 Aligned       251     0.000042     0.000050    52.19%    44.62%     3.19%
PeakAccepted             Lateral   Stage4 Opposed       178    -0.000000     0.000050    51.69%    44.94%     3.37%
ClimacticContained       IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage0 Opposed        16    -0.000059     0.000000    43.75%    43.75%    12.50%
ClimacticContained       IBSYM     Stage1 Aligned        28     0.000045     0.000000    46.43%    39.29%    14.29%
ClimacticContained       IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage2 Aligned        35     0.000074     0.000050    51.43%    45.71%     2.86%
ClimacticContained       IBSYM     Stage2 Opposed        53     0.000017     0.000000    47.17%    45.28%     7.55%
ClimacticContained       IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage3 Opposed         3    -0.000150    -0.000050    33.33%    66.67%     0.00%
ClimacticContained       IBSYM     Stage4 Aligned        26     0.000046     0.000100    53.85%    42.31%     3.85%
ClimacticContained       IBSYM     Stage4 Opposed        15     0.000110     0.000000    46.67%    46.67%     6.67%
ClimacticContained       Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage0 Opposed        47    -0.000105    -0.000100    40.43%    55.32%     4.26%
ClimacticContained       Lateral   Stage1 Aligned        88     0.000090     0.000000    47.73%    46.59%     5.68%
ClimacticContained       Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage2 Aligned        77     0.000111     0.000050    50.65%    46.75%     2.60%
ClimacticContained       Lateral   Stage2 Opposed       145    -0.000032    -0.000050    44.14%    50.34%     5.52%
ClimacticContained       Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage3 Opposed        18    -0.000328    -0.000325    27.78%    66.67%     5.56%
ClimacticContained       Lateral   Stage4 Aligned        65     0.000202     0.000150    58.46%    35.38%     6.15%
ClimacticContained       Lateral   Stage4 Opposed        60    -0.000005    -0.000100    46.67%    53.33%     0.00%
ClimacticAccepted        IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage0 Opposed        38     0.000270     0.000100    52.63%    42.11%     5.26%
ClimacticAccepted        IBSYM     Stage1 Aligned       114    -0.000142    -0.000100    40.35%    59.65%     0.00%
ClimacticAccepted        IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage2 Aligned        58    -0.000067    -0.000075    37.93%    58.62%     3.45%
ClimacticAccepted        IBSYM     Stage2 Opposed        87    -0.000055    -0.000050    44.83%    51.72%     3.45%
ClimacticAccepted        IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage3 Opposed        17    -0.000138    -0.000250    29.41%    52.94%    17.65%
ClimacticAccepted        IBSYM     Stage4 Aligned        47    -0.000256    -0.000100    42.55%    55.32%     2.13%
ClimacticAccepted        IBSYM     Stage4 Opposed        31     0.000168     0.000100    54.84%    41.94%     3.23%
ClimacticAccepted        Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        Lateral   Stage0 Opposed        77     0.000154     0.000050    53.25%    40.26%     6.49%
ClimacticAccepted        Lateral   Stage1 Aligned       388    -0.000057    -0.000050    43.30%    54.64%     2.06%
ClimacticAccepted        Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        Lateral   Stage2 Aligned       158    -0.000009    -0.000050    44.94%    50.63%     4.43%
ClimacticAccepted        Lateral   Stage2 Opposed       231    -0.000087    -0.000050    43.29%    51.95%     4.76%
ClimacticAccepted        Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        Lateral   Stage3 Opposed        69    -0.000145    -0.000050    39.13%    53.62%     7.25%
ClimacticAccepted        Lateral   Stage4 Aligned       186     0.000008     0.000050    51.61%    45.70%     2.69%
ClimacticAccepted        Lateral   Stage4 Opposed        96    -0.000033    -0.000050    41.67%    51.04%     7.29%

Mature Aligned versus Mature Opposed by BreakoutType
====================================================
Event                    Type     LeftCount  LeftCont5 RightCount  RightCont5 DeltaCont5  DeltaMean5
AllBars                  IBSYM         1039    48.99%        770     45.84%     3.15%    0.000015
AllBars                  Lateral       2558    50.70%       1846     45.02%     5.69%    0.000078
DissipationAny           IBSYM          469    51.39%        395     48.86%     2.53%    0.000008
DissipationAny           Lateral       1143    51.53%        923     45.83%     5.70%    0.000071
DissipationContained     IBSYM          200    51.50%        183     46.99%     4.51%    0.000041
DissipationContained     Lateral        468    52.35%        437     44.62%     7.73%    0.000109
DissipationAccepted      IBSYM          209    52.63%        171     47.95%     4.68%   -0.000021
DissipationAccepted      Lateral        537    51.40%        408     47.55%     3.85%    0.000032
