APVA Trajectory Study v0.1 - 6E
===============================
Instrument: 6E
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Valid polarity rows: 31107
Family counts: {'A': 181, 'B': 3069, 'C': 5456, 'D': 6497, 'N': 20057}
Total path windows by length: {3: 35258, 4: 35257, 5: 35256}
Study 30 family precedence reused exactly: A, then B, then C, then D, then N.

Section 1 - Family Path Tables
==============================
Path                               Len    Count   Frequency    Expected       OER
D->N->B->D                           4       26        24    0.000048    0.000100   58.33%   37.50%    4.17%
N->B->B->B                           4       26        22   -0.000255   -0.000150   27.27%   68.18%    4.55%
C->N->B->B                           4       25        24    0.000038    0.000100   54.17%   41.67%    4.17%
D->N->B->B                           4       25        19   -0.000171   -0.000050   31.58%   57.89%   10.53%
B->D->C->C                           4       24        24    0.000194    0.000150   58.33%   37.50%    4.17%
D->D->C->C                           4       24        24   -0.000025    0.000150   58.33%   41.67%    0.00%
B->D->D->N                           4       23        21    0.000393    0.000150   66.67%   28.57%    4.76%
C->A->N->N                           4       23        18    0.000114    0.000125   72.22%   27.78%    0.00%
N->N->A->N                           4       23        19   -0.000268   -0.000250   26.32%   68.42%    5.26%
B->B->C->B                           4       22        19    0.000003   -0.000100   42.11%   57.89%    0.00%
N->B->B->D                           4       22        22   -0.000261   -0.000150   31.82%   59.09%    9.09%
B->C->D->N                           4       21        18   -0.000028    0.000125   66.67%   27.78%    5.56%
B->N->D->B                           4       21        16    0.000056    0.000150   56.25%   37.50%    6.25%
C->B->B->D                           4       21        21    0.000121    0.000100   57.14%   42.86%    0.00%
D->C->B->B                           4       21        17    0.000091    0.000100   52.94%   47.06%    0.00%
D->D->N->B                           4       21        17   -0.000032   -0.000050   41.18%   58.82%    0.00%
C->D->B->N                           4       20        17    0.000482    0.000300   88.24%   11.76%    0.00%
D->C->B->D                           4       20        20   -0.000360   -0.000175   20.00%   75.00%    5.00%
N->N->N->N->N                        5     2102      1664   -0.000008    0.000000   45.85%   47.84%    6.31%
N->N->N->D->N                        5     1304      1088   -0.000009    0.000000   46.97%   47.61%    5.42%
N->N->D->N->N                        5     1278      1028   -0.000025   -0.000050   45.23%   50.19%    4.57%
N->D->N->N->N                        5     1168       943    0.000009    0.000000   48.78%   46.24%    4.98%
N->N->N->N->D                        5     1024      1007   -0.000004    0.000000   45.68%   47.67%    6.65%
D->N->N->N->N                        5      849       687   -0.000019    0.000000   44.25%   49.93%    5.82%
N->D->N->D->N                        5      598       506   -0.000036    0.000000   47.04%   46.84%    6.13%
N->D->N->N->D                        5      551       537    0.000026    0.000000   49.35%   44.69%    5.96%
N->N->D->N->D                        5      528       521   -0.000042   -0.000050   42.61%   52.78%    4.61%
D->N->N->D->N                        5      485       407    0.000005   -0.000050   44.47%   50.61%    4.91%
D->N->D->N->N                        5      441       364    0.000038    0.000000   47.25%   47.53%    5.22%
D->N->N->N->D                        5      434       428   -0.000014    0.000000   45.33%   47.90%    6.78%
C->N->N->N->N                        5      412       333   -0.000027    0.000000   46.55%   46.85%    6.61%
N->C->N->N->N                        5      395       329    0.000062    0.000050   54.10%   41.64%    4.26%
N->N->C->N->N                        5      362       309   -0.000009   -0.000050   46.60%   50.81%    2.59%
N->N->N->C->N                        5      340       283    0.000017    0.000000   44.52%   48.41%    7.07%
N->N->N->N->C                        5      333       330   -0.000027    0.000000   45.45%   49.70%    4.85%
N->N->D->D->N                        5      294       244   -0.000055    0.000000   45.90%   48.36%    5.74%
N->D->D->N->N                        5      276       233   -0.000033    0.000000   46.35%   47.21%    6.44%
B->N->N->N->N                        5      239       189   -0.000068   -0.000050   39.15%   56.08%    4.76%
C->N->N->D->N                        5      230       197    0.000026    0.000050   50.76%   43.15%    6.09%
N->N->N->D->D                        5      224       223    0.000074    0.000050   51.57%   43.50%    4.93%
N->N->D->N->C                        5      222       216   -0.000022    0.000000   45.37%   47.22%    7.41%
N->D->N->N->C                        5      214       214   -0.000003    0.000000   49.53%   43.93%    6.54%
D->N->D->N->D                        5      210       210   -0.000013    0.000000   46.67%   47.62%    5.71%
C->N->N->N->D                        5      209       207   -0.000041   -0.000050   44.44%   50.72%    4.83%
N->D->N->C->N                        5      203       167    0.000034    0.000050   55.09%   41.32%    3.59%
N->N->D->C->N                        5      190       155   -0.000065   -0.000050   41.94%   53.55%    4.52%
N->B->N->N->N                        5      181       152   -0.000004    0.000000   47.37%   47.37%    5.26%
N->N->N->D->C                        5      181       176   -0.000043   -0.000050   38.07%   53.41%    8.52%
D->D->N->N->N                        5      179       142    0.000047    0.000000   49.30%   47.89%    2.82%
N->D->C->N->N                        5      169       147   -0.000097   -0.000100   40.82%   55.10%    4.08%
N->C->N->N->D                        5      167       166    0.000035    0.000000   49.40%   46.99%    3.61%
N->N->N->N->B                        5      164       134   -0.000031   -0.000050   44.03%   52.24%    3.73%
C->N->D->N->N                        5      162       138   -0.000043   -0.000050   42.75%   52.17%    5.07%
N->C->N->D->N                        5      161       135   -0.000009    0.000000   45.93%   47.41%    6.67%
D->N->C->N->N                        5      155       130    0.000042    0.000000   45.38%   47.69%    6.92%
N->N->B->N->N                        5      155       117    0.000044   -0.000050   41.03%   50.43%    8.55%
C->C->N->N->N                        5      154       124    0.000037    0.000050   52.42%   41.94%    5.65%
D->N->N->C->N                        5      140       118   -0.000095   -0.000100   35.59%   61.86%    2.54%
C->N->C->N->N                        5      139       121    0.000055    0.000000   47.11%   49.59%    3.31%
N->N->N->B->N                        5      137       114   -0.000082   -0.000075   41.23%   55.26%    3.51%
B->N->D->N->N                        5      136       113    0.000075    0.000050   53.98%   44.25%    1.77%
C->B->N->N->N                        5      136       112   -0.000006   -0.000050   41.96%   54.46%    3.57%
D->N->N->N->C                        5      136       135    0.000015    0.000000   45.93%   45.93%    8.15%
N->N->C->N->D                        5      134       132    0.000009    0.000000   46.97%   46.97%    6.06%
B->N->N->N->D                        5      129       128   -0.000025    0.000025   50.00%   44.53%    5.47%
D->C->N->N->N                        5      129       114   -0.000011    0.000000   49.12%   46.49%    4.39%
N->N->C->C->N                        5      128       107   -0.000064    0.000000   44.86%   46.73%    8.41%
N->N->N->C->C                        5      123       122   -0.000027    0.000000   46.72%   44.26%    9.02%
N->D->N->D->D                        5      119       118   -0.000067   -0.000075   42.37%   54.24%    3.39%
N->C->B->N->N                        5      118        95   -0.000175   -0.000050   42.11%   54.74%    3.16%
N->C->C->N->N                        5      117       103   -0.000034   -0.000100   41.75%   54.37%    3.88%
N->N->C->B->N                        5      116        95    0.000056    0.000000   48.42%   47.37%    4.21%
N->C->N->C->N                        5      115        94   -0.000013    0.000050   52.13%   46.81%    1.06%
N->D->D->N->D                        5      115       112   -0.000022   -0.000050   41.07%   52.68%    6.25%
D->N->N->D->D                        5      112       110   -0.000080   -0.000050   43.64%   50.91%    5.45%
N->N->N->C->B                        5      111        80   -0.000072   -0.000100   40.00%   56.25%    3.75%
N->C->N->N->C                        5      109       107   -0.000085   -0.000050   45.79%   50.47%    3.74%
C->N->N->C->N                        5      107        96   -0.000090   -0.000025   44.79%   50.00%    5.21%
C->N->N->N->C                        5      107       106   -0.000100   -0.000025   42.45%   50.00%    7.55%
D->N->D->D->N                        5      107        84   -0.000063   -0.000050   42.86%   52.38%    4.76%
N->N->C->N->C                        5      106       104   -0.000048   -0.000025   46.15%   50.00%    3.85%
N->D->B->N->N                        5      105        81   -0.000133   -0.000050   45.68%   50.62%    3.70%
N->B->N->D->N                        5      104        88    0.000068    0.000050   52.27%   40.91%    6.82%
B->N->N->D->N                        5      103        87   -0.000032    0.000050   52.87%   44.83%    2.30%
N->N->D->B->N                        5      101        83    0.000019    0.000000   45.78%   49.40%    4.82%
D->D->N->D->N                        5       99        87    0.000017   -0.000050   39.08%   51.72%    9.20%
N->D->N->B->N                        5       99        78   -0.000037   -0.000025   41.03%   50.00%    8.97%
N->N->D->N->B                        5       97        77   -0.000042    0.000000   48.05%   49.35%    2.60%
N->N->N->D->B                        5       96        81   -0.000004   -0.000050   41.98%   55.56%    2.47%
D->D->N->N->D                        5       90        89    0.000028   -0.000050   44.94%   52.81%    2.25%
B->C->N->N->N                        5       89        78    0.000046    0.000000   48.72%   43.59%    7.69%
D->N->D->N->C                        5       87        86    0.000003    0.000000   48.84%   47.67%    3.49%
N->D->N->N->B                        5       86        64   -0.000028    0.000075   57.81%   42.19%    0.00%
C->C->C->N->N                        5       85        69    0.000164    0.000050   50.72%   43.48%    5.80%
N->D->N->C->C                        5       84        84    0.000026    0.000050   52.38%   45.24%    2.38%
C->C->B->N->N                        5       80        65   -0.000052    0.000000   49.23%   46.15%    4.62%
C->C->N->N->D                        5       79        76    0.000006   -0.000075   43.42%   53.95%    2.63%
N->D->N->C->B                        5       78        66   -0.000017   -0.000025   46.97%   50.00%    3.03%
N->D->N->D->C                        5       78        78    0.000044    0.000050   53.85%   39.74%    6.41%
C->C->N->C->N                        5       76        68    0.000029    0.000000   48.53%   47.06%    4.41%
D->B->N->N->N                        5       76        63    0.000226    0.000100   55.56%   39.68%    4.76%
N->N->C->C->C                        5       75        73    0.000064    0.000050   53.42%   42.47%    4.11%
N->N->N->B->C                        5       75        75    0.000037    0.000000   48.00%   48.00%    4.00%
C->N->D->N->D                        5       74        72   -0.000035   -0.000075   38.89%   56.94%    4.17%
N->D->C->C->N                        5       73        64   -0.000043    0.000000   45.31%   48.44%    6.25%
B->D->N->N->N                        5       72        59    0.000100    0.000100   61.02%   30.51%    8.47%
B->N->C->N->N                        5       72        56   -0.000001    0.000050   51.79%   44.64%    3.57%
D->N->N->D->C                        5       71        69    0.000028    0.000000   44.93%   49.28%    5.80%
C->N->N->C->C                        5       69        69    0.000072    0.000050   52.17%   46.38%    1.45%
N->B->C->N->N                        5       69        58   -0.000060    0.000000   44.83%   48.28%    6.90%
D->N->B->N->N                        5       68        53    0.000063    0.000000   49.06%   43.40%    7.55%
N->N->D->C->C                        5       68        68   -0.000035   -0.000125   38.24%   58.82%    2.94%
N->N->B->C->N                        5       67        53    0.000040    0.000050   52.83%   43.40%    3.77%
N->C->C->C->N                        5       66        57    0.000068    0.000000   47.37%   49.12%    3.51%
N->N->B->N->D                        5       66        64   -0.000139   -0.000100   40.62%   56.25%    3.12%
C->C->N->D->N                        5       64        53    0.000145    0.000100   56.60%   37.74%    5.66%
N->C->C->B->N                        5       64        56    0.000052    0.000075   53.57%   37.50%    8.93%
N->C->C->N->C                        5       64        63   -0.000086    0.000000   44.44%   49.21%    6.35%
D->N->N->C->C                        5       63        60   -0.000047   -0.000050   41.67%   51.67%    6.67%
D->N->N->N->B                        5       63        56    0.000051    0.000050   51.79%   39.29%    8.93%
C->D->N->N->N                        5       62        56   -0.000084   -0.000100   39.29%   55.36%    5.36%
N->N->C->C->B                        5       62        56   -0.000021    0.000025   50.00%   41.07%    8.93%
B->N->N->C->N                        5       61        53   -0.000023    0.000000   47.17%   45.28%    7.55%
N->C->D->N->N                        5       61        55    0.000020    0.000050   52.73%   41.82%    5.45%
C->B->N->N->D                        5       60        59    0.000163    0.000100   55.93%   38.98%    5.08%
N->B->N->N->D                        5       60        59    0.000005   -0.000050   40.68%   55.93%    3.39%
C->B->N->D->N                        5       59        50   -0.000072   -0.000075   42.00%   54.00%    4.00%
N->D->C->N->D                        5       59        57    0.000016   -0.000050   38.60%   50.88%   10.53%
N->D->N->D->B                        5       59        53   -0.000025   -0.000050   43.40%   54.72%    1.89%
N->N->B->D->N                        5       59        48    0.000018   -0.000075   41.67%   52.08%    6.25%
D->C->C->N->N                        5       58        52    0.000048    0.000000   44.23%   46.15%    9.62%
D->C->N->N->D                        5       58        58   -0.000029   -0.000100   34.48%   60.34%    5.17%
D->N->N->B->N                        5       58        45   -0.000033   -0.000050   42.22%   53.33%    4.44%
C->N->B->N->N                        5       57        46    0.000090    0.000050   54.35%   41.30%    4.35%
D->N->C->N->D                        5       56        56   -0.000110   -0.000050   44.64%   55.36%    0.00%
D->N->D->C->N                        5       54        47   -0.000113   -0.000100   38.30%   57.45%    4.26%
N->C->C->N->D                        5       54        52    0.000195    0.000250   61.54%   38.46%    0.00%
N->C->N->B->N                        5       54        46   -0.000016    0.000025   50.00%   47.83%    2.17%
N->N->C->D->N                        5       54        49   -0.000176   -0.000100   34.69%   61.22%    4.08%
B->B->N->N->N                        5       53        39   -0.000097    0.000000   46.15%   48.72%    5.13%
C->N->D->N->C                        5       53        53    0.000035   -0.000100   45.28%   52.83%    1.89%
D->C->N->D->N                        5       53        46    0.000083    0.000000   45.65%   45.65%    8.70%
N->N->C->B->C                        5       52        51   -0.000076    0.000000   49.02%   47.06%    3.92%
B->N->N->N->C                        5       51        51   -0.000092   -0.000150   43.14%   52.94%    3.92%
C->C->N->N->C                        5       51        48    0.000016   -0.000100   45.83%   54.17%    0.00%
D->N->N->C->B                        5       51        41    0.000098   -0.000050   43.90%   51.22%    4.88%
N->C->C->C->C                        5       51        51   -0.000075   -0.000100   35.29%   62.75%    1.96%
N->N->D->C->B                        5       51        41    0.000154    0.000050   56.10%   41.46%    2.44%
N->N->N->C->D                        5       51        50    0.000108    0.000000   48.00%   48.00%    4.00%
C->B->C->N->N                        5       50        44    0.000158    0.000100   59.09%   34.09%    6.82%
D->N->C->C->N                        5       50        44    0.000028    0.000100   56.82%   40.91%    2.27%
D->N->C->N->C                        5       50        49   -0.000065   -0.000050   48.98%   51.02%    0.00%
N->B->D->N->N                        5       50        38    0.000021    0.000025   50.00%   44.74%    5.26%
C->N->N->B->N                        5       49        41   -0.000023   -0.000150   39.02%   56.10%    4.88%
N->C->B->C->N                        5       49        44    0.000035   -0.000075   43.18%   54.55%    2.27%
C->N->N->D->C                        5       48        48    0.000126    0.000050   56.25%   41.67%    2.08%
N->C->N->N->B                        5       48        36   -0.000126   -0.000075   44.44%   55.56%    0.00%
N->D->D->N->C                        5       48        45   -0.000011    0.000000   46.67%   44.44%    8.89%
C->C->C->C->N                        5       47        42   -0.000085   -0.000100   35.71%   54.76%    9.52%
N->B->N->C->N                        5       46        40   -0.000154   -0.000100   35.00%   65.00%    0.00%
N->C->B->N->D                        5       46        46   -0.000112   -0.000200   32.61%   65.22%    2.17%
N->N->C->N->B                        5       46        38    0.000016    0.000000   47.37%   47.37%    5.26%
C->N->C->C->N                        5       45        34   -0.000131   -0.000225   38.24%   58.82%    2.94%
D->N->D->B->N                        5       45        38   -0.000084   -0.000100   34.21%   60.53%    5.26%
N->C->N->C->B                        5       45        35   -0.000024   -0.000100   48.57%   51.43%    0.00%
N->C->N->D->C                        5       44        42   -0.000096   -0.000100   38.10%   59.52%    2.38%
N->D->C->N->C                        5       44        43   -0.000045    0.000000   41.86%   46.51%   11.63%
C->N->C->N->C                        5       43        43   -0.000206   -0.000150   27.91%   65.12%    6.98%
N->N->D->D->C                        5       43        43    0.000192    0.000050   60.47%   32.56%    6.98%
B->C->C->N->N                        5       42        36   -0.000058   -0.000025   41.67%   50.00%    8.33%
B->D->N->D->N                        5       42        32   -0.000119    0.000000   43.75%   43.75%   12.50%
B->N->D->N->D                        5       42        42   -0.000057   -0.000150   38.10%   59.52%    2.38%
D->N->C->B->N                        5       42        35    0.000067    0.000050   51.43%   40.00%    8.57%
N->N->N->B->D                        5       42        42    0.000092    0.000025   50.00%   45.24%    4.76%
C->C->C->B->N                        5       41        34    0.000090   -0.000025   47.06%   50.00%    2.94%
C->N->C->N->D                        5       41        39    0.000222    0.000100   56.41%   33.33%   10.26%
C->N->N->N->B                        5       41        34    0.000004    0.000050   50.00%   41.18%    8.82%
N->C->N->C->C                        5       41        40   -0.000071    0.000000   47.50%   47.50%    5.00%
C->N->N->C->B                        5       40        34   -0.000107   -0.000100   44.12%   52.94%    2.94%
C->N->N->D->D                        5       40        40    0.000200    0.000150   60.00%   40.00%    0.00%
D->N->N->D->B                        5       40        32   -0.000011    0.000000   40.62%   46.88%   12.50%
C->B->N->N->C                        5       39        38    0.000036   -0.000050   42.11%   52.63%    5.26%
C->N->D->C->N                        5       39        35   -0.000059    0.000100   62.86%   37.14%    0.00%
D->D->N->C->N                        5       39        35   -0.000100   -0.000050   45.71%   51.43%    2.86%
N->B->N->N->C                        5       39        37   -0.000134   -0.000100   32.43%   64.86%    2.70%
B->D->N->N->D                        5       38        38   -0.000136   -0.000125   42.11%   55.26%    2.63%
C->B->C->C->N                        5       38        37   -0.000078    0.000050   54.05%   43.24%    2.70%
C->B->D->N->N                        5       38        27   -0.000039    0.000100   51.85%   37.04%   11.11%
N->D->D->C->N                        5       38        34   -0.000147   -0.000075   32.35%   58.82%    8.82%
N->D->D->D->N                        5       38        34    0.000026    0.000050   52.94%   41.18%    5.88%
B->N->N->D->C                        5       37        37    0.000004   -0.000150   43.24%   56.76%    0.00%
C->B->N->C->N                        5       37        33   -0.000009   -0.000050   45.45%   51.52%    3.03%
D->B->N->N->D                        5       37        37   -0.000014    0.000050   51.35%   43.24%    5.41%
N->C->C->B->C                        5       37        36   -0.000289   -0.000225   27.78%   72.22%    0.00%
N->D->C->B->N                        5       37        32    0.000022    0.000000   43.75%   46.88%    9.38%
N->N->D->D->D                        5       37        37   -0.000246    0.000050   54.05%   45.95%    0.00%
N->N->N->B->B                        5       37        31   -0.000044    0.000000   38.71%   45.16%   16.13%
B->C->N->N->D                        5       36        36   -0.000008    0.000025   50.00%   44.44%    5.56%
N->B->B->N->N                        5       36        34    0.000078    0.000100   55.88%   38.24%    5.88%
N->N->B->N->C                        5       36        36   -0.000200   -0.000100   44.44%   55.56%    0.00%
B->C->N->C->N                        5       35        34   -0.000029    0.000000   47.06%   44.12%    8.82%
C->N->C->B->N                        5       35        31   -0.000076   -0.000100   38.71%   58.06%    3.23%
N->C->B->N->C                        5       35        34    0.000051    0.000175   52.94%   44.12%    2.94%
B->C->N->D->N                        5       34        30    0.000170    0.000075   53.33%   36.67%   10.00%
C->N->D->D->N                        5       34        27    0.000093    0.000000   48.15%   37.04%   14.81%
C->B->B->N->N                        5       33        31    0.000124    0.000050   51.61%   38.71%    9.68%
D->D->N->N->C                        5       33        31   -0.000060   -0.000050   45.16%   54.84%    0.00%
D->N->B->N->D                        5       33        33   -0.000003   -0.000050   42.42%   54.55%    3.03%
B->C->B->N->N                        5       32        27   -0.000026   -0.000050   40.74%   55.56%    3.70%
B->C->N->N->C                        5       32        32    0.000075    0.000050   53.12%   40.62%    6.25%
B->N->N->C->C                        5       32        32   -0.000030    0.000000   43.75%   46.88%    9.38%
C->C->N->C->C                        5       32        31   -0.000032   -0.000050   41.94%   51.61%    6.45%
C->D->N->D->N                        5       32        27   -0.000113   -0.000300   25.93%   70.37%    3.70%
C->D->N->N->D                        5       32        32   -0.000027    0.000125   59.38%   37.50%    3.12%
D->N->D->N->B                        5       32        25    0.000070    0.000100   52.00%   48.00%    0.00%
N->N->B->C->C                        5       32        32   -0.000014    0.000025   50.00%   43.75%    6.25%
C->C->B->C->N                        5       31        28    0.000180    0.000275   67.86%   32.14%    0.00%
C->C->C->C->C                        5       31        31    0.000018    0.000000   48.39%   45.16%    6.45%
C->C->N->B->N                        5       31        27   -0.000230   -0.000100   29.63%   62.96%    7.41%
C->N->C->N->B                        5       31        24    0.000085   -0.000050   41.67%   54.17%    4.17%
D->C->B->N->N                        5       31        27    0.000085    0.000150   55.56%   40.74%    3.70%
N->C->B->B->N                        5       31        26   -0.000054   -0.000050   42.31%   53.85%    3.85%
N->D->C->N->B                        5       31        22    0.000116    0.000000   45.45%   45.45%    9.09%
N->N->B->B->N                        5       31        26    0.000112    0.000000   46.15%   46.15%    7.69%
N->N->B->C->B                        5       31        24    0.000094    0.000025   50.00%   41.67%    8.33%
N->N->C->B->B                        5       31        24    0.000208   -0.000050   45.83%   50.00%    4.17%
N->N->D->B->C                        5       31        31    0.000279    0.000050   51.61%   35.48%   12.90%
B->B->N->D->N                        5       30        29   -0.000090    0.000050   51.72%   41.38%    6.90%
C->C->B->C->C                        5       30        30   -0.000122   -0.000125   46.67%   53.33%    0.00%
C->N->C->C->C                        5       30        30    0.000012   -0.000050   46.67%   53.33%    0.00%
D->N->C->C->B                        5       30        23   -0.000483   -0.000300   34.78%   65.22%    0.00%
N->C->C->C->B                        5       30        27   -0.000069   -0.000100   40.74%   55.56%    3.70%
N->D->B->D->N                        5       30        28    0.000129    0.000000   46.43%   39.29%   14.29%
N->D->B->N->D                        5       30        29    0.000128    0.000100   51.72%   41.38%    6.90%
B->N->N->B->N                        5       29        21    0.000117    0.000000   47.62%   33.33%   19.05%
C->C->C->N->C                        5       29        29   -0.000233   -0.000150   41.38%   58.62%    0.00%
D->C->N->C->N                        5       29        25    0.000072   -0.000050   44.00%   52.00%    4.00%
D->C->N->N->C                        5       29        29   -0.000066   -0.000050   48.28%   51.72%    0.00%
N->B->C->C->N                        5       29        24   -0.000054    0.000050   58.33%   41.67%    0.00%
N->C->B->D->N                        5       29        21   -0.000145   -0.000100   33.33%   66.67%    0.00%
N->D->B->N->C                        5       29        29    0.000062    0.000150   51.72%   41.38%    6.90%
B->B->C->N->N                        5       28        20   -0.000107   -0.000150   30.00%   65.00%    5.00%
C->N->B->C->N                        5       28        25   -0.000154   -0.000100   36.00%   60.00%    4.00%
D->N->C->C->C                        5       28        27   -0.000167   -0.000100   37.04%   62.96%    0.00%
D->N->D->C->C                        5       28        27    0.000006    0.000000   44.44%   40.74%   14.81%
N->C->B->C->C                        5       28        28   -0.000036    0.000050   53.57%   46.43%    0.00%
C->N->B->N->C                        5       27        27   -0.000031   -0.000050   48.15%   51.85%    0.00%
C->N->C->D->N                        5       27        24   -0.000006   -0.000125   37.50%   54.17%    8.33%
D->N->N->B->C                        5       27        27   -0.000017    0.000050   51.85%   40.74%    7.41%
N->D->B->C->N                        5       27        23   -0.000100   -0.000150   34.78%   60.87%    4.35%
N->N->D->D->B                        5       27        21   -0.000167   -0.000100   23.81%   71.43%    4.76%
A->N->N->N->N                        5       26        23    0.000263    0.000250   69.57%   26.09%    4.35%
B->N->C->C->N                        5       26        24   -0.000002    0.000075   54.17%   41.67%    4.17%
B->N->C->N->D                        5       26        25    0.000060    0.000000   48.00%   48.00%    4.00%
B->N->D->N->C                        5       26        26    0.000027    0.000075   53.85%   46.15%    0.00%
B->N->N->D->D                        5       26        26    0.000100   -0.000025   50.00%   50.00%    0.00%
C->C->D->N->N                        5       26        23   -0.000039    0.000050   52.17%   43.48%    4.35%
D->D->C->N->N                        5       26        21    0.000060    0.000050   57.14%   38.10%    4.76%
D->D->D->N->N                        5       26        19   -0.000066    0.000000   42.11%   47.37%   10.53%
N->B->C->B->N                        5       26        21   -0.000145   -0.000100   38.10%   57.14%    4.76%
N->B->D->N->D                        5       26        24   -0.000088   -0.000000   50.00%   50.00%    0.00%
N->C->N->D->D                        5       26        26   -0.000031   -0.000100   42.31%   57.69%    0.00%
N->D->D->B->N                        5       26        20   -0.000087   -0.000025   45.00%   50.00%    5.00%
N->N->D->C->D                        5       26        26    0.000062   -0.000100   46.15%   53.85%    0.00%
B->N->N->N->B                        5       25        20    0.000115    0.000175   60.00%   35.00%    5.00%
C->B->N->C->C                        5       25        25    0.000034    0.000050   52.00%   48.00%    0.00%
C->B->N->N->B                        5       25        19   -0.000261   -0.000150   42.11%   57.89%    0.00%
C->C->B->N->C                        5       25        25    0.000362    0.000100   52.00%   40.00%    8.00%
D->B->D->N->N                        5       25        20    0.000070   -0.000050   40.00%   55.00%    5.00%
N->D->N->B->C                        5       25        25    0.000172    0.000150   60.00%   40.00%    0.00%
B->B->N->N->D                        5       24        24   -0.000065    0.000000   45.83%   45.83%    8.33%
C->B->C->B->N                        5       24        18   -0.000039   -0.000150   33.33%   61.11%    5.56%
C->B->C->N->C                        5       24        24   -0.000306   -0.000200   37.50%   62.50%    0.00%
C->C->C->C->B                        5       24        21   -0.000152   -0.000200   42.86%   57.14%    0.00%
C->N->C->C->B                        5       24        21    0.000048   -0.000050   38.10%   57.14%    4.76%
D->B->N->D->N                        5       24        23   -0.000093   -0.000100   39.13%   60.87%    0.00%
D->B->N->N->C                        5       24        22   -0.000136    0.000000   50.00%   50.00%    0.00%
N->B->N->C->C                        5       24        24   -0.000033   -0.000050   45.83%   50.00%    4.17%
N->C->B->C->B                        5       24        21    0.000286    0.000150   71.43%   28.57%    0.00%
N->C->C->D->N                        5       24        21   -0.000219   -0.000200   33.33%   61.90%    4.76%
N->C->N->B->C                        5       24        24   -0.000100   -0.000100   41.67%   58.33%    0.00%
N->C->N->D->B                        5       24        21    0.000119    0.000100   66.67%   28.57%    4.76%
N->D->C->C->B                        5       24        21    0.000069    0.000000   42.86%   47.62%    9.52%
N->N->C->B->D                        5       24        24   -0.000035    0.000050   54.17%   37.50%    8.33%
C->B->B->C->N                        5       23        18    0.000039   -0.000025   38.89%   50.00%   11.11%
C->B->C->C->C                        5       23        22    0.000107    0.000100   54.55%   40.91%    4.55%
C->C->B->N->D                        5       23        23    0.000070    0.000100   60.87%   34.78%    4.35%
C->N->B->N->D                        5       23        23    0.000257    0.000150   73.91%   17.39%    8.70%
C->N->D->B->N                        5       23        17    0.000076    0.000150   58.82%   41.18%    0.00%
C->N->D->N->B                        5       23        18   -0.000269    0.000025   50.00%   38.89%   11.11%
C->N->N->D->B                        5       23        21   -0.000045   -0.000050   38.10%   57.14%    4.76%
D->N->N->B->D                        5       23        23    0.000026    0.000050   56.52%   43.48%    0.00%
N->B->N->B->N                        5       23        21   -0.000121   -0.000150   47.62%   52.38%    0.00%
N->C->D->N->C                        5       23        23   -0.000011    0.000050   56.52%   34.78%    8.70%
N->D->B->B->N                        5       23        21    0.000045   -0.000050   38.10%   57.14%    4.76%
N->D->C->C->C                        5       23        23   -0.000013   -0.000050   30.43%   56.52%   13.04%
N->D->C->D->N                        5       23        21    0.000221    0.000250   71.43%   19.05%    9.52%
N->N->D->B->D                        5       23        23   -0.000048   -0.000050   43.48%   52.17%    4.35%
B->C->C->C->N                        5       22        17   -0.000338   -0.000200   23.53%   70.59%    5.88%
B->C->C->N->C                        5       22        22    0.000034    0.000100   54.55%   40.91%    4.55%
C->C->C->B->C                        5       22        22    0.000030   -0.000225   40.91%   59.09%    0.00%
C->N->C->B->C                        5       22        21    0.000029   -0.000100   47.62%   52.38%    0.00%
N->C->C->B->B                        5       22        19    0.000155    0.000050   52.63%   47.37%    0.00%
N->C->D->N->D                        5       22        21   -0.000050    0.000000   47.62%   47.62%    4.76%
B->D->C->N->N                        5       21        18    0.000092    0.000050   50.00%   38.89%   11.11%
C->C->C->N->D                        5       21        21   -0.000310   -0.000250   23.81%   71.43%    4.76%
C->C->N->N->B                        5       21        15   -0.000250    0.000000   46.67%   46.67%    6.67%
D->B->C->N->N                        5       21        17    0.000050    0.000000   35.29%   47.06%   17.65%
D->B->N->C->N                        5       21        14   -0.000121    0.000025   50.00%   42.86%    7.14%
D->C->C->N->C                        5       21        21   -0.000024    0.000100   52.38%   47.62%    0.00%
D->C->D->N->N                        5       21        17   -0.000279    0.000000   47.06%   41.18%   11.76%
D->C->N->B->N                        5       21        16   -0.000259   -0.000325   31.25%   68.75%    0.00%
D->D->N->N->B                        5       21        15   -0.000153    0.000000   33.33%   46.67%   20.00%
D->N->N->C->D                        5       21        21    0.000050    0.000100   57.14%   33.33%    9.52%
N->D->N->B->D                        5       21        21    0.000014    0.000050   52.38%   42.86%    4.76%
N->D->N->C->D                        5       21        21    0.000007    0.000000   42.86%   47.62%    9.52%
N->N->B->B->C                        5       21        21   -0.000029    0.000000   47.62%   47.62%    4.76%
B->C->C->B->N                        5       20        18    0.000125    0.000125   55.56%   38.89%    5.56%
B->N->B->N->N                        5       20        13    0.000092    0.000000   46.15%   46.15%    7.69%
