APVA Trajectory Study v0.1 - 6E
===============================
Instrument: 6E
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Valid polarity rows: 31107
Family counts: {'A': 181, 'B': 3069, 'C': 5456, 'D': 6497, 'N': 20057}
Total path windows by length: {3: 35258, 4: 35257, 5: 35256}
Study 30 family precedence reused exactly: A, then B, then C, then D, then N.

Section 1 - Family Path Tables
==============================
Path                               Len    Count   Frequency    Expected       OER
N->C->C->B                           4      136      0.39%     41.7953    3.2540
D->D->N->D                           4      135      0.38%    125.4645    1.0760
N->N->B->C                           4      135      0.38%    153.6453    0.8786
B->D->N->N                           4      131      0.37%    182.9607    0.7160
D->N->B->N                           4      131      0.37%    182.9607    0.7160
N->D->C->C                           4      128      0.36%     88.4797    1.4467
D->N->N->B                           4      125      0.35%    182.9607    0.6832
B->N->C->N                           4      124      0.35%    153.6453    0.8071
D->N->C->C                           4      124      0.35%     88.4797    1.4015
C->N->B->N                           4      122      0.35%    153.6453    0.7940
N->B->C->N                           4      122      0.35%    153.6453    0.7940
B->N->N->C                           4      118      0.33%    153.6453    0.7680
C->D->N->N                           4      118      0.33%    325.2635    0.3628
C->B->C->N                           4      113      0.32%     41.7953    2.7037
N->C->D->N                           4      112      0.32%    325.2635    0.3443
C->C->C->C                           4      109      0.31%     20.2122    5.3928
N->C->B->C                           4      106      0.30%     41.7953    2.5362
C->N->C->C                           4      105      0.30%     74.3028    1.4131
D->N->D->C                           4      104      0.29%    105.3616    0.9871
N->B->D->N                           4      102      0.29%    182.9607    0.5575
N->C->N->B                           4      100      0.28%    153.6453    0.6508
B->B->N->N                           4       99      0.28%     86.4255    1.1455
D->C->C->N                           4       99      0.28%     88.4797    1.1189
C->N->N->B                           4       98      0.28%    153.6453    0.6378
C->C->N->D                           4       95      0.27%     88.4797    1.0737
D->N->C->B                           4       92      0.26%     49.7698    1.8485
N->N->B->D                           4       92      0.26%    182.9607    0.5028
C->B->N->D                           4       90      0.26%     49.7698    1.8083
N->B->N->C                           4       89      0.25%    153.6453    0.5793
B->C->C->N                           4       88      0.25%     41.7953    2.1055
C->C->B->C                           4       86      0.24%     11.3694    7.5642
N->D->C->B                           4       86      0.24%     49.7698    1.7280
N->N->C->D                           4       86      0.24%    325.2635    0.2644
C->C->C->B                           4       84      0.24%     11.3694    7.3883
C->B->N->C                           4       83      0.24%     41.7953    1.9859
C->N->C->B                           4       82      0.23%     41.7953    1.9619
C->B->C->C                           4       80      0.23%     11.3694    7.0365
C->N->D->C                           4       77      0.22%     88.4797    0.8703
D->C->N->D                           4       77      0.22%    105.3616    0.7308
N->N->B->B                           4       75      0.21%     86.4255    0.8678
N->B->C->C                           4       74      0.21%     41.7953    1.7705
D->N->D->B                           4       72      0.20%     59.2659    1.2149
N->C->B->B                           4       70      0.20%     23.5099    2.9775
B->N->C->C                           4       69      0.20%     41.7953    1.6509
C->B->B->N                           4       69      0.20%     23.5099    2.9349
B->C->B->N                           4       66      0.19%     23.5099    2.8073
C->N->B->C                           4       66      0.19%     41.7953    1.5791
N->D->D->C                           4       65      0.18%    105.3616    0.6169
D->C->N->C                           4       64      0.18%     88.4797    0.7233
B->C->N->C                           4       63      0.18%     41.7953    1.5073
D->D->N->C                           4       61      0.17%    105.3616    0.5790
C->B->D->N                           4       60      0.17%     49.7698    1.2055
B->N->N->B                           4       59      0.17%     86.4255    0.6827
B->C->C->C                           4       58      0.16%     11.3694    5.1014
N->D->D->D                           4       58      0.16%    125.4645    0.4623
C->C->N->B                           4       57      0.16%     41.7953    1.3638
N->B->B->N                           4       57      0.16%     86.4255    0.6595
B->D->N->D                           4       56      0.16%     59.2659    0.9449
C->B->C->B                           4       55      0.16%      6.3953    8.6001
C->C->B->B                           4       54      0.15%      6.3953    8.4437
N->D->B->C                           4       54      0.15%     49.7698    1.0850
D->C->B->N                           4       53      0.15%     49.7698    1.0649
N->B->C->B                           4       52      0.15%     23.5099    2.2118
B->C->N->D                           4       51      0.14%     49.7698    1.0247
N->C->B->D                           4       50      0.14%     49.7698    1.0046
B->N->B->N                           4       48      0.14%     86.4255    0.5554
C->B->B->C                           4       48      0.14%      6.3953    7.5056
D->D->C->N                           4       48      0.14%    105.3616    0.4556
B->B->C->N                           4       47      0.13%     23.5099    1.9992
D->D->D->N                           4       47      0.13%    125.4645    0.3746
N->B->N->B                           4       47      0.13%     86.4255    0.5438
C->C->D->N                           4       46      0.13%     88.4797    0.5199
C->N->D->D                           4       46      0.13%    105.3616    0.4366
C->D->N->D                           4       45      0.13%    105.3616    0.4271
B->C->C->B                           4       44      0.12%      6.3953    6.8801
C->N->D->B                           4       44      0.12%     49.7698    0.8841
A->N->N->N                           4       43      0.12%     33.3114    1.2909
D->B->C->N                           4       43      0.12%     49.7698    0.8640
B->C->N->B                           4       42      0.12%     23.5099    1.7865
N->D->D->B                           4       42      0.12%     59.2659    0.7087
B->N->D->C                           4       41      0.12%     49.7698    0.8238
D->B->N->C                           4       41      0.12%     49.7698    0.8238
D->C->C->C                           4       41      0.12%     24.0687    1.7035
N->D->B->D                           4       41      0.12%     59.2659    0.6918
B->B->D->N                           4       40      0.11%     27.9955    1.4288
B->B->N->D                           4       40      0.11%     27.9955    1.4288
B->N->C->B                           4       40      0.11%     23.5099    1.7014
D->B->N->D                           4       40      0.11%     59.2659    0.6749
D->C->C->B                           4       40      0.11%     13.5386    2.9545
D->C->N->B                           4       40      0.11%     49.7698    0.8037
B->D->N->C                           4       39      0.11%     49.7698    0.7836
C->D->N->C                           4       39      0.11%     88.4797    0.4408
C->N->C->D                           4       39      0.11%     88.4797    0.4408
D->B->D->N                           4       39      0.11%     59.2659    0.6581
N->C->C->D                           4       39      0.11%     88.4797    0.4408
N->D->B->B                           4       39      0.11%     27.9955    1.3931
N->D->C->D                           4       39      0.11%    105.3616    0.3702
B->B->N->C                           4       38      0.11%     23.5099    1.6163
B->C->B->C                           4       37      0.10%      6.3953    5.7855
B->B->C->C                           4       36      0.10%      6.3953    5.6292
B->D->C->N                           4       36      0.10%     49.7698    0.7233
D->C->D->N                           4       35      0.10%    105.3616    0.3322
N->B->B->C                           4       34      0.10%     23.5099    1.4462
B->B->B->N                           4       33      0.09%     13.2243    2.4954
C->B->B->B                           4       32      0.09%      3.5973    8.8955
D->B->B->N                           4       32      0.09%     27.9955    1.1430
D->N->B->C                           4       32      0.09%     49.7698    0.6430
B->N->D->D                           4       31      0.09%     59.2659    0.5231
C->B->N->B                           4       31      0.09%     23.5099    1.3186
D->C->B->C                           4       31      0.09%     13.5386    2.2897
D->D->B->N                           4       30      0.09%     59.2659    0.5062
N->B->D->C                           4       30      0.09%     49.7698    0.6028
B->N->B->C                           4       29      0.08%     23.5099    1.2335
D->N->C->D                           4       29      0.08%    105.3616    0.2752
N->A->N->N                           4       29      0.08%     33.3114    0.8706
C->B->D->C                           4       28      0.08%     13.5386    2.0682
N->C->D->C                           4       28      0.08%     88.4797    0.3165
C->C->B->D                           4       27      0.08%     13.5386    1.9943
C->D->C->N                           4       27      0.08%     88.4797    0.3052
C->N->B->D                           4       27      0.08%     49.7698    0.5425
B->C->B->B                           4       26      0.07%      3.5973    7.2276
D->N->B->D                           4       26      0.07%     59.2659    0.4387
N->B->B->B                           4       26      0.07%     13.2243    1.9661
C->N->B->B                           4       25      0.07%     23.5099    1.0634
D->N->B->B                           4       25      0.07%     27.9955    0.8930
B->D->C->C                           4       24      0.07%     13.5386    1.7727
D->D->C->C                           4       24      0.07%     28.6609    0.8374
B->D->D->N                           4       23      0.07%     59.2659    0.3881
C->A->N->N                           4       23      0.07%      9.0615    2.5382
N->N->A->N                           4       23      0.07%     33.3114    0.6905
B->B->C->B                           4       22      0.06%      3.5973    6.1156
N->B->B->D                           4       22      0.06%     27.9955    0.7858
B->C->D->N                           4       21      0.06%     49.7698    0.4219
B->N->D->B                           4       21      0.06%     27.9955    0.7501
C->B->B->D                           4       21      0.06%      7.6155    2.7575
D->C->B->B                           4       21      0.06%      7.6155    2.7575
D->D->N->B                           4       21      0.06%     59.2659    0.3543
C->D->B->N                           4       20      0.06%     49.7698    0.4018
D->C->B->D                           4       20      0.06%     16.1218    1.2406
N->N->N->N->N                        5     2102      5.96%   2099.6716    1.0011
N->N->N->D->N                        5     1304      3.70%    680.1399    1.9173
N->N->D->N->N                        5     1278      3.62%    680.1399    1.8790
N->D->N->N->N                        5     1168      3.31%    680.1399    1.7173
N->N->N->N->D                        5     1024      2.90%    680.1399    1.5056
D->N->N->N->N                        5      849      2.41%    680.1399    1.2483
N->D->N->D->N                        5      598      1.70%    220.3156    2.7143
N->D->N->N->D                        5      551      1.56%    220.3156    2.5010
N->N->D->N->D                        5      528      1.50%    220.3156    2.3966
D->N->N->D->N                        5      485      1.38%    220.3156    2.2014
D->N->D->N->N                        5      441      1.25%    220.3156    2.0017
D->N->N->N->D                        5      434      1.23%    220.3156    1.9699
C->N->N->N->N                        5      412      1.17%    571.1626    0.7213
N->C->N->N->N                        5      395      1.12%    571.1626    0.6916
N->N->C->N->N                        5      362      1.03%    571.1626    0.6338
N->N->N->C->N                        5      340      0.96%    571.1626    0.5953
N->N->N->N->C                        5      333      0.94%    571.1626    0.5830
N->N->D->D->N                        5      294      0.83%    220.3156    1.3344
N->D->D->N->N                        5      276      0.78%    220.3156    1.2527
B->N->N->N->N                        5      239      0.68%    321.2790    0.7439
C->N->N->D->N                        5      230      0.65%    185.0149    1.2431
N->N->N->D->D                        5      224      0.64%    220.3156    1.0167
N->N->D->N->C                        5      222      0.63%    185.0149    1.1999
N->D->N->N->C                        5      214      0.61%    185.0149    1.1567
D->N->D->N->D                        5      210      0.60%     71.3661    2.9426
C->N->N->N->D                        5      209      0.59%    185.0149    1.1296
N->D->N->C->N                        5      203      0.58%    185.0149    1.0972
N->N->D->C->N                        5      190      0.54%    185.0149    1.0269
N->B->N->N->N                        5      181      0.51%    321.2790    0.5634
N->N->N->D->C                        5      181      0.51%    185.0149    0.9783
D->D->N->N->N                        5      179      0.51%    220.3156    0.8125
N->D->C->N->N                        5      169      0.48%    185.0149    0.9134
N->C->N->N->D                        5      167      0.47%    185.0149    0.9026
N->N->N->N->B                        5      164      0.47%    321.2790    0.5105
C->N->D->N->N                        5      162      0.46%    185.0149    0.8756
N->C->N->D->N                        5      161      0.46%    185.0149    0.8702
D->N->C->N->N                        5      155      0.44%    185.0149    0.8378
N->N->B->N->N                        5      155      0.44%    321.2790    0.4824
C->C->N->N->N                        5      154      0.44%    155.3704    0.9912
D->N->N->C->N                        5      140      0.40%    185.0149    0.7567
C->N->C->N->N                        5      139      0.39%    155.3704    0.8946
N->N->N->B->N                        5      137      0.39%    321.2790    0.4264
B->N->D->N->N                        5      136      0.39%    104.0709    1.3068
C->B->N->N->N                        5      136      0.39%     87.3958    1.5561
D->N->N->N->C                        5      136      0.39%    185.0149    0.7351
N->N->C->N->D                        5      134      0.38%    185.0149    0.7243
B->N->N->N->D                        5      129      0.37%    104.0709    1.2395
D->C->N->N->N                        5      129      0.37%    185.0149    0.6972
N->N->C->C->N                        5      128      0.36%    155.3704    0.8238
N->N->N->C->C                        5      123      0.35%    155.3704    0.7917
N->D->N->D->D                        5      119      0.34%     71.3661    1.6675
N->C->B->N->N                        5      118      0.33%     87.3958    1.3502
N->C->C->N->N                        5      117      0.33%    155.3704    0.7530
N->N->C->B->N                        5      116      0.33%     87.3958    1.3273
N->C->N->C->N                        5      115      0.33%    155.3704    0.7402
N->D->D->N->D                        5      115      0.33%     71.3661    1.6114
D->N->N->D->D                        5      112      0.32%     71.3661    1.5694
N->N->N->C->B                        5      111      0.31%     87.3958    1.2701
N->C->N->N->C                        5      109      0.31%    155.3704    0.7015
C->N->N->C->N                        5      107      0.30%    155.3704    0.6887
C->N->N->N->C                        5      107      0.30%    155.3704    0.6887
D->N->D->D->N                        5      107      0.30%     71.3661    1.4993
N->N->C->N->C                        5      106      0.30%    155.3704    0.6822
N->D->B->N->N                        5      105      0.30%    104.0709    1.0089
N->B->N->D->N                        5      104      0.29%    104.0709    0.9993
B->N->N->D->N                        5      103      0.29%    104.0709    0.9897
N->N->D->B->N                        5      101      0.29%    104.0709    0.9705
D->D->N->D->N                        5       99      0.28%     71.3661    1.3872
N->D->N->B->N                        5       99      0.28%    104.0709    0.9513
N->N->D->N->B                        5       97      0.28%    104.0709    0.9321
N->N->N->D->B                        5       96      0.27%    104.0709    0.9224
D->D->N->N->D                        5       90      0.26%     71.3661    1.2611
B->C->N->N->N                        5       89      0.25%     87.3958    1.0184
D->N->D->N->C                        5       87      0.25%     59.9313    1.4517
N->D->N->N->B                        5       86      0.24%    104.0709    0.8264
C->C->C->N->N                        5       85      0.24%     42.2646    2.0111
N->D->N->C->C                        5       84      0.24%     50.3286    1.6690
C->C->B->N->N                        5       80      0.23%     23.7738    3.3650
C->C->N->N->D                        5       79      0.22%     50.3286    1.5697
N->D->N->C->B                        5       78      0.22%     28.3098    2.7552
N->D->N->D->C                        5       78      0.22%     59.9313    1.3015
C->C->N->C->N                        5       76      0.22%     42.2646    1.7982
D->B->N->N->N                        5       76      0.22%    104.0709    0.7303
N->N->C->C->C                        5       75      0.21%     42.2646    1.7745
N->N->N->B->C                        5       75      0.21%     87.3958    0.8582
C->N->D->N->D                        5       74      0.21%     59.9313    1.2347
N->D->C->C->N                        5       73      0.21%     50.3286    1.4505
B->D->N->N->N                        5       72      0.20%    104.0709    0.6918
B->N->C->N->N                        5       72      0.20%     87.3958    0.8238
D->N->N->D->C                        5       71      0.20%     59.9313    1.1847
C->N->N->C->C                        5       69      0.20%     42.2646    1.6326
N->B->C->N->N                        5       69      0.20%     87.3958    0.7895
D->N->B->N->N                        5       68      0.19%    104.0709    0.6534
N->N->D->C->C                        5       68      0.19%     50.3286    1.3511
N->N->B->C->N                        5       67      0.19%     87.3958    0.7666
N->C->C->C->N                        5       66      0.19%     42.2646    1.5616
N->N->B->N->D                        5       66      0.19%    104.0709    0.6342
C->C->N->D->N                        5       64      0.18%     50.3286    1.2716
N->C->C->B->N                        5       64      0.18%     23.7738    2.6920
N->C->C->N->C                        5       64      0.18%     42.2646    1.5143
D->N->N->C->C                        5       63      0.18%     50.3286    1.2518
D->N->N->N->B                        5       63      0.18%    104.0709    0.6054
C->D->N->N->N                        5       62      0.18%    185.0149    0.3351
N->N->C->C->B                        5       62      0.18%     23.7738    2.6079
B->N->N->C->N                        5       61      0.17%     87.3958    0.6980
N->C->D->N->N                        5       61      0.17%    185.0149    0.3297
C->B->N->N->D                        5       60      0.17%     28.3098    2.1194
N->B->N->N->D                        5       60      0.17%    104.0709    0.5765
C->B->N->D->N                        5       59      0.17%     28.3098    2.0841
N->D->C->N->D                        5       59      0.17%     59.9313    0.9845
N->D->N->D->B                        5       59      0.17%     33.7113    1.7502
N->N->B->D->N                        5       59      0.17%    104.0709    0.5669
D->C->C->N->N                        5       58      0.16%     50.3286    1.1524
D->C->N->N->D                        5       58      0.16%     59.9313    0.9678
D->N->N->B->N                        5       58      0.16%    104.0709    0.5573
C->N->B->N->N                        5       57      0.16%     87.3958    0.6522
D->N->C->N->D                        5       56      0.16%     59.9313    0.9344
D->N->D->C->N                        5       54      0.15%     59.9313    0.9010
N->C->C->N->D                        5       54      0.15%     50.3286    1.0729
N->C->N->B->N                        5       54      0.15%     87.3958    0.6179
N->N->C->D->N                        5       54      0.15%    185.0149    0.2919
B->B->N->N->N                        5       53      0.15%     49.1601    1.0781
C->N->D->N->C                        5       53      0.15%     50.3286    1.0531
D->C->N->D->N                        5       53      0.15%     59.9313    0.8843
N->N->C->B->C                        5       52      0.15%     23.7738    2.1873
B->N->N->N->C                        5       51      0.14%     87.3958    0.5836
C->C->N->N->C                        5       51      0.14%     42.2646    1.2067
D->N->N->C->B                        5       51      0.14%     28.3098    1.8015
N->C->C->C->C                        5       51      0.14%     11.4970    4.4359
N->N->D->C->B                        5       51      0.14%     28.3098    1.8015
N->N->N->C->D                        5       51      0.14%    185.0149    0.2757
C->B->C->N->N                        5       50      0.14%     23.7738    2.1032
D->N->C->C->N                        5       50      0.14%     50.3286    0.9935
D->N->C->N->C                        5       50      0.14%     50.3286    0.9935
N->B->D->N->N                        5       50      0.14%    104.0709    0.4804
C->N->N->B->N                        5       49      0.14%     87.3958    0.5607
N->C->B->C->N                        5       49      0.14%     23.7738    2.0611
C->N->N->D->C                        5       48      0.14%     50.3286    0.9537
N->C->N->N->B                        5       48      0.14%     87.3958    0.5492
N->D->D->N->C                        5       48      0.14%     59.9313    0.8009
C->C->C->C->N                        5       47      0.13%     11.4970    4.0880
N->B->N->C->N                        5       46      0.13%     87.3958    0.5263
N->C->B->N->D                        5       46      0.13%     28.3098    1.6249
N->N->C->N->B                        5       46      0.13%     87.3958    0.5263
C->N->C->C->N                        5       45      0.13%     42.2646    1.0647
D->N->D->B->N                        5       45      0.13%     33.7113    1.3349
N->C->N->C->B                        5       45      0.13%     23.7738    1.8928
N->C->N->D->C                        5       44      0.12%     50.3286    0.8743
N->D->C->N->C                        5       44      0.12%     50.3286    0.8743
C->N->C->N->C                        5       43      0.12%     42.2646    1.0174
N->N->D->D->C                        5       43      0.12%     59.9313    0.7175
B->C->C->N->N                        5       42      0.12%     23.7738    1.7666
B->D->N->D->N                        5       42      0.12%     33.7113    1.2459
B->N->D->N->D                        5       42      0.12%     33.7113    1.2459
D->N->C->B->N                        5       42      0.12%     28.3098    1.4836
N->N->N->B->D                        5       42      0.12%    104.0709    0.4036
C->C->C->B->N                        5       41      0.12%      6.4671    6.3398
C->N->C->N->D                        5       41      0.12%     50.3286    0.8146
C->N->N->N->B                        5       41      0.12%     87.3958    0.4691
N->C->N->C->C                        5       41      0.12%     42.2646    0.9701
C->N->N->C->B                        5       40      0.11%     23.7738    1.6825
C->N->N->D->D                        5       40      0.11%     59.9313    0.6674
D->N->N->D->B                        5       40      0.11%     33.7113    1.1865
C->B->N->N->C                        5       39      0.11%     23.7738    1.6405
C->N->D->C->N                        5       39      0.11%     50.3286    0.7749
D->D->N->C->N                        5       39      0.11%     59.9313    0.6507
N->B->N->N->C                        5       39      0.11%     87.3958    0.4462
B->D->N->N->D                        5       38      0.11%     33.7113    1.1272
C->B->C->C->N                        5       38      0.11%      6.4671    5.8759
C->B->D->N->N                        5       38      0.11%     28.3098    1.3423
N->D->D->C->N                        5       38      0.11%     59.9313    0.6341
N->D->D->D->N                        5       38      0.11%     71.3661    0.5325
B->N->N->D->C                        5       37      0.10%     28.3098    1.3070
C->B->N->C->N                        5       37      0.10%     23.7738    1.5563
D->B->N->N->D                        5       37      0.10%     33.7113    1.0976
N->C->C->B->C                        5       37      0.10%      6.4671    5.7213
N->D->C->B->N                        5       37      0.10%     28.3098    1.3070
N->N->D->D->D                        5       37      0.10%     71.3661    0.5185
N->N->N->B->B                        5       37      0.10%     49.1601    0.7526
B->C->N->N->D                        5       36      0.10%     28.3098    1.2716
N->B->B->N->N                        5       36      0.10%     49.1601    0.7323
N->N->B->N->C                        5       36      0.10%     87.3958    0.4119
B->C->N->C->N                        5       35      0.10%     23.7738    1.4722
C->N->C->B->N                        5       35      0.10%     23.7738    1.4722
N->C->B->N->C                        5       35      0.10%     23.7738    1.4722
B->C->N->D->N                        5       34      0.10%     28.3098    1.2010
C->N->D->D->N                        5       34      0.10%     59.9313    0.5673
C->B->B->N->N                        5       33      0.09%     13.3728    2.4677
D->D->N->N->C                        5       33      0.09%     59.9313    0.5506
D->N->B->N->D                        5       33      0.09%     33.7113    0.9789
B->C->B->N->N                        5       32      0.09%     13.3728    2.3929
B->C->N->N->C                        5       32      0.09%     23.7738    1.3460
B->N->N->C->C                        5       32      0.09%     23.7738    1.3460
C->C->N->C->C                        5       32      0.09%     11.4970    2.7833
C->D->N->D->N                        5       32      0.09%     59.9313    0.5339
C->D->N->N->D                        5       32      0.09%     59.9313    0.5339
D->N->D->N->B                        5       32      0.09%     33.7113    0.9492
N->N->B->C->C                        5       32      0.09%     23.7738    1.3460
C->C->B->C->N                        5       31      0.09%      6.4671    4.7935
C->C->C->C->C                        5       31      0.09%      3.1275    9.9122
C->C->N->B->N                        5       31      0.09%     23.7738    1.3040
C->N->C->N->B                        5       31      0.09%     23.7738    1.3040
D->C->B->N->N                        5       31      0.09%     28.3098    1.0950
N->C->B->B->N                        5       31      0.09%     13.3728    2.3181
N->D->C->N->B                        5       31      0.09%     28.3098    1.0950
N->N->B->B->N                        5       31      0.09%     49.1601    0.6306
N->N->B->C->B                        5       31      0.09%     13.3728    2.3181
N->N->C->B->B                        5       31      0.09%     13.3728    2.3181
N->N->D->B->C                        5       31      0.09%     28.3098    1.0950
B->B->N->D->N                        5       30      0.09%     15.9243    1.8839
C->C->B->C->C                        5       30      0.09%      1.7592   17.0532
C->N->C->C->C                        5       30      0.09%     11.4970    2.6094
D->N->C->C->B                        5       30      0.09%      7.7010    3.8956
N->C->C->C->B                        5       30      0.09%      6.4671    4.6389
N->D->B->D->N                        5       30      0.09%     33.7113    0.8899
N->D->B->N->D                        5       30      0.09%     33.7113    0.8899
B->N->N->B->N                        5       29      0.08%     49.1601    0.5899
C->C->C->N->C                        5       29      0.08%     11.4970    2.5224
D->C->N->C->N                        5       29      0.08%     50.3286    0.5762
D->C->N->N->C                        5       29      0.08%     50.3286    0.5762
N->B->C->C->N                        5       29      0.08%     23.7738    1.2198
N->C->B->D->N                        5       29      0.08%     28.3098    1.0244
N->D->B->N->C                        5       29      0.08%     28.3098    1.0244
B->B->C->N->N                        5       28      0.08%     13.3728    2.0938
C->N->B->C->N                        5       28      0.08%     23.7738    1.1778
D->N->C->C->C                        5       28      0.08%     13.6906    2.0452
D->N->D->C->C                        5       28      0.08%     16.3028    1.7175
N->C->B->C->C                        5       28      0.08%      6.4671    4.3296
C->N->B->N->C                        5       27      0.08%     23.7738    1.1357
C->N->C->D->N                        5       27      0.08%     50.3286    0.5365
D->N->N->B->C                        5       27      0.08%     28.3098    0.9537
N->D->B->C->N                        5       27      0.08%     28.3098    0.9537
N->N->D->D->B                        5       27      0.08%     33.7113    0.8009
A->N->N->N->N                        5       26      0.07%     18.9480    1.3722
