APVA Process Graph Study v0.1
============================================================================================
Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Node count: 41
Edge count: 221

1. Directed Graph Summary
SourceNode | DestinationNode | TransitionCount | TransitionProbability
DestructiveRotation_Age2 | MixedStructure_Age1 | 5 | 5.00%
DestructiveRotation_Age2 | CompressionProcessing_Age1 | 2 | 2.00%
DestructiveRotation_Age3 | DecayToNeutral_Age1 | 7 | 63.64%
DestructiveRotation_Age3 | NeutralProcessing_Age1 | 2 | 18.18%
DestructiveRotation_Age3 | CompressionProcessing_Age1 | 1 | 9.09%
DestructiveRotation_Age3 | DestructiveRotation_Age4 | 1 | 9.09%
DestructiveRotation_Age4 | DecayToNeutral_Age1 | 1 | 100.00%
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 304 | 27.24%
ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 237 | 21.24%
ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 218 | 19.53%
ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 164 | 14.70%
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 145 | 12.99%
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 48 | 4.30%
ExhaustionPersistence_Age2 | ExhaustionPersistence_Age3 | 234 | 76.97%
ExhaustionPersistence_Age2 | RecoveryResolution_Age1 | 67 | 22.04%
ExhaustionPersistence_Age2 | NeutralProcessing_Age1 | 3 | 0.99%
ExhaustionPersistence_Age3 | ExhaustionPersistence_Age4 | 143 | 61.11%
ExhaustionPersistence_Age3 | NeutralProcessing_Age1 | 71 | 30.34%
ExhaustionPersistence_Age3 | RecoveryResolution_Age1 | 18 | 7.69%
ExhaustionPersistence_Age3 | DecayToNeutral_Age1 | 2 | 0.85%
ExhaustionPersistence_Age4 | ExhaustionPersistence_Age5 | 58 | 40.56%
ExhaustionPersistence_Age4 | DecayToNeutral_Age1 | 32 | 22.38%
ExhaustionPersistence_Age4 | NeutralProcessing_Age1 | 23 | 16.08%
ExhaustionPersistence_Age4 | CompressionProcessing_Age1 | 14 | 9.79%
ExhaustionPersistence_Age4 | RecoveryResolution_Age1 | 11 | 7.69%
ExhaustionPersistence_Age4 | DestructiveRotation_Age1 | 5 | 3.50%
ExhaustionPersistence_Age5 | ExhaustionPersistence_Age6-10 | 18 | 31.03%
ExhaustionPersistence_Age5 | DecayToNeutral_Age1 | 14 | 24.14%
ExhaustionPersistence_Age5 | NeutralProcessing_Age1 | 10 | 17.24%
ExhaustionPersistence_Age5 | CompressionProcessing_Age1 | 7 | 12.07%
ExhaustionPersistence_Age5 | DestructiveRotation_Age1 | 6 | 10.34%
ExhaustionPersistence_Age5 | RecoveryResolution_Age1 | 3 | 5.17%
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | 11 | 37.93%
ExhaustionPersistence_Age6-10 | DecayToNeutral_Age1 | 9 | 31.03%
ExhaustionPersistence_Age6-10 | NeutralProcessing_Age1 | 4 | 13.79%
ExhaustionPersistence_Age6-10 | RecoveryResolution_Age1 | 4 | 13.79%
ExhaustionPersistence_Age6-10 | CompressionProcessing_Age1 | 1 | 3.45%
MixedStructure_Age1 | NeutralProcessing_Age1 | 1219 | 37.35%
MixedStructure_Age1 | DecayToNeutral_Age1 | 662 | 20.28%
MixedStructure_Age1 | ExhaustionPersistence_Age1 | 399 | 12.22%
MixedStructure_Age1 | MixedStructure_Age2 | 355 | 10.88%
MixedStructure_Age1 | RecoveryResolution_Age1 | 307 | 9.41%
MixedStructure_Age1 | ReassertionProcessing_Age1 | 144 | 4.41%
MixedStructure_Age1 | CompressionProcessing_Age1 | 91 | 2.79%
MixedStructure_Age1 | DestructiveRotation_Age1 | 67 | 2.05%
MixedStructure_Age1 | ConstructiveEmergence_Age1 | 20 | 0.61%
MixedStructure_Age2 | NeutralProcessing_Age1 | 111 | 31.27%
MixedStructure_Age2 | DecayToNeutral_Age1 | 106 | 29.86%
MixedStructure_Age2 | ExhaustionPersistence_Age1 | 43 | 12.11%
MixedStructure_Age2 | MixedStructure_Age3 | 42 | 11.83%
MixedStructure_Age2 | RecoveryResolution_Age1 | 26 | 7.32%
MixedStructure_Age2 | ReassertionProcessing_Age1 | 18 | 5.07%
MixedStructure_Age2 | CompressionProcessing_Age1 | 7 | 1.97%
MixedStructure_Age2 | DestructiveRotation_Age1 | 2 | 0.56%
MixedStructure_Age3 | DecayToNeutral_Age1 | 17 | 40.48%
MixedStructure_Age3 | ExhaustionPersistence_Age1 | 8 | 19.05%
MixedStructure_Age3 | MixedStructure_Age4 | 8 | 19.05%
MixedStructure_Age3 | RecoveryResolution_Age1 | 5 | 11.90%
MixedStructure_Age3 | NeutralProcessing_Age1 | 3 | 7.14%
MixedStructure_Age3 | DestructiveRotation_Age1 | 1 | 2.38%
MixedStructure_Age4 | DecayToNeutral_Age1 | 3 | 37.50%
MixedStructure_Age4 | ExhaustionPersistence_Age1 | 2 | 25.00%
MixedStructure_Age4 | NeutralProcessing_Age1 | 2 | 25.00%
MixedStructure_Age4 | MixedStructure_Age5 | 1 | 12.50%
MixedStructure_Age5 | DecayToNeutral_Age1 | 1 | 100.00%
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 3205 | 56.51%
NeutralProcessing_Age1 | MixedStructure_Age1 | 845 | 14.90%
NeutralProcessing_Age1 | CompressionProcessing_Age1 | 835 | 14.72%
