APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
State counts: RecoveryResolution=1696, ExhaustionPersistence=1884, CompressionProcessing=6489, NeutralProcessing=16992, ReassertionProcessing=2011, DecayToNeutral=1486, DestructiveRotation=948, ConstructiveEmergence=83, MixedStructure=3671
Age counts: 1=18224, 2=6199, 3=3147, 4=2008, 5=1539, 6-10=3165, 11-20=896, 21+=82
Validated context counts: B=310, C=255, D=233
Candidate interpretation counts: ValidatedContext=798, PreviousDistinctContext=35256, CurrentStateAge=35260

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
CurrentStateAge | RecoveryResolution+Age2 | 339 | 74.04% | 25.96% | 0.5726 | 0.8261 | RecoveryResolution | 74.04% | 0.6547
CurrentStateAge | RecoveryResolution+Age3 | 251 | 6.37% | 93.63% | 0.9486 | 0.6843 | CompressionProcessing | 68.92% | 0.0687
CurrentStateAge | RecoveryResolution+Age4 | 16 | 37.50% | 62.50% | 0.6616 | 0.9544 | CompressionProcessing | 62.50% | 0.0456
CurrentStateAge | RecoveryResolution+Age5 | 6 | 83.33% | 16.67% | 0.4506 | 0.6500 | RecoveryResolution | 83.33% | 0.0000
CurrentStateAge | RecoveryResolution+Age6-10 | 5 | 0.00% | 100.00% | 0.6730 | 0.9710 | CompressionProcessing | 60.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->ConstructiveEmergence+Age1 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->DecayToNeutral+Age1 | 109 | 0.00% | 100.00% | 1.1687 | 0.7261 | NeutralProcessing | 51.38% | -0.2124
PreviousDistinctContext | CompressionProcessing->DestructiveRotation+Age1 | 52 | 15.38% | 84.62% | 1.7158 | 0.8251 | DecayToNeutral | 38.46% | -0.2867
PreviousDistinctContext | CompressionProcessing->DestructiveRotation+Age2 | 8 | 0.00% | 100.00% | 0.9743 | 0.8869 | DecayToNeutral | 50.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age1 | 433 | 29.56% | 70.44% | 1.5370 | 0.8578 | CompressionProcessing | 30.95% | -0.2527
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age2 | 128 | 73.44% | 26.56% | 0.5789 | 0.8351 | ExhaustionPersistence | 73.44% | 0.6336
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age3 | 94 | 63.83% | 36.17% | 0.8229 | 0.7491 | ExhaustionPersistence | 63.83% | 0.5275
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age4 | 60 | 46.67% | 53.33% | 1.4688 | 0.8197 | ExhaustionPersistence | 46.67% | 0.1136
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age5 | 28 | 32.14% | 67.86% | 1.5146 | 0.8453 | ExhaustionPersistence | 32.14% | -0.2025
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age6-10 | 13 | 30.77% | 69.23% | 1.0579 | 0.9629 | DecayToNeutral | 46.15% | -0.1937
PreviousDistinctContext | CompressionProcessing->MixedStructure+Age1 | 115 | 9.57% | 90.43% | 1.7446 | 0.8390 | DecayToNeutral | 30.43% | -0.4390
PreviousDistinctContext | CompressionProcessing->MixedStructure+Age2 | 11 | 9.09% | 90.91% | 1.2637 | 0.9115 | NeutralProcessing | 36.36% | -0.4570
PreviousDistinctContext | CompressionProcessing->MixedStructure+Age3 | 1 | 100.00% | 0.00% | -0.0000 | 0.0000 | MixedStructure | 100.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->MixedStructure+Age4 | 1 | 100.00% | 0.00% | -0.0000 | 0.0000 | MixedStructure | 100.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->MixedStructure+Age5 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | DecayToNeutral | 100.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age1 | 1898 | 55.48% | 44.52% | 1.1485 | 0.6410 | NeutralProcessing | 55.48% | 0.4686
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age11-20 | 322 | 78.26% | 21.74% | 0.7915 | 0.4417 | NeutralProcessing | 78.26% | 1.1235
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age2 | 1053 | 53.37% | 46.63% | 1.1882 | 0.6631 | NeutralProcessing | 53.37% | 0.4043
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age21+ | 38 | 81.58% | 18.42% | 0.6538 | 0.4716 | NeutralProcessing | 81.58% | 1.1600
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age3 | 562 | 80.43% | 19.57% | 0.6950 | 0.5013 | NeutralProcessing | 80.43% | 1.1072
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age4 | 452 | 88.72% | 11.28% | 0.5264 | 0.2938 | NeutralProcessing | 88.72% | 1.4805
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age5 | 401 | 80.55% | 19.45% | 0.7817 | 0.4017 | NeutralProcessing | 80.55% | 1.2093
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age6-10 | 966 | 74.53% | 25.47% | 0.9200 | 0.4728 | NeutralProcessing | 74.53% | 1.0179
PreviousDistinctContext | CompressionProcessing->ReassertionProcessing+Age1 | 35 | 8.57% | 91.43% | 1.4332 | 0.8905 | NeutralProcessing | 34.29% | -0.4619
