BarIndex,Time,Open,High,Low,Close,Volume,Geometry,VolumePolarity,VolumeDelta,VolumeRank20,VolumeRank50,Range,RangeDelta,RangeRank20,Body,BodyDelta,BodyRank20,CloseLocation,OverlapRatio,CloseInsidePriorRange,CloseInsidePriorBody,BreaksPriorHigh,BreaksPriorLow,ParticipationState,ExpansionState,CompressionState,DissipationState,AcceptanceState,SignificanceState,EvidenceFlags
653,"2026-05-11 08:30:00",29406.5,29429.5,29403,29427,4391,"HHHL","Black","Up",0.35,0.58,26.5,"Down",0.1,20.5,"Down",0.5,0.90566,0.150943,False,False,True,False,"Rising","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
654,"2026-05-11 08:35:00",29427,29443.5,29409.75,29420.5,5691,"HHHL","Red","Up",0.65,0.7,33.75,"Up",0.4,6.5,"Down",0.1,0.318519,0.585185,True,True,True,False,"Rising","Local","Local","Absent","Contained","Moderate","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;AcceptanceContained;CompressionLocal"
655,"2026-05-11 08:40:00",29420.75,29426.25,29405.75,29424,3260,"LLLH","Black","Down",0.15,0.38,20.5,"Down",0.05,3.25,"Down",0.05,0.890244,0.804878,True,True,False,True,"Falling","Absent","Clustered","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionClustered"
656,"2026-05-11 08:45:00",29424.5,29442,29410.75,29421.25,5249,"HHHL","Red","Up",0.55,0.62,31.25,"Up",0.45,3.25,"Flat",0.1,0.336,0.496,True,True,True,False,"Rising","Local","Local","Absent","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;AcceptanceContained;CompressionLocal"
657,"2026-05-11 08:50:00",29420.25,29444.75,29416.25,29440.25,4606,"HHHL","Black","Down",0.45,0.56,28.5,"Down",0.35,20,"Up",0.6,0.842105,0.903509,True,False,True,False,"Falling","Absent","Clustered","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionClustered"
658,"2026-05-11 08:55:00",29439.75,29465.5,29430.25,29463,5480,"HHHL","Black","Up",0.75,0.66,35.25,"Up",0.75,23.25,"Up",0.7,0.929078,0.411348,False,False,True,False,"Rising","Local","Absent","Absent","Accepted","Moderate","BreaksPriorHigh;AcceptanceAccepted"
659,"2026-05-11 09:00:00",29463.75,29475.25,29452.5,29465.25,3668,"HHHL","Black","Down",0.2,0.34,22.75,"Down",0.1,1.5,"Down",0.05,0.56044,0.571429,True,False,True,False,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
660,"2026-05-11 09:05:00",29465.25,29478.25,29456.25,29473.5,3703,"HHHL","Black","Up",0.25,0.38,22,"Down",0.1,8.25,"Up",0.35,0.784091,0.863636,True,False,True,False,"Rising","Absent","Clustered","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionClustered"
661,"2026-05-11 09:10:00",29473.5,29479.5,29467.25,29477.25,2786,"HHHL","Black","Down",0.05,0.26,12.25,"Down",0.05,3.75,"Down",0.2,0.816327,0.897959,True,False,True,False,"Falling","Absent","Clustered","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionClustered"
662,"2026-05-11 09:15:00",29477.5,29480,29471,29479.25,3084,"HHHL","Black","Up",0.15,0.3,9,"Down",0.05,1.75,"Down",0.1,0.916667,0.944444,True,False,True,False,"Rising","Absent","Clustered","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionClustered"
663,"2026-05-11 09:20:00",29479.5,29479.75,29451,29455.25,3523,"LLLH","Red","Up",0.3,0.34,28.75,"Up",0.6,24.25,"Up",0.85,0.147826,0.304348,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Moderate","BreaksPriorLow;AcceptanceAccepted"
664,"2026-05-11 09:25:00",29455.75,29465.25,29446.25,29458.5,3238,"LLLH","Black","Down",0.25,0.32,19,"Down",0.15,2.75,"Down",0.15,0.644737,0.75,True,True,False,True,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
665,"2026-05-11 09:30:00",29457.25,29469.5,29457.25,29465,2107,"HHHL","Black","Down",0.05,0.2,12.25,"Down",0.15,7.75,"Up",0.45,0.632653,0.653061,True,False,True,False,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
666,"2026-05-11 09:35:00",29464.5,29477.5,29461.5,29465.25,2362,"HHHL","Black","Up",0.1,0.26,16,"Up",0.2,0.75,"Down",0.05,0.234375,0.5,True,False,True,False,"Rising","Local","Local","Absent","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
