APVA Minimal Engine Study v0.1 - Aggregate
====================================================================================================
Instruments: 6E, CL, NQ

Aggregate Transition Hazard Table
State | AgeBucket | Horizon | Count_6E | ExitRate_6E | Entropy_6E | DominantDestination_6E | DominantProbability_6E | Count_CL | ExitRate_CL | Entropy_CL | DominantDestination_CL | DominantProbability_CL | Count_NQ | ExitRate_NQ | Entropy_NQ | DominantDestination_NQ | DominantProbability_NQ | ValidInstrumentCount | MeanExitRate | MeanEntropy | MeanDominantProbability
MixedStructure | 2 | t+2 | 355 | 76.34% | 1.6729 | NeutralProcessing | 36.34% | 28 | 71.43% | 1.7475 | MixedStructure | 28.57% | 27 | 62.96% | 1.4539 | MixedStructure | 37.04% | 3 | 70.24% | 1.6248 | 33.98%
MixedStructure | 2 | t+3 | 355 | 83.94% | 1.7857 | NeutralProcessing | 35.49% | 28 | 75.00% | 1.7869 | MixedStructure | 25.00% | 27 | 96.30% | 1.4445 | NeutralProcessing | 55.56% | 3 | 85.08% | 1.6724 | 38.68%
MixedStructure | 2 | t+5 | 355 | 88.45% | 1.6134 | NeutralProcessing | 47.04% | 28 | 92.86% | 1.5085 | NeutralProcessing | 50.00% | 27 | 92.59% | 1.3932 | NeutralProcessing | 55.56% | 3 | 91.30% | 1.5051 | 50.87%
MixedStructure | 3 | t+1 | 42 | 80.95% | 1.5287 | DecayToNeutral | 40.48% | 5 | 60.00% | 1.0549 | ConstructiveEmergence | 40.00% | 4 | 50.00% | 1.0397 | MixedStructure | 50.00% | 1 | 80.95% | 1.5287 | 40.48%
MixedStructure | 3 | t+2 | 42 | 80.95% | 1.6005 | NeutralProcessing | 35.71% | 5 | 60.00% | 1.0549 | MixedStructure | 40.00% | 4 | 100.00% | 1.0397 | NeutralProcessing | 50.00% | 1 | 80.95% | 1.6005 | 35.71%
MixedStructure | 3 | t+3 | 42 | 83.33% | 1.7530 | NeutralProcessing | 40.48% | 5 | 100.00% | 1.3322 | NeutralProcessing | 40.00% | 4 | 75.00% | 1.3863 | CompressionProcessing | 25.00% | 1 | 83.33% | 1.7530 | 40.48%
MixedStructure | 3 | t+5 | 42 | 83.33% | 1.6004 | NeutralProcessing | 40.48% | 5 | 100.00% | 0.5004 | NeutralProcessing | 80.00% | 4 | 75.00% | 1.0397 | CompressionProcessing | 50.00% | 1 | 83.33% | 1.6004 | 40.48%
MixedStructure | 4 | t+1 | 8 | 87.50% | 1.3209 | DecayToNeutral | 37.50% | 2 | 100.00% | -0.0000 | NeutralProcessing | 100.00% | 2 | 100.00% | 0.6931 | DestructiveRotation | 50.00% | 0 | 0.00% | 0.0000 | 0.00%
MixedStructure | 4 | t+2 | 8 | 87.50% | 1.4942 | NeutralProcessing | 37.50% | 2 | 100.00% | 0.6931 | NeutralProcessing | 50.00% | 2 | 100.00% | 0.6931 | DestructiveRotation | 50.00% | 0 | 0.00% | 0.0000 | 0.00%
MixedStructure | 4 | t+3 | 8 | 62.50% | 1.2555 | MixedStructure | 37.50% | 2 | 100.00% | -0.0000 | ReassertionProcessing | 100.00% | 2 | 100.00% | 0.6931 | ReassertionProcessing | 50.00% | 0 | 0.00% | 0.0000 | 0.00%
MixedStructure | 4 | t+5 | 8 | 87.50% | 0.7356 | NeutralProcessing | 75.00% | 2 | 100.00% | 0.6931 | NeutralProcessing | 50.00% | 2 | 100.00% | -0.0000 | NeutralProcessing | 100.00% | 0 | 0.00% | 0.0000 | 0.00%
MixedStructure | 5 | t+1 | 1 | 100.00% | -0.0000 | DecayToNeutral | 100.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
MixedStructure | 5 | t+2 | 1 | 100.00% | -0.0000 | NeutralProcessing | 100.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
MixedStructure | 5 | t+3 | 1 | 100.00% | -0.0000 | NeutralProcessing | 100.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
MixedStructure | 5 | t+5 | 1 | 100.00% | -0.0000 | NeutralProcessing | 100.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
