EntryId,File,EntryBarIndex,EntryTime,SessionContext,EntryDirectionSign,ExitHorizon,ObservedHorizon,PolicyOutcome,TimeExitOutcome,MaxFavorableMove,MaxAdverseMove,DisasterStopped,RollingEntropy,RollingDirectionalPresence,PriorDominantPressureSeq,RegimeWeek
30,xApvaV01StateLog_ES.csv,2011,2026-05-06 09:10:00,,1.0,5,5,1.25,1.25,4.0,-1.0,False,0.8812908992278072,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W19
31,xApvaV01StateLog_ES.csv,2015,2026-05-06 09:30:00,,1.0,5,5,-8.75,-8.75,2.75,-9.25,False,0.9709505944517832,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W19
32,xApvaV01StateLog_ES.csv,2021,2026-05-06 10:00:00,,-1.0,5,5,-6.75,-6.75,4.5,-8.75,False,0.9709505944517832,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W19
33,xApvaV01StateLog_ES.csv,2248,2026-05-08 13:55:00,,1.0,5,5,12.25,12.25,15.75,-11.5,False,0.9999999999971146,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W19
34,xApvaV01StateLog_ES.csv,2251,2026-05-11 06:40:00,,-1.0,5,5,-10.25,-10.25,1.75,-16.0,False,0.9999999999971146,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W20
35,xApvaV01StateLog_ES.csv,2281,2026-05-11 09:10:00,,-1.0,5,5,-2.25,-2.25,1.25,-3.75,False,0.8812908992278072,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W20
36,xApvaV01StateLog_ES.csv,2334,2026-05-11 13:35:00,,1.0,5,5,-1.5,-1.5,0.25,-3.0,False,1.2954618442339936,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W20
37,xApvaV01StateLog_ES.csv,2358,2026-05-12 08:05:00,,-1.0,5,5,11.5,11.5,16.5,-5.75,False,0.8812908992278072,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W20
38,xApvaV01StateLog_ES.csv,2401,2026-05-12 11:40:00,,1.0,5,5,1.75,1.75,4.5,-3.25,False,1.1567796494427114,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W20
39,xApvaV01StateLog_ES.csv,2619,2026-05-15 07:20:00,,1.0,5,5,0.75,0.75,7.0,-12.25,False,0.8812908992278072,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W20
40,xApvaV01StateLog_ES.csv,2691,2026-05-15 13:20:00,,-1.0,5,5,0.75,0.75,5.75,-4.75,False,0.8812908992278072,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W20
41,xApvaV01StateLog_ES.csv,2862,2026-05-19 12:35:00,,-1.0,5,5,4.5,4.5,17.0,-7.25,False,1.2954618442339936,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W21
42,xApvaV01StateLog_ES.csv,2898,2026-05-20 08:05:00,,1.0,5,5,4.75,4.75,31.0,-2.5,False,0.8812908992278072,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W21
43,xApvaV01StateLog_ES.csv,2904,2026-05-20 08:35:00,,-1.0,5,5,-3.0,-3.0,7.0,-10.25,False,0.9999999999971146,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W21
44,xApvaV01StateLog_ES.csv,2987,2026-05-21 08:00:00,,1.0,5,5,-0.75,-0.75,4.25,-18.25,False,1.2954618442339936,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W21
45,xApvaV01StateLog_ES.csv,3059,2026-05-21 14:00:00,,1.0,5,5,40.25,40.25,49.25,-0.5,False,0.9709505944517832,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W21
46,xApvaV01StateLog_ES.csv,3098,2026-05-22 09:45:00,,1.0,5,5,7.5,7.5,9.0,-1.0,False,1.2954618442339936,0.0,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,2026-W21
