APVA Destination Robustness Study v0.1 - Aggregate
================================================================================================
Instrument: Aggregate
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv, .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv, .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Destination event count: 868

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
ConstructiveEmergence | BodyRelativeToPrevious | t-2 | -0.2318 | 2 | Negative | 22
ConstructiveEmergence | VolumeRelativeToSessionMean | t-3 | 0.2162 | 2 | Positive | 23
ConstructiveEmergence | CloseLocation | t-2 | 0.1934 | 2 | Positive | 24
ConstructiveEmergence | VolumeRelativeToPrevious | t-5 | 0.1854 | 2 | Positive | 25
ConstructiveEmergence | BranchEntropy | t-2 | 0.1695 | 2 | Positive | 26
ConstructiveEmergence | VolumeRelativeToPrevious | t-1 | 0.1641 | 2 | Positive | 27
ConstructiveEmergence | VolumeRelativeToRollingMean | t-2 | -0.1441 | 1 | Negative | 28
ConstructiveEmergence | CloseLocation | t-5 | 0.1265 | 2 | Positive | 29
ConstructiveEmergence | EfficiencyRatio | t-2 | -0.1195 | 2 | Negative | 30
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-5 | 0.1087 | 2 | Positive | 31
ConstructiveEmergence | RangeRelativeToPrevious | t-5 | 0.1080 | 2 | Positive | 32
ConstructiveEmergence | BodyRelativeToPrevious | t-3 | -0.0991 | 1 | Negative | 33
ConstructiveEmergence | BodyRelativeToPrevious | t-5 | -0.0771 | 1 | Negative | 34
ConstructiveEmergence | BranchEntropy | t-3 | -0.0527 | 2 | Negative | 35
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-3 | -0.0502 | 0 | Negative | 36
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-2 | 0.0475 | 2 | Positive | 37
ConstructiveEmergence | CloseLocation | t-3 | 0.0464 | 1 | Positive | 38
ConstructiveEmergence | EfficiencyRatio | t-3 | -0.0444 | 2 | Negative | 39
ConstructiveEmergence | RangeRelativeToPrevious | t-2 | 0.0310 | 2 | Positive | 40
ConstructiveEmergence | VolumeRelativeToPrevious | t-2 | -0.0256 | 2 | Negative | 41
ConstructiveEmergence | EfficiencyRatio | t-1 | -0.0192 | 2 | Negative | 42
ConstructiveEmergence | MemoryStrength | t-3 | -0.0115 | 2 | Negative | 43
ConstructiveEmergence | RangeRelativeToPrevious | t-3 | -0.0033 | 0 | Negative | 44
DecayToNeutral | RangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 1
DecayToNeutral | RangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 2
DecayToNeutral | RangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 3
DecayToNeutral | RangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 4
DecayToNeutral | BodyRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 5
DecayToNeutral | BodyRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 6
DecayToNeutral | BodyRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 7
DecayToNeutral | BodyRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 8
DecayToNeutral | TrueRangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 9
DecayToNeutral | TrueRangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 10
DecayToNeutral | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 11
DecayToNeutral | TrueRangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 12
DecayToNeutral | VolumeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 13
DecayToNeutral | VolumeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 14
DecayToNeutral | VolumeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 15
DecayToNeutral | VolumeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 16
DecayToNeutral | VolumeRelativeToRollingMean | t-1 | 0.0000 | 0 | Flat | 17
DecayToNeutral | VolumeRelativeToRollingMean | t-2 | 0.0000 | 0 | Flat | 18
DecayToNeutral | VolumeRelativeToRollingMean | t-3 | 0.0000 | 0 | Flat | 19
DecayToNeutral | VolumeRelativeToRollingMean | t-5 | 0.0000 | 0 | Flat | 20
DecayToNeutral | VolumeRelativeToSessionMean | t-1 | 0.0000 | 0 | Flat | 21
DecayToNeutral | VolumeRelativeToSessionMean | t-2 | 0.0000 | 0 | Flat | 22
DecayToNeutral | VolumeRelativeToSessionMean | t-3 | 0.0000 | 0 | Flat | 23
DecayToNeutral | VolumeRelativeToSessionMean | t-5 | 0.0000 | 0 | Flat | 24
DecayToNeutral | EfficiencyRatio | t-1 | 0.0000 | 0 | Flat | 25
DecayToNeutral | EfficiencyRatio | t-2 | 0.0000 | 0 | Flat | 26
DecayToNeutral | EfficiencyRatio | t-3 | 0.0000 | 0 | Flat | 27
DecayToNeutral | EfficiencyRatio | t-5 | 0.0000 | 0 | Flat | 28
DecayToNeutral | CloseLocation | t-1 | 0.0000 | 0 | Flat | 29
DecayToNeutral | CloseLocation | t-2 | 0.0000 | 0 | Flat | 30
DecayToNeutral | CloseLocation | t-3 | 0.0000 | 0 | Flat | 31
DecayToNeutral | CloseLocation | t-5 | 0.0000 | 0 | Flat | 32
DecayToNeutral | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 33
DecayToNeutral | MemoryStrength | t-2 | 0.0000 | 0 | Flat | 34
DecayToNeutral | MemoryStrength | t-3 | 0.0000 | 0 | Flat | 35
DecayToNeutral | MemoryStrength | t-5 | 0.0000 | 0 | Flat | 36
DecayToNeutral | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 37
DecayToNeutral | BranchEntropy | t-2 | 0.0000 | 0 | Flat | 38
DecayToNeutral | BranchEntropy | t-3 | 0.0000 | 0 | Flat | 39
DecayToNeutral | BranchEntropy | t-5 | 0.0000 | 0 | Flat | 40
DecayToNeutral | PolarityFlipFlag | t-1 | 0.0000 | 0 | Flat | 41
DecayToNeutral | PolarityFlipFlag | t-2 | 0.0000 | 0 | Flat | 42
DecayToNeutral | PolarityFlipFlag | t-3 | 0.0000 | 0 | Flat | 43
