DataScope,Analysis,ValidationMode,Regime,Instrument,Field,Count,PearsonCorrelation,SpearmanCorrelation
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,All,DownVolume,545,-0.04622754329426403,-0.055906281330266976
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,All,FlatVolume,545,-0.004437893460406376,0.0061868077481966165
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,All,UpDownVolumeDelta,545,0.03747450414822655,0.05140143107573265
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,All,SpyderDominantVolume,545,-0.018577349690406923,0.01187272042413951
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,All,SpyderNonDominantVolume,545,-0.022124211856061626,-0.016534738328903717
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,All,SpyderDominantVolumeShare,545,0.018822737113544083,0.04195839684115275
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,All,SpyderNonDominantVolumeShare,545,-0.01882273711354408,-0.04195839684115275
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,Volume,232,0.012716685553846634,0.05873891786216572
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,VolumeSMA,232,-0.030049984169912808,-0.051226189016445316
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,RelativeVolume,232,0.05220472182930646,0.09046983549461367
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,VolumeZScore,232,0.10836409502099231,0.09043126300937858
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,SignedVolume,232,0.07403959989120398,0.10610149265905487
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,UpVolume,232,0.05917975504257819,0.11269045877315896
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,DownVolume,232,-0.057459133266715125,-0.09011347737124588
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,FlatVolume,232,0.004453520326901635,0.0037816170828915297
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,UpDownVolumeDelta,232,0.07403959989120398,0.10610149265905487
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,SpyderDominantVolume,232,0.011935556787191832,0.06508190786895077
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,SpyderNonDominantVolume,232,0.012112302942461637,0.02965136268985764
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,SpyderDominantVolumeShare,232,0.02273891967292277,0.0010925083018035768
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,ES,SpyderNonDominantVolumeShare,232,-0.02273891967292277,-0.0010925083018035768
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,Volume,313,-0.05068955232315354,-0.027416098470956277
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,VolumeSMA,313,-0.07284857942405698,-0.05953700550234076
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,RelativeVolume,313,-0.030847458596950122,0.050132865530845415
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,VolumeZScore,313,-0.013618523256877084,0.05905878556693718
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,SignedVolume,313,-0.004868699550566677,-0.008626437612578978
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,UpVolume,313,-0.03447775008241383,0.001184806879664451
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,DownVolume,313,-0.026974638832783258,-0.021064476023234836
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,FlatVolume,313,-0.002270142695364636,0.016646780782683335
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,UpDownVolumeDelta,313,-0.004868699550566677,-0.008626437612578978
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,SpyderDominantVolume,313,-0.03603897311704978,-0.010324009495979534
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,SpyderNonDominantVolume,313,-0.06628182410898473,-0.03433712598909622
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,SpyderDominantVolumeShare,313,0.020698493860948578,0.0700492303348763
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,All,NQ,SpyderNonDominantVolumeShare,313,-0.02069849386094858,-0.0700492303348763
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,Volume,44,0.03457577206241997,0.032553114681539604
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,VolumeSMA,44,-0.18758726063432787,-0.1846559542130717
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,RelativeVolume,44,0.27264078342966985,0.19962615011868212
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,VolumeZScore,44,0.26970460174724253,0.1904463130067512
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,SignedVolume,44,0.087859272649633,0.12776041726497725
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,UpVolume,44,0.1251994405438272,0.13820630346855117
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,DownVolume,44,-0.030749723126532246,-0.03929259101370716
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,FlatVolume,44,-0.05808017094037337,-0.18066053753650613
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,UpDownVolumeDelta,44,0.087859272649633,0.12776041726497725
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,SpyderDominantVolume,44,0.059641481672132575,0.04046189742412623
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,SpyderNonDominantVolume,44,-0.014308702960620024,-0.028461506817647454
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,SpyderDominantVolumeShare,44,0.09272180248362065,0.029740838933056266
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,ES,SpyderNonDominantVolumeShare,44,-0.0927218024836206,-0.029740838933056266
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,Volume,40,0.0632683817584141,0.05396312864373095
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,VolumeSMA,40,-0.17582147753074037,-0.18396521128544643
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,RelativeVolume,40,0.14843122739302986,0.27509874672223683
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,VolumeZScore,40,0.28243510265897565,0.3313260625817886
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,SignedVolume,40,0.09895892411053467,0.06273979694126545
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,UpVolume,40,0.1636083476658689,0.08364374836440967
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,DownVolume,40,-0.027906628592524883,-0.031029745013378292
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,FlatVolume,40,-0.1459553472414664,-0.10264951681076352
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,UpDownVolumeDelta,40,0.09895892411053467,0.06273979694126545
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,SpyderDominantVolume,40,0.07033493322686847,0.12717184862193937
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,SpyderNonDominantVolume,40,0.04390171346640019,-0.0062265148435074165
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,SpyderDominantVolumeShare,40,0.161998809732526,0.22580171848727162
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2016 | 2016 observed regime,NQ,SpyderNonDominantVolumeShare,40,-0.161998809732526,-0.22580171848727162
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,Volume,43,0.05462388392359506,0.10685663985054938
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,VolumeSMA,43,-0.022797971405271723,-0.04767682939507514
