ValidationMode,MacroState,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,EntryShareWithinMode
Reference,Degrading,24,0.0349655616894727,0.07921151996998045,0.12708215062362938,0.5416666666666666,1.0704178204423276,-2.0,-0.7530426543550164,0.8215103541528053,1.6813780131216165,2.497297297297297,0.8391734805473448,0.16666666666666666,0.030534351145038167
Reference,Unresolved,762,0.29131933346077454,0.1772899957788096,3.663512518871792,0.5380577427821522,1.5609241676218588,-2.0,-0.8620331795863712,1.047741935483871,2.046354847138751,31.769230769230766,221.9853320971102,0.16666666666666666,0.9694656488549618
Spacing_10,Degrading,17,0.1167264220643067,0.0382513661202185,0.346708687875436,0.5294117647058824,1.2626879246342695,-2.0,-0.1858921161825726,0.4872389791183295,2.0686437011941594,2.497297297297297,1.9843491750932138,0.17647058823529413,0.028192371475953566
Spacing_10,Unresolved,586,0.3064628171508496,0.1647487625618719,3.2739923647426203,0.5392491467576792,1.5954108565407827,-2.0,-0.8431180859081949,1.0721298450712218,2.055317874561479,31.769230769230766,179.58721085039787,0.1689419795221843,0.9718076285240465
Spacing_20,Degrading,16,0.2490218234433259,0.1352560048670251,0.7555699582554515,0.5625,1.7173814608515157,-2.0,-0.12349014396006855,0.6980738624379207,2.1278744624203387,2.497297297297297,3.9843491750932145,0.125,0.029574861367837338
Spacing_20,Unresolved,525,0.291123839730295,0.1346153846153846,2.8826366523979914,0.539047619047619,1.569663027978789,-2.0,-0.8235294117647058,0.9806763285024154,2.0344437460716533,31.769230769230766,152.84001585840485,0.16952380952380952,0.9704251386321626
