DataScope,Breakdown,ValidationMode,Regime,Instrument,Cohort,Field,Count,AvailableCount,Mean,Median,Std,Q25,Q75,PositiveFraction
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,Base_NotPriorSlope_Q3,SpyderNonDominantVolume,206,206,3685.3333442401304,2458.9285714285497,4189.879858957354,1296.4499999999998,5067.469696969675,0.8883495145631068
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,Base_NotPriorSlope_Q3,SpyderDominantVolumeShare,206,206,0.6598489792441747,0.625,0.15639504464384163,0.5555555556,0.7272727273,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,Base_NotPriorSlope_Q3,SpyderNonDominantVolumeShare,206,206,0.3401510207558252,0.375,0.15639504464384163,0.2727272727,0.4444444444,0.8883495145631068
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,NQ,PriorSlope_Q3,SpyderDominantVolume,137,137,568.7208166742233,119.3846153846,961.9926616689529,61.6,495.3333333333,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,NQ,PriorSlope_Q3,SpyderNonDominantVolume,137,137,361.6149497491343,69.5333333333,734.2530526472583,28.875,247.6666666667,0.948905109489051
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,NQ,PriorSlope_Q3,SpyderDominantVolumeShare,137,137,0.6327393776729927,0.6,0.14756391488006312,0.5263157895,0.7142857143,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,NQ,PriorSlope_Q3,SpyderNonDominantVolumeShare,137,137,0.36726062232700735,0.4,0.14756391488006312,0.2857142857,0.4736842105,0.948905109489051
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,NQ,Base_NotPriorSlope_Q3,SpyderDominantVolume,547,547,658.3768601707714,143.8181818182,1507.7837180674792,61.65,538.0622009569499,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,NQ,Base_NotPriorSlope_Q3,SpyderNonDominantVolume,547,547,367.7456261180773,74.5384615385,753.4204253373531,34.95833333335,329.7357142857,0.9561243144424132
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,NQ,Base_NotPriorSlope_Q3,SpyderDominantVolumeShare,547,547,0.6288745211934186,0.6,0.15083101415194117,0.5294117647,0.7142857143,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,NQ,Base_NotPriorSlope_Q3,SpyderNonDominantVolumeShare,547,547,0.37112547880658137,0.4,0.15083101415194117,0.2857142857,0.4705882353,0.9561243144424132
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,ES,PriorSlope_Q3,SpyderDominantVolume,45,45,10167.304184152219,7177.1875,11192.49771711442,3326.4705882353,13856.25,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,ES,PriorSlope_Q3,SpyderNonDominantVolume,45,45,5906.962482514447,5630.2941176471,4299.93666752372,2179.1111111111,8103.6666666667,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,ES,PriorSlope_Q3,SpyderDominantVolumeShare,45,45,0.5886609275533334,0.5714285714,0.1179171310119841,0.53125,0.6296296296,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,ES,PriorSlope_Q3,SpyderNonDominantVolumeShare,45,45,0.41133907244666656,0.4285714286,0.1179171310119841,0.3703703704,0.46875,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,ES,Base_NotPriorSlope_Q3,SpyderDominantVolume,127,127,11036.276038352786,6618.8571428571,14214.029463514553,3613.33653846155,13708.0248868778,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,ES,Base_NotPriorSlope_Q3,SpyderNonDominantVolume,127,127,5804.023174245639,3993.4117647059,6125.528207622075,2299.3214285714503,7227.5,0.968503937007874
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,ES,Base_NotPriorSlope_Q3,SpyderDominantVolumeShare,127,127,0.6247389518826771,0.6,0.13395232947085897,0.5384615385,0.7047930283,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,ES,Base_NotPriorSlope_Q3,SpyderNonDominantVolumeShare,127,127,0.37526104811732286,0.4,0.13395232947085897,0.2952069717,0.4615384615,0.968503937007874
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,NQ,PriorSlope_Q3,SpyderDominantVolume,36,36,3072.444990551545,2416.7352075842,2260.192432678124,1366.569416499025,4431.163649498525,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,NQ,PriorSlope_Q3,SpyderNonDominantVolume,36,36,1793.3050094484609,1447.14448051945,1606.1652440968198,613.644869215275,2240.3347826087,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,NQ,PriorSlope_Q3,SpyderDominantVolumeShare,36,36,0.6298128523805555,0.61171096345,0.13087502459059014,0.5509599097,0.69540816325,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,NQ,PriorSlope_Q3,SpyderNonDominantVolumeShare,36,36,0.37018714761944443,0.38828903655,0.13087502459059014,0.30459183675,0.4490400903,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,NQ,Base_NotPriorSlope_Q3,SpyderDominantVolume,142,142,2755.445178089252,2186.9318181818,1992.0815186924026,1301.81896551725,3967.8653846153748,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,NQ,Base_NotPriorSlope_Q3,SpyderNonDominantVolume,142,142,1670.526652896669,1323.68936170215,1210.7266170208502,710.0685483871,2303.772151898725,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,NQ,Base_NotPriorSlope_Q3,SpyderDominantVolumeShare,142,142,0.6106801275485915,0.6038074713,0.12194653117605775,0.5225602755500001,0.704943679575,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2019 | 2019 observed regime,NQ,Base_NotPriorSlope_Q3,SpyderNonDominantVolumeShare,142,142,0.3893198724514085,0.3961925287,0.12194653117605775,0.29505632042499996,0.47743972445,1.0
