ValidationMode,SequencePhase,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,EntryShareWithinMode
Reference,B2B,280,0.2264008569162918,0.2416760658696142,2.200554468117245,0.5678571428571428,1.459010191807142,-2.0,-0.7654516861275185,1.043972723739533,1.862114103588129,10.61744966442953,63.39223993656171,0.16785714285714284,0.356234096692112
Reference,R2R,224,0.2449641393113818,-0.02358456598985395,1.8988134221825772,0.4955357142857143,1.4490947082597505,-2.0,-0.9309059332988259,1.0081159311350016,2.132127213864028,12.237037037037036,54.87196720574953,0.16964285714285715,0.28498727735368956
Reference,TwoB,143,0.45948063522542393,0.423419930205506,1.8119653864158,0.5664335664335665,1.9417025282549083,-2.0,-0.8897107166337935,1.1408065618591934,2.441076704234598,31.769230769230766,65.70573083723562,0.13286713286713286,0.18193384223918574
Reference,TwoR,139,0.2795292632957602,0.0531309297912713,1.422803253582737,0.5179856115107914,1.5006832038335678,-2.0,-0.9548392783686902,1.0493690110949137,2.0123149361128516,16.06518010291595,38.85456759811067,0.19424460431654678,0.17684478371501272
Spacing_10,B2B,216,0.2614463106670569,0.2336128392894333,2.2265649834393892,0.5787037037037037,1.5598408800767034,-2.0,-0.6760602524663202,1.047741935483871,1.8489770728916075,10.61744966442953,56.47240310408429,0.16203703703703703,0.3582089552238806
Spacing_10,R2R,169,0.17639240485201155,-0.0613362541073384,1.1843933866937286,0.46745562130177515,1.308735608172051,-2.0,-0.9508670520231214,1.0070290534208062,2.0360157910719714,12.237037037037036,29.810316419989952,0.1834319526627219,0.2802653399668325
Spacing_10,TwoB,114,0.551067792260482,0.41519833719577626,1.7545801654182314,0.5701754385964912,2.0784562261437625,-2.0,-0.8674863387978142,1.1461655921275873,2.7293045086671404,31.769230769230766,62.82172831769494,0.14912280701754385,0.1890547263681592
Spacing_10,TwoR,104,0.31218377099732564,0.10940623669704005,1.468298222333787,0.5384615384615384,1.6069403557111903,-2.0,-0.6795470236518613,1.1039017323881786,2.027638358869207,16.06518010291595,32.467112183721866,0.18269230769230768,0.1724709784411277
Spacing_20,B2B,195,0.283854424172766,0.2349650349650349,2.2414176273470248,0.5897435897435898,1.6133919360341338,-2.0,-0.6600757575757576,1.0452291276543124,1.8696052049971694,10.61744966442953,55.35161271368938,0.1641025641025641,0.36044362292051757
Spacing_20,R2R,149,0.18675204274435178,-0.0455037919826652,1.1875612677043113,0.48322147651006714,1.3432905658738188,-2.0,-0.9352419904567144,0.9173789173789172,1.9643194807710949,12.237037037037036,27.826054368908416,0.16778523489932887,0.2754158964879852
Spacing_20,TwoB,105,0.5404256770354395,0.3429054054054054,1.6111021901218134,0.5619047619047619,2.097046789457124,-2.0,-0.782922429344558,0.976005188067445,2.508816529840421,31.769230769230766,56.74469608872115,0.1523809523809524,0.19408502772643252
Spacing_20,TwoR,92,0.18371741154542556,-0.0146185632549269,0.799581442102698,0.5,1.3325030374410052,-2.0,-0.8713323614433812,0.9194810087311084,1.9536281665951047,16.06518010291595,16.90200186217915,0.1956521739130435,0.17005545286506468
