DataScope,Breakdown,ValidationMode,Regime,Instrument,Cohort,Field,Count,AvailableCount,Mean,Median,Std,Q25,Q75,PositiveFraction
VolumeAvailableSubset,ByInstrument,Reference,All,ES,Base_NotPriorSlope_Q3,DownVolume,605,605,6707.029752066116,0.0,12949.891085319208,0.0,9697.0,0.4413223140495868
VolumeAvailableSubset,ByInstrument,Reference,All,ES,Base_NotPriorSlope_Q3,FlatVolume,605,605,871.297520661157,0.0,4006.2643907121937,0.0,0.0,0.09917355371900827
VolumeAvailableSubset,ByInstrument,Reference,All,ES,Base_NotPriorSlope_Q3,UpDownVolumeDelta,605,605,-259.59338842975205,0.0,19195.53155283757,-9697.0,9829.0,0.45950413223140496
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,PriorSlope_Q3,Volume,234,234,2616.3418803418804,1066.0,3459.8388539774114,152.0,3977.0,1.0
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,PriorSlope_Q3,VolumeSMA,234,234,2911.162393162393,2122.4750000000004,2920.781048617976,226.21249999999998,4732.762500000001,1.0
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,PriorSlope_Q3,RelativeVolume,234,234,0.9574947538679487,0.8404301051,0.7931137724317513,0.5755810924,1.0989923699000002,1.0
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,PriorSlope_Q3,VolumeZScore,234,234,-0.1663587516397436,-0.3469443676,0.9824617886504471,-0.836610582075,0.165740335125,0.3247863247863248
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,PriorSlope_Q3,SignedVolume,234,234,332.982905982906,59.5,4322.053055867349,-413.75,2163.75,0.5427350427350427
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,PriorSlope_Q3,UpVolume,234,234,1462.2649572649573,59.5,2865.122148391671,0.0,2163.75,0.5427350427350427
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,PriorSlope_Q3,DownVolume,234,234,1129.2820512820513,0.0,2674.7755458233933,0.0,413.75,0.4188034188034188
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,PriorSlope_Q3,FlatVolume,234,234,24.794871794871796,0.0,230.20629071031388,0.0,0.0,0.038461538461538464
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,PriorSlope_Q3,UpDownVolumeDelta,234,234,332.982905982906,59.5,4322.053055867349,-413.75,2163.75,0.5427350427350427
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,Base_NotPriorSlope_Q3,Volume,931,931,2891.9602577873256,1132.0,4042.3530286327386,179.5,4329.0,1.0
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,Base_NotPriorSlope_Q3,VolumeSMA,931,931,2834.8432867883994,2060.75,2857.6952829066327,214.7,4718.25,1.0
