ValidationMode,SponsorState,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,EntryShareWithinMode
Reference,Balance,14,-0.13377788562298681,-0.10264833287045605,-0.34709902245973395,0.42857142857142855,0.7712322814154112,-2.0,-0.878599801390268,0.40160348367306437,1.3070429705298339,3.247148288973384,-1.8728903987218155,0.21428571428571427,0.010574018126888218
Reference,Challenged,36,0.006183856100781149,-0.30254223054035895,0.024109717499805054,0.4444444444444444,1.0112127957100598,-2.0,-0.8911848947274048,0.5191675740841565,1.3712521780928917,5.105882352941176,0.22261881962812136,0.1388888888888889,0.027190332326283987
Reference,Dominant,1,-0.5139860139860141,-0.5139860139860141,,0.0,0.0,-0.5139860139860141,-0.5139860139860141,-0.5139860139860141,-0.5139860139860141,-0.5139860139860141,-0.5139860139860141,0.0,0.0007552870090634441
Reference,FailedReclaim,279,0.07965130438519244,0.1204424416222859,0.8571588634724363,0.5197132616487455,1.143777206150116,-2.0,-0.8578167115902965,0.9900635898415426,1.91518778245286,7.601637107776263,22.22271392346869,0.1863799283154122,0.2107250755287009
Reference,Failing,22,0.15252807169537808,0.227681660899654,0.41227326864678154,0.5,1.2361876896166661,-2.0,-1.4262934089298371,1.1805383930110924,2.7601164210422193,3.2869565217391306,3.3556175772983177,0.13636363636363635,0.01661631419939577
Reference,Pressured,8,0.6458001216381024,0.6325130865023783,1.372184559749685,0.875,3.5832004865524096,-2.0,0.33287608289857845,1.264451903202795,2.0313936485917976,2.497297297297297,5.166400973104819,0.125,0.006042296072507553
Reference,Reasserting,17,-0.387847600431137,-0.1666666666666666,-1.5052448481385723,0.35294117647058826,0.3378363687672989,-2.0,-0.7187864644107351,0.1590909090909091,0.30437704281045,2.1818181818181817,-6.593409207329328,0.17647058823529413,0.01283987915407855
Reference,ReclaimAttempt,240,0.21976187690125673,0.1190224510999683,1.7990279576243733,0.525,1.3910504528287932,-2.0,-0.9347826086956522,1.0572800712422876,2.2129872919276887,12.237037037037036,52.74285045630162,0.1875,0.18126888217522658
Reference,Unknown,1,0.9529702970297028,0.9529702970297028,,1.0,inf,0.9529702970297028,0.9529702970297028,0.9529702970297028,0.9529702970297028,0.9529702970297028,0.9529702970297028,0.0,0.0007552870090634441
Reference,Unresolved,706,0.17303894422681373,0.04184303006638025,2.051391879482183,0.5042492917847026,1.3056954395426053,-2.0,-1.0591098940613504,0.9510689082606891,1.8388999483889994,31.769230769230766,122.1654946241305,0.1813031161473088,0.5332326283987915
Spacing_10,Balance,11,-0.09415236101819868,-0.0760353021045485,-0.19333919670649022,0.45454545454545453,0.8532538743167922,-2.0,-1.257199602780536,0.6104493412367854,1.5317286652078774,3.247148288973384,-1.0356759712001855,0.2727272727272727,0.010185185185185186
Spacing_10,Challenged,28,-0.02468602001294718,-0.30254223054035895,-0.08221382632244974,0.42857142857142855,0.9562479492389466,-2.0,-0.9036769186203315,0.35843691568927416,1.3432824610947545,5.105882352941176,-0.6912085603625211,0.14285714285714285,0.025925925925925925
Spacing_10,Dominant,1,-0.5139860139860141,-0.5139860139860141,,0.0,0.0,-0.5139860139860141,-0.5139860139860141,-0.5139860139860141,-0.5139860139860141,-0.5139860139860141,-0.5139860139860141,0.0,0.000925925925925926
Spacing_10,FailedReclaim,226,0.08557114330669931,0.07841963231573615,0.7909804622719421,0.5176991150442478,1.1478867142896758,-2.0,-0.9913793103448276,0.9947572205111064,1.9592702236484296,7.601637107776263,19.339078387314043,0.19911504424778761,0.20925925925925926
Spacing_10,Failing,18,0.2687888991242038,0.227681660899654,0.6397869773690976,0.5,1.4514316224370647,-2.0,-1.1729494614747307,1.5838743212388646,2.814711340323554,3.2869565217391306,4.838200184235668,0.1111111111111111,0.016666666666666666
Spacing_10,Pressured,6,1.1248576785240056,0.892156862745098,3.0904318816692,1.0,inf,0.0797396257119609,0.5942939264287592,1.6426310719272255,2.164508976793369,2.497297297297297,6.749146071144034,0.0,0.005555555555555556
Spacing_10,Reasserting,14,-0.3477424982804021,-0.15757575757575748,-1.16842267054383,0.35714285714285715,0.3829136248236829,-2.0,-0.6369159352645731,0.15001993620414672,0.2786069651741293,2.1818181818181817,-4.8683949759256295,0.21428571428571427,0.012962962962962963
