Threshold,Mode,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveRowFraction,StdSignedReturn,ZeroRowFraction,NegativeRowFraction,ConditionMin,ConditionMax,ConditionMean,WeekRegimeCount,WeeklyPositiveFraction,WeeklyMeanOfMeans,WeeklyMedianOfMeans,WeeklyMinMean,WeeklyMaxMean
0.0,ge,1326,0.7520739064856712,0.0,1.8451634752769903,0.4939668174962293,14.842171096759298,0.01282051282051282,0.49321266968325794,0.4689955935863958,2.246439344663802,1.2767983726828087,7,0.5714285714285714,0.8111990023649246,0.4032258064516129,-0.37383177570093457,3.074438202247191
0.05,ge,1326,0.7520739064856712,0.0,1.8451634752769903,0.4939668174962293,14.842171096759298,0.01282051282051282,0.49321266968325794,0.4689955935863958,2.246439344663802,1.2767983726828087,7,0.5714285714285714,0.8111990023649246,0.4032258064516129,-0.37383177570093457,3.074438202247191
0.1,ge,1326,0.7520739064856712,0.0,1.8451634752769903,0.4939668174962293,14.842171096759298,0.01282051282051282,0.49321266968325794,0.4689955935863958,2.246439344663802,1.2767983726828087,7,0.5714285714285714,0.8111990023649246,0.4032258064516129,-0.37383177570093457,3.074438202247191
0.15,ge,1326,0.7520739064856712,0.0,1.8451634752769903,0.4939668174962293,14.842171096759298,0.01282051282051282,0.49321266968325794,0.4689955935863958,2.246439344663802,1.2767983726828087,7,0.5714285714285714,0.8111990023649246,0.4032258064516129,-0.37383177570093457,3.074438202247191
0.2,ge,1326,0.7520739064856712,0.0,1.8451634752769903,0.4939668174962293,14.842171096759298,0.01282051282051282,0.49321266968325794,0.4689955935863958,2.246439344663802,1.2767983726828087,7,0.5714285714285714,0.8111990023649246,0.4032258064516129,-0.37383177570093457,3.074438202247191
0.25,ge,1326,0.7520739064856712,0.0,1.8451634752769903,0.4939668174962293,14.842171096759298,0.01282051282051282,0.49321266968325794,0.4689955935863958,2.246439344663802,1.2767983726828087,7,0.5714285714285714,0.8111990023649246,0.4032258064516129,-0.37383177570093457,3.074438202247191
0.3,ge,1326,0.7520739064856712,0.0,1.8451634752769903,0.4939668174962293,14.842171096759298,0.01282051282051282,0.49321266968325794,0.4689955935863958,2.246439344663802,1.2767983726828087,7,0.5714285714285714,0.8111990023649246,0.4032258064516129,-0.37383177570093457,3.074438202247191
0.35,ge,1326,0.7520739064856712,0.0,1.8451634752769903,0.4939668174962293,14.842171096759298,0.01282051282051282,0.49321266968325794,0.4689955935863958,2.246439344663802,1.2767983726828087,7,0.5714285714285714,0.8111990023649246,0.4032258064516129,-0.37383177570093457,3.074438202247191
0.4,ge,1326,0.7520739064856712,0.0,1.8451634752769903,0.4939668174962293,14.842171096759298,0.01282051282051282,0.49321266968325794,0.4689955935863958,2.246439344663802,1.2767983726828087,7,0.5714285714285714,0.8111990023649246,0.4032258064516129,-0.37383177570093457,3.074438202247191
0.45,ge,1326,0.7520739064856712,0.0,1.8451634752769903,0.4939668174962293,14.842171096759298,0.01282051282051282,0.49321266968325794,0.4689955935863958,2.246439344663802,1.2767983726828087,7,0.5714285714285714,0.8111990023649246,0.4032258064516129,-0.37383177570093457,3.074438202247191
0.5,ge,1243,0.8179806918744972,0.0,1.9157842376167453,0.49798873692679,15.053310543480709,0.012872083668543845,0.4891391794046661,0.7219280948844771,2.246439344663802,1.3307385421639049,7,0.7142857142857143,0.8714710147504466,0.8968023255813954,-0.5280487804878049,3.0907738095238093
0.55,ge,1243,0.8179806918744972,0.0,1.9157842376167453,0.49798873692679,15.053310543480709,0.012872083668543845,0.4891391794046661,0.7219280948844771,2.246439344663802,1.3307385421639049,7,0.7142857142857143,0.8714710147504466,0.8968023255813954,-0.5280487804878049,3.0907738095238093
0.6,ge,1243,0.8179806918744972,0.0,1.9157842376167453,0.49798873692679,15.053310543480709,0.012872083668543845,0.4891391794046661,0.7219280948844771,2.246439344663802,1.3307385421639049,7,0.7142857142857143,0.8714710147504466,0.8968023255813954,-0.5280487804878049,3.0907738095238093
0.65,ge,1243,0.8179806918744972,0.0,1.9157842376167453,0.49798873692679,15.053310543480709,0.012872083668543845,0.4891391794046661,0.7219280948844771,2.246439344663802,1.3307385421639049,7,0.7142857142857143,0.8714710147504466,0.8968023255813954,-0.5280487804878049,3.0907738095238093
0.7,ge,1243,0.8179806918744972,0.0,1.9157842376167453,0.49798873692679,15.053310543480709,0.012872083668543845,0.4891391794046661,0.7219280948844771,2.246439344663802,1.3307385421639049,7,0.7142857142857143,0.8714710147504466,0.8968023255813954,-0.5280487804878049,3.0907738095238093
0.75,ge,1161,0.8796296296296297,0.25,1.9580236746408113,0.5030146425495263,15.30727981366193,0.012058570198105082,0.48492678725236865,0.8812908992278072,2.246439344663802,1.3737380741853629,7,0.7142857142857143,0.9387799763026258,1.103125,-0.7182741116751269,3.1867088607594938
0.8,ge,1161,0.8796296296296297,0.25,1.9580236746408113,0.5030146425495263,15.30727981366193,0.012058570198105082,0.48492678725236865,0.8812908992278072,2.246439344663802,1.3737380741853629,7,0.7142857142857143,0.9387799763026258,1.103125,-0.7182741116751269,3.1867088607594938
0.85,ge,1161,0.8796296296296297,0.25,1.9580236746408113,0.5030146425495263,15.30727981366193,0.012058570198105082,0.48492678725236865,0.8812908992278072,2.246439344663802,1.3737380741853629,7,0.7142857142857143,0.9387799763026258,1.103125,-0.7182741116751269,3.1867088607594938
0.9,ge,1078,0.9594155844155844,0.25,2.0079987853378323,0.5018552875695733,15.687462597862933,0.012059369202226345,0.48608534322820035,0.9219280948830342,2.246439344663802,1.4116537657637278,7,0.7142857142857143,1.0244893074674966,1.260135135135135,-0.7807692307692308,3.216442953020134
0.95,ge,1059,0.9950424929178471,0.25,2.0518937816894813,0.5014164305949008,15.781007718328484,0.012275731822474031,0.48630783758262514,0.9709505944517832,2.246439344663802,1.4204401564594153,7,0.7142857142857143,1.0610062142625187,1.4965517241379311,-0.6912568306010929,3.312925170068027
1.0,ge,981,1.023190621814475,0.25,1.9929336069323722,0.5045871559633027,16.08045095676144,0.013251783893985729,0.48216106014271154,1.1567796494427114,2.246439344663802,1.455379862766114,7,0.7142857142857143,1.092255871937207,1.4050387596899225,-1.1479166666666667,3.6313868613138687
1.05,ge,981,1.023190621814475,0.25,1.9929336069323722,0.5045871559633027,16.08045095676144,0.013251783893985729,0.48216106014271154,1.1567796494427114,2.246439344663802,1.455379862766114,7,0.7142857142857143,1.092255871937207,1.4050387596899225,-1.1479166666666667,3.6313868613138687
1.1,ge,981,1.023190621814475,0.25,1.9929336069323722,0.5045871559633027,16.08045095676144,0.013251783893985729,0.48216106014271154,1.1567796494427114,2.246439344663802,1.455379862766114,7,0.7142857142857143,1.092255871937207,1.4050387596899225,-1.1479166666666667,3.6313868613138687
1.15,ge,981,1.023190621814475,0.25,1.9929336069323722,0.5045871559633027,16.08045095676144,0.013251783893985729,0.48216106014271154,1.1567796494427114,2.246439344663802,1.455379862766114,7,0.7142857142857143,1.092255871937207,1.4050387596899225,-1.1479166666666667,3.6313868613138687
1.2,ge,922,1.1672993492407808,0.5,2.1560809628944098,0.5075921908893709,16.439274183956815,0.013015184381778741,0.4793926247288503,1.2954618442339936,2.246439344663802,1.47448768552759,7,0.7142857142857143,1.250223220828277,1.2913385826771653,-1.1099137931034482,4.298387096774194
1.25,ge,922,1.1672993492407808,0.5,2.1560809628944098,0.5075921908893709,16.439274183956815,0.013015184381778741,0.4793926247288503,1.2954618442339936,2.246439344663802,1.47448768552759,7,0.7142857142857143,1.250223220828277,1.2913385826771653,-1.1099137931034482,4.298387096774194
1.3,ge,677,0.7108567208271788,0.5,1.5323964346859604,0.51698670605613,12.06994456039377,0.011816838995568686,0.4711964549483013,1.3567796494412687,2.246439344663802,1.5392754715201025,7,0.7142857142857143,0.6584479361365428,0.6290983606557377,-1.6125,3.2225274725274726
1.35,ge,677,0.7108567208271788,0.5,1.5323964346859604,0.51698670605613,12.06994456039377,0.011816838995568686,0.4711964549483013,1.3567796494412687,2.246439344663802,1.5392754715201025,7,0.7142857142857143,0.6584479361365428,0.6290983606557377,-1.6125,3.2225274725274726
1.4,ge,477,0.5539832285115304,0.25,0.9853375166024275,0.5052410901467506,12.279220203516216,0.016771488469601678,0.4779874213836478,1.4854752972230063,2.246439344663802,1.61293353360921,7,0.5714285714285714,0.42728612607226074,0.27816901408450706,-2.141509433962264,3.404109589041096
1.45,ge,477,0.5539832285115304,0.25,0.9853375166024275,0.5052410901467506,12.279220203516216,0.016771488469601678,0.4779874213836478,1.4854752972230063,2.246439344663802,1.61293353360921,7,0.5714285714285714,0.42728612607226074,0.27816901408450706,-2.141509433962264,3.404109589041096
1.5,ge,300,0.7425,0.5,0.9691114255190201,0.51,13.270380378924251,0.016666666666666666,0.47333333333333333,1.5219280948830345,2.246439344663802,1.6881338930770706,7,0.42857142857142855,0.5530665549047903,-0.5740740740740741,-2.0083333333333333,5.133333333333334
1.55,ge,256,0.748046875,0.25,0.8593887001432123,0.50390625,13.927050702441718,0.015625,0.48046875,1.5709505944488975,2.246439344663802,1.7167005146416707,7,0.42857142857142855,0.4135508378144956,-0.25,-3.54,5.4875
1.6,ge,147,2.1445578231292517,0.5,1.6425913934146923,0.5170068027210885,15.829488617952261,0.006802721088435374,0.47619047619047616,1.6854752972215634,2.246439344663802,1.8247735847159263,7,0.7142857142857143,1.7778979982797718,1.3095238095238095,-3.033333333333333,6.043103448275862
1.65,ge,147,2.1445578231292517,0.5,1.6425913934146923,0.5170068027210885,15.829488617952261,0.006802721088435374,0.47619047619047616,1.6854752972215634,2.246439344663802,1.8247735847159263,7,0.7142857142857143,1.7778979982797718,1.3095238095238095,-3.033333333333333,6.043103448275862
1.7,ge,114,2.482456140350877,0.5,1.6215966054108946,0.5175438596491229,16.345235540898145,0.008771929824561403,0.47368421052631576,1.7219280948815914,2.246439344663802,1.865096773201137,6,0.8333333333333334,2.6487616414087003,3.2424450549450547,-1.6805555555555556,5.45
1.75,ge,101,2.4554455445544554,0.5,1.4546055009031444,0.5247524752475248,16.964683759195307,0.009900990099009901,0.46534653465346537,1.7609640474379105,2.246439344663802,1.8835244248660286,6,0.8333333333333334,2.725586669665617,3.3583333333333334,-1.6805555555555556,5.578947368421052
1.8,ge,83,2.966867469879518,0.5,1.5079430873761264,0.5301204819277109,17.924714300387446,0.012048192771084338,0.4578313253012048,1.8464393446652445,2.246439344663802,1.9101037838263437,3,0.6666666666666666,3.6593137254901964,5.6875,-2.1470588235294117,7.4375
1.85,ge,32,8.15625,2.75,1.9932283472160646,0.59375,23.147732941318047,0.0,0.40625,1.8954618442325508,2.246439344663802,2.0115689837393447,0,,,,,
