APVA Family B Resolution Study v0.1B - Aggregate
================================================
Instruments: 6E, NQ, CL
Family B resolution uses the existing Study 30 family projection.

Aggregate Resolution Counts
===========================
Resolution           6E_Count     6E_Pct    6E_Med     NQ_Count     NQ_Pct    NQ_Med     CL_Count     CL_Pct    CL_Med ValidN    MeanPct  MeanMedian
B->A                       25     0.81%    1.0000            0     0.00%    0.0000            4     2.07%    1.0000      1     0.81%      1.0000
B->C                      853    27.79%    1.0000           18    20.45%    1.0000           53    27.46%    1.0000      2    27.63%      1.0000
B->D                      468    15.25%    1.0000           16    18.18%    1.0000           28    14.51%    1.0000      2    14.88%      1.0000
B->N                     1722    56.11%    1.0000           54    61.36%    1.0000          108    55.96%    1.0000      3    57.81%      1.0000
B->B_Persist                1     0.03%    5.0000            0     0.00%    0.0000            0     0.00%    0.0000      0     0.00%      0.0000

Aggregate Branch Predictors
===========================
Category                 Feature                                     6E_Effect    NQ_Effect    CL_Effect ValidN  PosN  NegN  MeanEffect
B->A                     Prev5AcceptedCount                           0.136805     0.000000     0.066645      1     1     0    0.136805
B->A                     Prev5ClimacticCount                         -0.011219     0.000000     0.369115      1     0     1   -0.011219
B->A                     Prev5CompressedCount                         0.070978     0.000000    -0.099024      1     1     0    0.070978
B->A                     Prev5DissipatingCount                        0.665694     0.000000    -0.748757      1     1     0    0.665694
B->A                     Prev5Dominance                               0.328527     0.000000    -0.267935      1     1     0    0.328527
B->A                     Prev5ExpandingCount                          0.046778     0.000000     0.538687      1     1     0    0.046778
B->A                     Prev5NetAcceptance                          -0.007102     0.000000    -0.671010      1     0     1   -0.007102
B->A                     Prev5PeakCount                               0.129943     0.000000     0.929572      1     1     0    0.129943
B->A                     VolumePolarity_Black                         0.108985     0.000000    -0.390253      1     1     0    0.108985
B->A                     VolumePolarity_Neutral                      -0.245172     0.000000    -0.182027      1     0     1   -0.245172
B->A                     VolumePolarity_Red                           0.078618     0.000000     0.451706      1     1     0    0.078618
B->C                     AcceptanceState_Accepted                     0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     AcceptanceState_Contained                   -0.058979    -0.495403     0.222700      2     1     1    0.081860
B->C                     AcceptanceState_Rejected                     0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     AcceptanceState_Unknown                      0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     AcceptanceState_Unresolved                   0.058979     0.495403    -0.222700      2     1     1   -0.081860
B->C                     CompressionOn                                0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     CompressionState_Absent                      0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     CompressionState_Clustered                   0.065291     0.488604     0.273701      2     2     0    0.169496
B->C                     CompressionState_FailedResolution            0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     CompressionState_Lateral                     0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     CompressionState_Local                      -0.065291    -0.488604    -0.273701      2     0     2   -0.169496
B->C                     CompressionState_Resolving                   0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     CompressionState_Unknown                     0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     CurrentFlag_Accepted                         0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     CurrentFlag_Climactic                        0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     CurrentFlag_Compressed                       0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     CurrentFlag_Dissipating                      0.032101     0.049285     0.241393      2     2     0    0.136747
B->C                     CurrentFlag_Expanding                       -0.070668    -0.306146    -0.422455      2     0     2   -0.246562
B->C                     CurrentFlag_Peak                             0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     DissipationOn                                0.032101     0.049285     0.241393      2     2     0    0.136747
B->C                     DissipationState_Absent                     -0.032101    -0.049285    -0.241393      2     0     2   -0.136747
B->C                     DissipationState_Climactic                   0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     DissipationState_Local                       0.032101     0.049285     0.241393      2     2     0    0.136747
B->C                     DissipationState_Repeated                    0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     DissipationState_Strong                      0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     DissipationState_Unknown                     0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     ExpansionOn                                 -0.070668    -0.306146    -0.422455      2     0     2   -0.246562
B->C                     ExpansionState_Absent                        0.070668     0.306146     0.422455      2     2     0    0.246562
B->C                     ExpansionState_Climactic                    -0.013391     0.171509    -0.402507      2     0     2   -0.207949
B->C                     ExpansionState_Failed                        0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     ExpansionState_Local                         0.013101    -0.228422     0.078094      2     2     0    0.045598
B->C                     ExpansionState_Strong                       -0.079433    -0.278938    -0.216939      2     0     2   -0.148186
B->C                     ExpansionState_Unknown                       0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     FamilyBRunLengthSoFar                        0.053634     0.495403     0.097656      2     2     0    0.075645
B->C                     FamilyBTotalRunLength                        0.074633     0.745587     0.145687      2     2     0    0.110160
B->C                     ParticipationState_Climactic                 0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     ParticipationState_Falling                   0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     ParticipationState_Normal                    0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     ParticipationState_Peak                      0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     ParticipationState_Rising                    0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     ParticipationState_Silent                    0.000000     0.000000     0.000000      2     0     0    0.000000
B->C                     PositionInRun_First                          0.036406     0.495403     0.043683      2     2     0    0.040045
B->C                     PositionInRun_Last                           0.036406     0.495403     0.043683      2     2     0    0.040045
B->C                     PositionInRun_Middle                         0.034249     0.000000     0.115335      2     2     0    0.074792
B->C                     PositionInRun_Only                          -0.065867    -0.745587    -0.092546      2     0     2   -0.079206
B->C                     Prev10AcceptedCount                          0.049285    -0.201517     0.219669      2     2     0    0.134477
B->C                     Prev10ClimacticCount                         0.031488    -0.342118    -0.320693      2     1     1   -0.144603
B->C                     Prev10CompressedCount                       -0.049268     0.304320    -0.232550      2     0     2   -0.140909
B->C                     Prev10DissipatingCount                      -0.001782    -0.204963     0.266481      2     1     1    0.132350
B->C                     Prev10Dominance                              0.039782    -0.302599     0.297577      2     2     0    0.168680
B->C                     Prev10ExpandingCount                         0.064279    -0.055151    -0.031894      2     1     1    0.016193
B->C                     Prev10NetAcceptance                         -0.116372    -0.360998     0.120710      2     1     1    0.002169
B->C                     Prev10PeakCount                              0.186122     0.217121     0.043811      2     2     0    0.114966
B->C                     Prev20AcceptedCount                          0.046204    -0.167957     0.150871      2     2     0    0.098538
B->C                     Prev20ClimacticCount                        -0.022659    -0.254946    -0.307065      2     0     2   -0.164862
