Prev_VelocityBin,VelocityBin,Next_VelocityBin,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,PositiveOutcomeFraction,InstrumentCount,ES_Count,NQ_Count
V2,V2,V2,525,0.2377568294552186,0.0476190476190476,2.636061968673857,0.5085714285714286,1.4447852131993952,-2.0,-0.9313929313929314,0.960127591706539,2.0053109202752926,16.06518010291595,124.82233546398976,0.16,0.5085714285714286,2,156,369
V3,V4,V4,31,0.21778908555449247,0.1942369263607257,0.7888726750378571,0.5161290322580645,1.414982030220201,-2.0,-0.5774784333625502,1.1935891164069234,1.7536534446764092,4.149430974764968,6.751461652189267,0.16129032258064516,0.5161290322580645,2,9,22
V4,V3,V3,83,0.18509943199641024,0.0,0.7578435990321235,0.4939759036144578,1.3214075752647934,-2.0,-1.1000233918128655,1.0612783761865539,1.6153846153846154,15.68,15.363252855702049,0.1927710843373494,0.4939759036144578,2,18,65
V2,V3,V3,66,0.17334720951586952,-0.06221687506705225,0.7282498699658373,0.48484848484848486,1.2779581319717763,-2.0,-1.0821348751595443,1.255767936465204,2.1058689956331875,9.451476793248943,11.440915828047387,0.21212121212121213,0.48484848484848486,2,4,62
V3,V2,V2,152,0.1023379456735416,0.0747385842997128,0.6063414968714198,0.5131578947368421,1.1609725068571766,-2.0,-1.3699858757062147,0.9212812960235642,1.686923995973411,13.64102564102564,15.555367742378323,0.19736842105263158,0.5131578947368421,2,30,122
V4,V4,V4,294,0.06757661384591111,-0.0408128100944439,0.6884514934972659,0.4897959183673469,1.1214987780161674,-2.0,-0.9959703417150225,0.806692909370889,1.7737378789141722,12.237037037037036,19.867524470697866,0.1564625850340136,0.4897959183673469,2,51,243
V2,V1,V1,80,0.014654673592793177,0.18961498271843097,0.10079444565739785,0.5375,1.0273171225822213,-2.0,-0.9300169294918017,1.0348291852209834,1.7018995929443694,2.676818950930626,1.1723738874234542,0.175,0.5375,2,47,33
V3,V3,V3,386,-0.04752413674165912,-0.0723709286209286,-0.6759616511166542,0.47668393782383417,0.9147899167120019,-2.0,-0.838784463222329,0.7296232006054515,1.5977275140702982,5.149425287356322,-18.34431678228042,0.18911917098445596,0.47668393782383417,2,24,362
