Feature,Gate,FeatureMean,FeatureMin,FeatureMax,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,InstrumentCount
DeltaPrevToEntry_RollingEntropy,Q2,-0.06854443776557197,-0.19001345298901273,0.0,418,0.29109075579776517,0.0803239570721615,2.4876928881803964,0.5215311004784688,1.5145148348809514,-2.0,-1.0499566563467493,1.017241090006041,2.079697120777764,16.06518010291595,121.67593592346583,0.17942583732057416,2
DeltaPrevToEntry_DominantPressureValue,Q1,-0.061633999084129004,-0.4902777777776877,0.0,418,0.28707637484254217,0.05726721928160055,2.5026655252862953,0.5047846889952153,1.5076971843249551,-2.0,-1.0823213156230236,1.0419148936170213,1.9565842245989304,16.06518010291595,119.99792468418264,0.17942583732057416,2
DeltaPrevToEntry_RollingDirectionalPresence,Q3,0.0,0.0,0.0,418,0.26165442524984117,0.12191007450474556,3.4880401477077623,0.5334928229665071,1.5614957270411223,-2.0,-0.7520643686916777,1.158386883517037,2.0728037339556593,6.310880829015544,109.3715497544336,0.13636363636363635,1
DeltaEntryToNext_RollingDirectionalPresence,Q3,0.0,0.0,0.0,418,0.24944469704389266,0.12996903906429164,3.29815303695587,0.5311004784688995,1.5309093962889375,-2.0,-0.7673172634153113,1.1217060631757474,2.0497407035175885,6.310880829015544,104.26788336434713,0.13636363636363635,1
DeltaEntryToNext_RollingVelocity,Q3,0.0,0.0,0.0,418,0.24944469704389266,0.12996903906429164,3.29815303695587,0.5311004784688995,1.5309093962889375,-2.0,-0.7673172634153113,1.1217060631757474,2.0497407035175885,6.310880829015544,104.26788336434713,0.13636363636363635,1
DeltaEntryToNext_DominantPressureValue,Q3,0.0,0.0,0.0,418,0.24944469704389266,0.12996903906429164,3.29815303695587,0.5311004784688995,1.5309093962889375,-2.0,-0.7673172634153113,1.1217060631757474,2.0497407035175885,6.310880829015544,104.26788336434713,0.13636363636363635,1
DeltaEntryToNext_RollingEntropy,Q3,0.0,0.0,0.0,418,0.2484472212157305,0.12191007450474556,3.285006597851723,0.5311004784688995,1.5287864035133114,-2.0,-0.7673172634153113,1.1217060631757474,2.0497407035175885,6.310880829015544,103.85093846817536,0.13636363636363635,1
DeltaEntryToNext_RollingEntropy,Q1,0.0,0.0,0.0,418,0.22459595418744654,-0.05812517361482075,1.815972086178794,0.4880382775119617,1.378192721758351,-2.0,-1.159601057438116,0.8710198192277738,1.7893387742165523,16.06518010291595,93.88110885035266,0.18899521531100477,2
DeltaEntryToNext_RollingDirectionalPresence,Q1,0.0,0.0,0.0,418,0.2181281864140962,-0.0649905864067354,1.7636858475397794,0.48564593301435405,1.365644092657866,-2.0,-1.159601057438116,0.8685324447246363,1.7893387742165523,16.06518010291595,91.17758192109221,0.18899521531100477,2
DeltaEntryToNext_RollingVelocity,Q1,-0.00026581605528973963,-0.11111111111111116,0.0,418,0.2181281864140962,-0.0649905864067354,1.7636858475397794,0.48564593301435405,1.365644092657866,-2.0,-1.159601057438116,0.8685324447246363,1.7893387742165523,16.06518010291595,91.17758192109221,0.18899521531100477,2
DeltaEntryToNext_DominantPressureValue,Q1,-3.7570518505913967e-05,-0.01570447673547204,0.0,418,0.2181281864140962,-0.0649905864067354,1.7636858475397794,0.48564593301435405,1.365644092657866,-2.0,-1.159601057438116,0.8685324447246363,1.7893387742165523,16.06518010291595,91.17758192109221,0.18899521531100477,2
DeltaPrevToEntry_RollingVelocity,Q2,-0.056618819776714506,-0.1111111111111111,0.0,418,0.21731222831834493,0.1114439973755563,2.168727054223507,0.5287081339712919,1.4078985234713317,-2.0,-1.0515531475748194,0.9165565248039473,1.885342213236606,16.06518010291595,90.83651143706818,0.15311004784688995,2
DeltaPrevToEntry_RollingDirectionalPresence,Q1,-0.013875598086124399,-0.1,0.0,418,0.21534613777002296,-0.058550570072744154,1.7374317052901334,0.4880382775119617,1.3589406295966835,-2.0,-1.1629432985898562,0.8519916244643553,1.7969094247246025,16.06518010291595,90.0146855878696,0.19138755980861244,2
DeltaPrevToEntry_RollingVelocity,Q1,-0.11111111111111115,-0.11111111111111116,-0.1111111111111111,418,0.14115945365235083,0.11956129139808845,1.4821288835490416,0.5263157894736842,1.2520160883461697,-2.0,-1.035060440901326,0.9601748251748251,1.6679054911267337,15.68,59.00465162668265,0.18421052631578946,2
DeltaPrevToEntry_RollingEntropy,Q1,-0.3403678684832032,-0.43485155455823454,-0.19001345298901273,418,0.13428458202107255,0.11629339511621065,1.7149041692978835,0.5239234449760766,1.2575158108935394,-2.0,-0.9081586592220625,0.940980348878209,1.7962286989876126,10.339449541284404,56.13095528480832,0.16028708133971292,2
DeltaPrevToEntry_DominantPressureValue,Q4,0.18169795961224852,0.08132028525625778,0.4500000000000001,418,0.09291890541137315,0.0770050913705693,1.2770231561176955,0.5119617224880383,1.175482771231869,-2.0,-0.8908872527609658,0.9440537415932738,1.8496117258784701,7.962085308056872,38.840102461953975,0.16028708133971292,2
DeltaPrevToEntry_DominantPressureValue,Q3,0.0591006317474725,0.03249582466629952,0.08132028525625778,418,0.09180703395424307,0.07523771438727445,1.12109438576547,0.5191387559808612,1.1666553038625427,-2.0,-0.9563479417130049,0.9168477473562218,1.7134854988399075,13.64102564102564,38.3753401928736,0.17464114832535885,2
DeltaPrevToEntry_RollingEntropy,Q4,0.1956896681277831,0.0,0.45293250129663837,418,0.07240293181581535,-0.009834149332956451,0.8917523753588508,0.49282296650717705,1.1282358107588062,-2.0,-1.023643326000122,0.9447801268997619,1.7638235056940876,15.68,30.264425499010816,0.18181818181818182,2
DeltaPrevToEntry_RollingVelocity,Q4,0.06432748538011697,0.0,0.11111111111111116,418,0.04828768398592125,-0.03342020223079325,0.5833841876147038,0.48564593301435405,1.080314388540886,-2.0,-1.1012032432785732,0.9980397820253311,1.8793732261299279,13.708333333333334,20.184251906115083,0.20095693779904306,2
DeltaEntryToNext_RollingDirectionalPresence,Q2,0.0,0.0,0.0,418,0.019985739258031352,-0.0118543607112616,0.2901872925921706,0.49282296650717705,1.037064719826392,-2.0,-0.8815136769499693,0.8343519171959539,1.7393844729839179,5.405602923264311,8.354039009857106,0.17703349282296652,1
DeltaEntryToNext_RollingVelocity,Q2,0.0,0.0,0.0,418,0.019985739258031352,-0.0118543607112616,0.2901872925921706,0.49282296650717705,1.037064719826392,-2.0,-0.8815136769499693,0.8343519171959539,1.7393844729839179,5.405602923264311,8.354039009857106,0.17703349282296652,1
DeltaEntryToNext_DominantPressureValue,Q2,0.0,0.0,0.0,418,0.019985739258031352,-0.0118543607112616,0.2901872925921706,0.49282296650717705,1.037064719826392,-2.0,-0.8815136769499693,0.8343519171959539,1.7393844729839179,5.405602923264311,8.354039009857106,0.17703349282296652,1
DeltaEntryToNext_RollingEntropy,Q2,0.0,0.0,0.0,418,0.017378057690078927,-0.0118543607112616,0.25266262870321227,0.49282296650717705,1.0322286221737238,-2.0,-0.8815136769499693,0.831774347411326,1.7393844729839179,5.405602923264311,7.264028114452992,0.17703349282296652,1
DeltaPrevToEntry_RollingVelocity,Q3,0.0,0.0,0.0,418,0.010417048696238121,-0.13733678447371706,0.14470768455038324,0.45454545454545453,1.0189786647819206,-2.0,-0.8708417696885946,0.7449281612655352,1.7128787878787886,6.175824175824176,4.354326355027535,0.1674641148325359,1
DeltaPrevToEntry_RollingDirectionalPresence,Q2,0.0,0.0,0.0,418,0.010317019166868656,-0.0305972561584316,0.14926123036473773,0.4904306220095694,1.0190159808872714,-2.0,-0.9059202169823033,0.8112750797436017,1.7336802325581395,5.405602923264311,4.312514011751098,0.17464114832535885,2
DeltaPrevToEntry_DominantPressureValue,Q2,0.00979920892222872,0.0,0.03249582466629952,418,-0.05462589955530325,-0.12987823243406044,-0.7107177717240115,0.45933014354066987,0.9085245276787683,-2.0,-1.1450780176587432,0.7270814739257937,1.623919062930754,13.821939586645469,-22.83362601411676,0.19138755980861244,2
DeltaPrevToEntry_RollingDirectionalPresence,Q4,0.0,0.0,0.0,418,-0.0701411675338776,-0.07267570834098275,-0.9674071292413788,0.48325358851674644,0.8894557166020896,-2.0,-1.3347745021625175,0.9243033276837866,1.6393089603990512,5.739549839228296,-29.319008029160837,0.20334928229665072,1
DeltaEntryToNext_RollingDirectionalPresence,Q4,0.0,0.0,0.0,418,-0.07038220806316503,-0.07267570834098275,-0.9689869920354883,0.48564593301435405,0.8895760600049368,-2.0,-1.3347745021625175,0.9155249892896533,1.6498725273089307,5.739549839228296,-29.419762970402985,0.20334928229665072,1
DeltaEntryToNext_RollingVelocity,Q4,0.0,0.0,0.0,418,-0.07038220806316503,-0.07267570834098275,-0.9689869920354883,0.48564593301435405,0.8895760600049368,-2.0,-1.3347745021625175,0.9155249892896533,1.6498725273089307,5.739549839228296,-29.419762970402985,0.20334928229665072,1
DeltaEntryToNext_DominantPressureValue,Q4,0.0,0.0,0.0,418,-0.07038220806316503,-0.07267570834098275,-0.9689869920354883,0.48564593301435405,0.8895760600049368,-2.0,-1.3347745021625175,0.9155249892896533,1.6498725273089307,5.739549839228296,-29.419762970402985,0.20334928229665072,1
DeltaEntryToNext_RollingEntropy,Q4,6.949618551514693e-05,0.0,0.02904940554533142,418,-0.07324481844040082,-0.0897342570075515,-1.007801103719784,0.48325358851674644,0.8855682264734444,-2.0,-1.3347745021625175,0.9155249892896533,1.6498725273089307,5.739549839228296,-30.616334108087543,0.20334928229665072,2
DeltaPrevToEntry_RollingEntropy,Q3,0.0,0.0,0.0,418,-0.0806018549817979,-0.14099391480730222,-1.1856545784428252,0.4569377990430622,0.863656986246685,-2.0,-1.1107140202200416,0.7484126979382559,1.6565651196527247,4.413793103448276,-33.69157538239152,0.18421052631578946,2
