Instrument,Files,MeanBars,MeanUnresolvedPct,MeanDirectionalPct,MeanDegradingPct,MeanBalancePct,MeanEntropy,MeanRunLength,MeanDirectionalRunLength
6E,1,6070.0,0.728830313014827,0.04365733113673806,0.15683690280065898,0.07034596375617792,1.2221915134505172,3.6500300661455203,2.0229007633587788
ES,1,3148.0,0.7106099110546379,0.05844980940279543,0.1315120711562897,0.09720457433290978,1.321067319786545,3.806529625151149,2.090909090909091
NQ,1,9841.0,0.6785895742302611,0.05527893506757443,0.1537445381566914,0.11045625444568641,1.3943153975749798,3.426532033426184,2.2386831275720165
