ResolvedArchetype,Rows,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure,MeanEntropy,MeanVelocity,MeanDominantFraction,MeanDirectionalPresence
Directional Continuation / Sponsor Release,189,0.4403029876392818,0.2941828620139414,0.26877744901128814,0.34325033225657775,1.130159110507671,0.261190896111531,0.6395502645502645,0.3816137566137566
Pure Unresolved Compression Equilibrium,1474,0.18669789519212926,0.03788764897374598,0.821379598766759,0.21716545796584452,0.6966051425341148,0.16998341625207297,0.7730664857530529,0.04640434192672999
Sponsor Exhaustion Collapse,412,0.13125889847558406,0.21041993465865308,0.19711607384887772,0.44312342175700625,1.3515412579992345,0.37998921251348433,0.5674757281553399,0.25970873786407767
Stable Compression Basin,753,0.09078618240649758,0.11921387459685069,0.6077728396054275,0.49347011516937783,1.4383603304030546,0.4604175889036447,0.536373026412867,0.16882101224730706
Unstable Rotational Balance,317,0.07880265211577261,0.12905107766261079,0.14391426721014508,0.7573870438842157,1.522385987026966,0.480546792849632,0.5088328075709779,0.167192429022082
