Instrument,HorizonBars,ResolvedArchetype,DominantPressure,WalkForwardSplitMode,Count_Train,MeanSignedReturn_Train,MedianSignedReturn_Train,StdSignedReturn_Train,DirectionalHitRate_Train,MeanDirectionalMFE_Train,MeanDirectionalMAE_Train,Count_Validation,MeanSignedReturn_Validation,MedianSignedReturn_Validation,StdSignedReturn_Validation,DirectionalHitRate_Validation,MeanDirectionalMFE_Validation,MeanDirectionalMAE_Validation,Supported,ReturnSignAgreement,HitRateDelta,ReturnDelta,ValidationRetainsPositiveEdge,ValidationFlipsNegative,TrainTStat,ValidationTStat,GeneralizationClass
ES,10,Pure Unresolved Compression Equilibrium,CompressionPressure,BarIndexFallback,849,0.05751894588138799,-0.2304526748971193,3.519040283832084,0.4499411071849234,1.9352243669247322,-1.857258874271534,559,0.13843225325655598,0.053639846743295,3.082299060016814,0.5026833631484794,1.8821987527320034,-1.800379102257023,True,True,0.05274225596355597,0.08091330737516798,True,False,0.47625607129264896,1.0618628281752873,WeakPositive
ES,10,Sponsor Exhaustion Collapse,RotationalPressure,BarIndexFallback,165,-0.11211995112859124,-0.0406976744186046,2.2325255081884654,0.48214285714285715,1.6350454817898068,-1.7575875969699624,132,0.3125396503619928,0.3057592621487144,1.99255592097124,0.5909090909090909,1.7119091961032202,-1.527376889882929,True,False,0.10876623376623379,0.42465960149058407,False,False,-0.6451020799865115,1.8021111298662256,FailedNegative
ES,10,Stable Compression Basin,CompressionPressure,BarIndexFallback,307,0.3711634144590751,0.0526315789473684,3.4713729623708156,0.5095541401273885,2.1139142835423086,-1.6550284193571028,232,0.39869030327287114,0.17824030528607132,3.6320389530040385,0.5431034482758621,2.253738581349406,-1.7027904442444042,True,True,0.03354930814847357,0.027526888813796058,True,False,1.8734110283538596,1.6719726459557502,WeakPositive
ES,10,Stable Compression Basin,RotationalPressure,BarIndexFallback,118,0.20867997037008293,0.01741293532338305,3.3157147987938305,0.5,1.9269538085887665,-1.7498151213866155,63,0.43446059809718524,0.2397260273972602,2.6887937738926255,0.5396825396825397,2.124141577748569,-1.214344344888384,True,True,0.03968253968253965,0.2257806277271023,True,False,0.6836669763831902,1.2825171363262433,WeakPositive
ES,10,Unstable Rotational Balance,RotationalPressure,BarIndexFallback,203,-0.06196273993300492,-0.106060606060606,3.386062401326324,0.46798029556650245,2.027520228480142,-1.9755775781377003,117,0.6949731109128382,0.2568807339449541,4.018623588486674,0.5641025641025641,2.4979562611708355,-1.7499169520468005,True,False,0.09612226853606165,0.7569358508458431,False,False,-0.26072559975283544,1.8706115150798996,FailedNegative
ES,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,BarIndexFallback,77,0.48234270843510263,0.5137614678899083,3.7851136127093286,0.5679012345679012,2.5261137368477606,-2.1800067236346274,50,0.9198779837144319,1.051918296444937,3.4378228251801706,0.64,3.429000715901807,-1.5582746082531758,True,True,0.07209876543209881,0.4375352752793292,True,False,1.1182068815119919,1.8920461967512658,WeakPositive
ES,20,Pure Unresolved Compression Equilibrium,CompressionPressure,BarIndexFallback,849,0.23367030422220847,0.0786516853932584,5.195161575575337,0.5076560659599529,2.948158609016994,-2.8263335875972966,559,0.258548177609794,0.0746666666666666,5.1738817171207625,0.5098389982110912,3.012386835836611,-2.74739354127495,True,True,0.002182932251138303,0.024877873387585514,True,False,1.3105642288156931,1.1814922822025644,WeakPositive
ES,20,Sponsor Exhaustion Collapse,RotationalPressure,BarIndexFallback,165,-0.023962796471723388,-0.0936454849498327,4.154808963214594,0.5,2.537001393730676,-2.5982937567461506,132,0.008957594039538485,0.2380053421163617,4.1229404136053205,0.5227272727272727,2.610058680331733,-2.6364753579997697,True,False,0.022727272727272707,0.032920390511261874,False,False,-0.0740846803402366,0.024961534710799906,FailedNegative
ES,20,Stable Compression Basin,CompressionPressure,BarIndexFallback,307,0.2657619081234028,0.1337579617834395,4.783836781219635,0.5095541401273885,2.9095088107528264,-2.5857671013937784,228,0.24966123550084945,0.3222286134279232,5.06646534999335,0.5482456140350878,3.081048878102475,-2.61181462435554,True,True,0.038691473907699225,-0.016100672622553325,True,False,0.9733870574476821,0.7440694301556914,PositiveButWeak
ES,20,Stable Compression Basin,RotationalPressure,BarIndexFallback,118,0.14928073679506249,-0.17376252843878742,4.926694902364745,0.4661016949152542,2.7560046078604885,-2.8216877263143343,63,0.30931446470653495,-0.185022026431718,3.47461208088415,0.4444444444444444,2.6860482222705584,-1.894853248413877,True,True,-0.021657250470809797,0.16003372791147247,True,False,0.3291463968249894,0.7065846184938561,PositiveButWeak
