Instrument,HorizonBars,BaselineMeanSignedReturn,BaselineDirectionalHitRate
6E,5,-0.0926879020375817,0.4570494060939921
6E,10,-0.09266427729912766,0.4751895244658856
6E,20,-0.18198148449675652,0.4665170866413531
ES,5,0.08979117061022751,0.4878980891719745
ES,10,0.19118493105145118,0.49920255183413076
ES,20,0.21568785112099184,0.51648
NQ,5,-0.012725797187148656,0.5002584513594541
NQ,10,-0.0334670194942625,0.5031030202730657
NQ,20,0.003141236832278259,0.5082832884655208
