Feature,PC1,PC2,PC3
MeanPriorRunLength,0.003473772660171347,-0.23359234541233753,0.6652727045275798
MeanEntropicCompression,0.6262078611656695,-0.11987224894658373,-0.06915339862721744
MeanExpansionPressure,-0.028937790521313272,0.6623486852324185,0.11097642214587444
MeanIncubationQuality,-0.5020830250650843,0.43830214352407837,0.08405865729639284
MeanNextRunLength,-0.3656288277851859,-0.4142272557140304,-0.23141115881858482
ImmediateFailurePct,0.4702733269060774,0.3495775747127238,-0.009787761961669323
DirectionalContinuationPct,0.009243702298471995,-0.08038662906186016,0.6925326614825569
