Instrument,HorizonBars,ResolvedArchetype,DominantPressure,SurvivorshipScore,SurvivorshipClass,DirectionalHitRate,MeanDirectionalMFE,MeanDirectionalMAE,Support,ObservedMean,ObservedMedian,ObservedStd,BootstrapMean,BootstrapStd,CILow_2p5,CIHigh_97p5,ProbabilityMeanPositive,ProbabilityMeanNegative,BootstrapConfidenceClass
NQ,5,Stable Compression Basin,CompressionPressure,0.7656589474354636,WeakCandidatePositive,0.5028394424367578,1.231681074586479,-1.2278267150786628,1924,0.02525288144423181,0.0252587911134464,1.8268742946321541,0.02468369040237643,0.04089876754703407,-0.05652822970901156,0.10198106882833834,0.7312,0.2688,Indeterminate
ES,20,Stable Compression Basin,RotationalPressure,0.8223902963961801,WeakCandidatePositive,0.4585635359116022,2.7316551476827775,-2.49908788041528,181,0.20498308407916613,-0.185022026431718,4.465569043199313,0.19809972532704123,0.33551536428730966,-0.45891176287623453,0.8474546830675769,0.7188,0.2812,Indeterminate
6E,5,Directional Continuation / Sponsor Release,RotationalPressure,0.8739402614867556,WeakCandidatePositive,0.4740740740740741,1.3745118630289308,-1.1517758079444225,135,0.032779802069769125,0.0,1.6466712253713454,0.03131167978661014,0.14270130350262378,-0.23937896267346878,0.31351390954225744,0.5874,0.4126,Indeterminate
