Quadruplet,TrajectoryCluster,Archetype,ExpectancyFamily,Count,ConditionalProbability,FinalTransition,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop
Balance->Degrading->Degrading->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,2,100.0,Degrading->Unresolved,5.53,29.41,0.0,1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,1
Degrading->Balance->Degrading->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,2,66.67,Degrading->Degrading,0.0,0.0,0.0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0
Balance->Unresolved->Balance->Balance,1,Unstable Rotational Balance,RotationalChurn,2,66.67,Balance->Balance,0.0,0.0,0.0,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,1,0
Degrading->Unresolved->Degrading->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,2,66.67,Degrading->Unresolved,5.53,29.41,0.0,2,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,1
Unresolved->Degrading->Degrading->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,2,50.0,Degrading->Degrading,0.0,0.0,0.0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Directional->Degrading->Unresolved->Unresolved,2,Stable Compression Basin,DegradationCycle,2,50.0,Unresolved->Unresolved,0.0,0.0,0.0,2,1,1,0,2,0,0,0,1,0,0,0,0,0,1,0,1
Directional->Directional->Degrading->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,2,33.33,Degrading->Degrading,0.0,0.0,0.0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Directional->Directional->Degrading->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,2,33.33,Degrading->Unresolved,5.53,29.41,0.0,1,2,1,0,2,0,0,0,1,0,0,0,0,0,1,0,1
Unresolved->Unresolved->Directional->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,2,28.57,Directional->Degrading,2.2,70.0,0.0,2,1,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0
Unresolved->Unresolved->Degrading->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,2,28.57,Degrading->Degrading,0.0,0.0,0.0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Unresolved->Balance->Balance->Balance,1,Unstable Rotational Balance,RotationalChurn,2,28.57,Balance->Balance,0.0,0.0,0.0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0
Degrading->Unresolved->Unresolved->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,2,16.67,Unresolved->Degrading,1.82,63.64,0.0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1
Unresolved->Balance->Unresolved->Balance,1,Unstable Rotational Balance,ImmediateFailure,2,16.67,Unresolved->Balance,1.63,63.16,0.0,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,1,0
Balance->Unresolved->Unresolved->Balance,1,Unstable Rotational Balance,ImmediateFailure,2,12.5,Unresolved->Balance,1.63,63.16,0.0,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0
Directional->Unresolved->Unresolved->Directional,3,Directional Continuation / Sponsor Release,DirectionalContinuation,1,100.0,Unresolved->Directional,3.13,25.0,75.0,2,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
