Instrument,HorizonBars,BaselineFutureDirectionalProbability
6E,5,0.048498845265588855
6E,10,0.048208684167079414
6E,20,0.04828840747478085
ES,5,0.06815286624203817
ES,10,0.06730462519936199
ES,20,0.06719999999999997
NQ,5,0.06223939794569302
NQ,10,0.062271062271062216
NQ,20,0.062334487675697665
