Instrument,HorizonBars,BaselineMeanReturn,BaselineDirectionalHitRate
6E,5,-0.05140164560016971,0.4480977793079704
6E,10,-0.08901407727029564,0.4462439696760855
6E,20,-0.16407669849289414,0.43890231273731445
ES,5,0.19033451177486038,0.5678343949044586
ES,10,0.39739176553098887,0.5821371610845295
ES,20,0.8352748540480714,0.61376
NQ,5,0.10549030148186284,0.545952651710948
NQ,10,0.21766743470053243,0.5688870500620604
NQ,20,0.4408611531903962,0.5939117829778422
