Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure
ES,5,Stable Compression Basin,CompressionPressure,549,0.04553734061930783,0.09576594080284695,0.05001517911353971,0.6351231515799122,0.4370947739633251
ES,5,Stable Compression Basin,RotationalPressure,181,0.03314917127071823,0.04675840681488368,0.07974217311233882,0.5172649533336109,0.5793977093728775
ES,5,Pure Unresolved Compression Equilibrium,RotationalPressure,66,0.030303030303030304,0.0418153618624542,0.07579966329966327,0.5124033875438712,0.5747910055493132
ES,5,Sponsor Exhaustion Collapse,CompressionPressure,72,0.027777777777777776,0.2033252855984555,0.1150462962962963,0.397338951962458,0.18853820516843386
ES,5,Unstable Rotational Balance,RotationalPressure,322,0.024844720496894408,0.07792898548032239,0.05961007591442369,0.1393624018470506,0.7372876666892221
ES,5,Sponsor Exhaustion Collapse,RotationalPressure,300,0.016666666666666666,0.09704046240613552,0.15588888888888883,0.1409341442703903,0.48435549505363384
ES,10,Directional Continuation / Sponsor Release,RotationalPressure,81,0.16049382716049382,0.24226306395206365,0.25195473251028805,0.1314755138628471,0.4882410512742737
ES,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,131,0.11450381679389313,0.5777225704857408,0.21965762450018175,0.3639332991195866,0.22808871278498888
ES,10,Sponsor Exhaustion Collapse,DirectionalReleasePressure,20,0.1,0.38562738094482607,0.12986111111111104,0.3205097789088664,0.3118963293745229
ES,10,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,0.08238636363636363,0.19357097207874377,0.01866319444444441,0.8360563854863585,0.19412205578511868
ES,10,Pure Unresolved Compression Equilibrium,RotationalPressure,66,0.06060606060606061,0.0418153618624542,0.07579966329966327,0.5124033875438712,0.5747910055493132
ES,10,Stable Compression Basin,CompressionPressure,546,0.056776556776556776,0.09575876254596098,0.0499592999592999,0.6351881668021412,0.437314045415135
ES,10,Stable Compression Basin,RotationalPressure,181,0.03867403314917127,0.04675840681488368,0.07974217311233882,0.5172649533336109,0.5793977093728775
ES,10,Sponsor Exhaustion Collapse,RotationalPressure,300,0.03666666666666667,0.09704046240613552,0.15588888888888883,0.1409341442703903,0.48435549505363384
ES,10,Unstable Rotational Balance,RotationalPressure,320,0.034375,0.07776412021178929,0.05959201388888884,0.13899811110121904,0.7378338680901776
