Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,MeanSignedReturn,MedianSignedReturn,MeanDirectionalMFE,MeanDirectionalMAE,DirectionalHitRate,StdSignedReturn,BaselineMeanSignedReturn,BaselineDirectionalHitRate,SignedReturnEdge,DirectionalHitLift,SignedReturnTStat,SignedReturnSignificance
6E,5,Directional Continuation / Sponsor Release,CompressionPressure,1,-0.21705426356586532,-0.21705426356586532,0.8682170542634613,-0.7596899224807696,0.0,,-0.0926879020375817,0.4570494060939921,-0.12436636152828362,0.0,0.0,Unsupported
6E,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,141,0.08481506265681298,-0.11200000000023874,1.2321584164320356,-1.0901457961414183,0.4452054794520548,1.651634396356203,-0.0926879020375817,0.4570494060939921,0.1775029646943947,0.9740861130459458,0.6097736099117599,NotSignificant
6E,5,Directional Continuation / Sponsor Release,RotationalPressure,135,0.032779802069769146,-0.0,1.3745118630289308,-1.1517758079444225,0.4740740740740741,1.646671225371346,-0.0926879020375817,0.4570494060939921,0.12546770410735086,1.0372490758178141,0.23129503731911236,NotSignificant
6E,5,Pure Unresolved Compression Equilibrium,CompressionPressure,2538,0.055752327458215484,0.0,1.3115685117488214,-1.1962259814267855,0.4915320992516739,1.7736394611851443,-0.0926879020375817,0.4570494060939921,0.1484402294957972,1.07544631433257,1.5835926176361643,WeakEvidence
6E,5,Pure Unresolved Compression Equilibrium,RotationalPressure,113,-0.0026884301173090517,0.0,1.1329719097149609,-1.10309616673851,0.4424778761061947,1.4749938521817998,-0.0926879020375817,0.4570494060939921,0.08999947192027265,0.9681182607536291,-0.019375270013545873,NotSignificant
6E,5,Sponsor Exhaustion Collapse,CompressionPressure,137,0.08361242843959686,-0.0,1.2581995005182827,-1.1611313837249886,0.48175182481751827,1.500096693521219,-0.0926879020375817,0.4570494060939921,0.17630033047717858,1.0540475895913235,0.652396867427771,NotSignificant
6E,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,29,0.0627953985944663,0.0,1.1400256792460146,-1.2574254718727638,0.4827586206896552,1.783767010592916,-0.0926879020375817,0.4570494060939921,0.15548330063204802,1.056250405870511,0.18957832976656483,Unsupported
6E,5,Sponsor Exhaustion Collapse,RotationalPressure,690,-0.3653910778384428,-0.2043904518330798,1.1602671741927113,-1.5588993683100971,0.4098124098124098,2.3534472657625636,-0.0926879020375817,0.4570494060939921,-0.2727031758008611,0.8966479429756266,-4.078289136000573,SignificantNegativeSignedReturn
6E,5,Stable Compression Basin,CompressionPressure,1238,-0.21365818330140987,-0.13025791933500214,1.2120831853259812,-1.3794226603837967,0.4416733708769107,2.053506501375587,-0.0926879020375817,0.4570494060939921,-0.12097028126382817,0.966358045734077,-3.6608654856966023,SignificantNegativeSignedReturn
6E,5,Stable Compression Basin,RotationalPressure,335,-0.20944396994745018,-0.22222222222267649,1.1913374773680987,-1.3539566098433422,0.4,2.0732654303205016,-0.0926879020375817,0.4570494060939921,-0.11675606790986848,0.8751789077212806,-1.8489933892237913,WeakEvidence
6E,5,Unstable Rotational Balance,CompressionPressure,23,-0.07118642170477764,0.4590163934426396,1.3548780495855302,-1.648127564527463,0.6086956521739131,2.4642035963549014,-0.0926879020375817,0.4570494060939921,0.021501480332804065,1.3317939900106446,-0.1385429701298254,Unsupported
