BootstrapConfidenceClass,Rows,MeanObservedReturn,MeanProbabilityPositive,MeanSupport
BootstrapConfirmedPositive,6,0.5952179053146607,0.9923000000000001,263.6666666666667
Indeterminate,3,0.0876719225310557,0.6791333333333333,746.6666666666666
PositiveButUncertain,9,0.1984080845909405,0.8917555555555556,1019.8888888888889
