Instrument,HorizonBars,NonOverlapOffset,ResolvedArchetype,DominantPressure,Count,MeanSignedReturn,MedianSignedReturn,StdSignedReturn,DirectionalHitRate,MeanDirectionalMFE,MeanDirectionalMAE,TStat
6E,5,0,Directional Continuation / Sponsor Release,CompressionPressure,1,-0.2170542635658653,-0.2170542635658653,,0.0,0.8682170542634613,-0.7596899224807696,0.0
6E,5,0,Directional Continuation / Sponsor Release,DirectionalReleasePressure,27,0.48367953401646246,0.4929577464790151,1.0677528347473622,0.5714285714285714,1.2304209448874412,-0.8094008210112574,2.353796216413618
6E,5,0,Directional Continuation / Sponsor Release,RotationalPressure,24,-0.5299608530550565,-0.7292457948996696,1.5395490464754167,0.25,1.215437077267196,-1.3176637204234127,-1.6863817058727426
6E,5,0,Pure Unresolved Compression Equilibrium,CompressionPressure,515,-0.017263998487728797,-0.0,1.6604313772109491,0.46990291262135925,1.2549012894527092,-1.2513181139944718,-0.23595222234790073
6E,5,0,Pure Unresolved Compression Equilibrium,RotationalPressure,21,-0.031424290041836125,-0.1217391304350552,1.2277664626799254,0.38095238095238093,1.252279159552492,-0.9167790035614578,-0.11728955966319017
6E,5,0,Sponsor Exhaustion Collapse,CompressionPressure,30,-0.013056183349197344,-0.0402298850573778,1.3626019606975868,0.4666666666666667,1.032986955049964,-1.193500914319998,-0.052481695620177155
6E,5,0,Sponsor Exhaustion Collapse,DirectionalReleasePressure,9,0.2700947976473001,-0.1917808219182048,2.1455363072361933,0.4444444444444444,1.4101331197650044,-1.1754414132392728,0.37766053653302234
6E,5,0,Sponsor Exhaustion Collapse,RotationalPressure,124,-0.2640084369226637,-0.1792270531404406,1.8294346134773756,0.3709677419354839,1.1604990226768395,-1.474474174185661,-1.6069847544760505
6E,5,0,Stable Compression Basin,CompressionPressure,256,-0.20030918620462942,0.0,2.217453980844058,0.45348837209302323,1.2922274054271394,-1.3883900533249327,-1.445327392117572
6E,5,0,Stable Compression Basin,RotationalPressure,78,-0.5256743641336311,-0.2139399241763349,2.2697020488883695,0.3974358974358974,1.029025201423343,-1.5265120606122398,-2.0454800575524863
6E,5,0,Unstable Rotational Balance,CompressionPressure,2,1.2401656314698815,1.2401656314698815,0.5416760021511022,1.0,1.627329192546238,-0.8271221532094613,3.23783783783808
6E,5,0,Unstable Rotational Balance,RotationalPressure,72,0.03896183798040351,-0.0,1.593541161837278,0.4722222222222222,1.2580115823057878,-1.1863776952930603,0.20746383340361918
6E,5,1,Directional Continuation / Sponsor Release,DirectionalReleasePressure,30,-0.09368852021486346,-0.2129032258064004,1.2924490197258147,0.3870967741935484,1.0527603884931993,-1.0720516200937287,-0.3970393811884797
6E,5,1,Directional Continuation / Sponsor Release,RotationalPressure,29,-0.18158371114804966,-0.0,1.764798870890638,0.4827586206896552,1.3083837239089833,-1.3543325615946766,-0.554090455831865
6E,5,1,Pure Unresolved Compression Equilibrium,CompressionPressure,503,0.09253771711316536,0.1359223300973745,1.7581772777001299,0.5149105367793241,1.3490553891523995,-1.1584497992898666,1.1804296534715204
6E,5,1,Pure Unresolved Compression Equilibrium,RotationalPressure,26,-0.18617226364541792,-0.0,1.5487599141162005,0.4230769230769231,0.8412892277195662,-1.3040778779668958,-0.6129394211235393
6E,5,1,Sponsor Exhaustion Collapse,CompressionPressure,31,0.3077160392892033,0.2456140350871261,1.370664828323181,0.5161290322580645,1.2859884026759758,-1.0327884446490248,1.2499703516297294
6E,5,1,Sponsor Exhaustion Collapse,DirectionalReleasePressure,5,0.21619064205263233,0.1609195402295072,0.903292162142996,0.6,0.7743585278070516,-0.786696853593438,0.5351723307131753
6E,5,1,Sponsor Exhaustion Collapse,RotationalPressure,153,-0.3617694104186492,-0.2500000000004956,2.0094846891592777,0.42483660130718953,1.1466836438875772,-1.5575089717203676,-2.226859700878199
6E,5,1,Stable Compression Basin,CompressionPressure,222,-0.1087732755835191,-0.1830769230769287,1.9525287157889666,0.4419642857142857,1.2309218252425813,-1.3180551365529554,-0.8300442864571796
6E,5,1,Stable Compression Basin,RotationalPressure,58,0.1642925960540961,-0.2733333333329766,2.6067844042992694,0.41379310344827586,1.4043280205996203,-1.0429926107856162,0.4799841262122663
6E,5,1,Unstable Rotational Balance,CompressionPressure,6,0.3871183370158997,0.6666666666666808,1.6021318409138636,0.5,1.4837855938664024,-1.3194913384087317,0.5918628988878005
6E,5,1,Unstable Rotational Balance,RotationalPressure,96,-0.2737245787589129,-0.36213413975577424,1.9165489191841543,0.4166666666666667,1.1620796745223358,-1.401853942710887,-1.3993601547160481
6E,5,2,Directional Continuation / Sponsor Release,DirectionalReleasePressure,26,-0.22070228971479722,-0.42025089605743515,1.7045154252845758,0.4074074074074074,1.165120864009734,-1.2586775321250072,-0.6602259300542703
6E,5,2,Directional Continuation / Sponsor Release,RotationalPressure,33,0.342758853367109,0.2434782608701105,1.7702225178941942,0.5454545454545454,1.651794144273183,-0.9098584124007589,1.1122893793968711
6E,5,2,Pure Unresolved Compression Equilibrium,CompressionPressure,507,0.04832618548599216,-0.0,1.8736463729212747,0.4970414201183432,1.3059851863106673,-1.216158962840926,0.5807629056885483
6E,5,2,Pure Unresolved Compression Equilibrium,RotationalPressure,25,0.17426986645496265,-0.0,1.3074548645974509,0.44,1.2492396672934551,-0.90713465827131,0.6664469695044432
6E,5,2,Sponsor Exhaustion Collapse,CompressionPressure,21,0.10149883845587612,0.3333333333332716,2.059815125110453,0.5714285714285714,1.3905037909891085,-1.4045127965742563,0.22580963917779062
6E,5,2,Sponsor Exhaustion Collapse,DirectionalReleasePressure,4,-0.5689232865606577,-0.25276841598423455,1.1715716657612796,0.5,0.6624878049674763,-1.2248897322481007,-0.9712138031111824
6E,5,2,Sponsor Exhaustion Collapse,RotationalPressure,145,-0.3209583426421301,-0.0,2.776833639733439,0.4383561643835616,1.2102227418996137,-1.529327401677325,-1.3918191509479978
6E,5,2,Stable Compression Basin,CompressionPressure,250,-0.15185332695474746,-0.12925459496225533,1.840670981059971,0.4342629482071713,1.220014427884349,-1.3757558753566617,-1.3044221058309746
6E,5,2,Stable Compression Basin,RotationalPressure,64,-0.3143230415041517,-0.33819383688136506,1.998536819231725,0.359375,1.1264483049652982,-1.5352889022462286,-1.2582126623015466
6E,5,2,Unstable Rotational Balance,CompressionPressure,6,-0.1782535711103499,0.8279569892477574,3.6152111994061444,0.6666666666666666,1.807369213490411,-1.8959691519668447,-0.12077587448307232
6E,5,2,Unstable Rotational Balance,RotationalPressure,78,-0.387046790701481,-0.22059553349821354,1.7195169694620007,0.38461538461538464,0.9890391403907274,-1.4453680737531174,-1.9879447311442573
6E,5,3,Directional Continuation / Sponsor Release,DirectionalReleasePressure,29,-0.0446785138109428,-0.3359999999996976,2.2708511682626145,0.43333333333333335,1.3176780759381301,-1.3371072021144035,-0.10595197235838291
6E,5,3,Directional Continuation / Sponsor Release,RotationalPressure,20,0.4973959461276542,0.3477812177505202,1.3478615774134004,0.65,1.340595557222328,-0.9290838385432361,1.6503343754462314
6E,5,3,Pure Unresolved Compression Equilibrium,CompressionPressure,511,0.13646100392571722,0.1272727272724395,1.9146053665143494,0.513671875,1.3583744896520131,-1.1833496741665772,1.6111639658372665
6E,5,3,Pure Unresolved Compression Equilibrium,RotationalPressure,24,0.08530867544788938,0.1249999999997026,1.2108466835989002,0.5,1.06979107208478,-1.1302201820657811,0.34515141893760054
6E,5,3,Sponsor Exhaustion Collapse,CompressionPressure,27,-0.06340313280310406,-0.2121212121216545,1.3796595275406494,0.4074074074074074,1.3865443868186753,-1.0527194100389585,-0.23879249593507604
6E,5,3,Sponsor Exhaustion Collapse,DirectionalReleasePressure,5,0.295997001429117,0.8235294117653513,1.5917474502028544,0.6,1.1929838182586674,-1.405347160728367,0.4158130840713824
6E,5,3,Sponsor Exhaustion Collapse,RotationalPressure,134,-0.5627402330811221,-0.3356302038472029,2.4101315332455417,0.35555555555555557,1.0784105808934423,-1.7363720456020504,-2.7028355369522346
6E,5,3,Stable Compression Basin,CompressionPressure,261,-0.20456815306164758,-0.0,2.261642773837307,0.4827586206896552,1.2049328986087138,-1.3737502711996414,-1.4612827869261054
6E,5,3,Stable Compression Basin,RotationalPressure,66,-0.12050298301868546,0.0,1.9171988359774288,0.4090909090909091,1.262896319331492,-1.3530019882234574,-0.5106256291971383
6E,5,3,Unstable Rotational Balance,CompressionPressure,2,-3.221200980395118,-3.221200980395118,4.761705591450811,0.5,0.8492647058815799,-4.507965686277001,-0.95668789808912
6E,5,3,Unstable Rotational Balance,RotationalPressure,80,-0.22478984186465634,-0.1627688172039427,1.6206925800995953,0.375,1.1630780261365996,-1.2437464265536196,-1.2405693053272595
6E,5,4,Directional Continuation / Sponsor Release,DirectionalReleasePressure,29,0.3015230501970384,-0.0,1.661222034788351,0.43333333333333335,1.393943202886251,-0.9721883375605609,0.9774438843557819
