CurrentQuadruplet,NextState,Count,TotalCount,Probability
Unresolved->Degrading->Degrading->Degrading,Balance,1,2,0.5
Unresolved->Degrading->Degrading->Degrading,Degrading,1,2,0.5
Unresolved->Degrading->Degrading->Unresolved,Unresolved,1,1,1.0
Unresolved->Degrading->Directional->Degrading,Unresolved,1,1,1.0
Unresolved->Degrading->Unresolved->Degrading,Degrading,1,1,1.0
Unresolved->Degrading->Unresolved->Unresolved,Balance,1,5,0.2
Unresolved->Degrading->Unresolved->Unresolved,Unresolved,4,5,0.8
Unresolved->Directional->Degrading->Degrading,Degrading,1,1,1.0
Unresolved->Directional->Degrading->Unresolved,Unresolved,1,1,1.0
Unresolved->Directional->Directional->Degrading,Degrading,1,3,0.3333333333333333
Unresolved->Directional->Directional->Degrading,Unresolved,2,3,0.6666666666666666
Unresolved->Directional->Directional->Directional,Directional,2,3,0.6666666666666666
Unresolved->Directional->Directional->Directional,Unresolved,1,3,0.3333333333333333
Unresolved->Directional->Unresolved->Unresolved,Degrading,1,1,1.0
Unresolved->Unknown->Unknown->Unknown,Unresolved,1,1,1.0
Unresolved->Unresolved->Balance->Balance,Balance,2,7,0.2857142857142857
Unresolved->Unresolved->Balance->Balance,Unresolved,5,7,0.7142857142857143
Unresolved->Unresolved->Balance->Unresolved,Balance,1,12,0.08333333333333333
Unresolved->Unresolved->Balance->Unresolved,Unresolved,11,12,0.9166666666666666
Unresolved->Unresolved->Degrading->Balance,Degrading,1,1,1.0
Unresolved->Unresolved->Degrading->Degrading,Balance,1,2,0.5
Unresolved->Unresolved->Degrading->Degrading,Unresolved,1,2,0.5
Unresolved->Unresolved->Degrading->Directional,Degrading,1,1,1.0
Unresolved->Unresolved->Degrading->Unresolved,Degrading,1,4,0.25
Unresolved->Unresolved->Degrading->Unresolved,Unresolved,3,4,0.75
Unresolved->Unresolved->Directional->Degrading,Degrading,1,2,0.5
Unresolved->Unresolved->Directional->Degrading,Unresolved,1,2,0.5
Unresolved->Unresolved->Directional->Directional,Degrading,3,5,0.6
Unresolved->Unresolved->Directional->Directional,Directional,2,5,0.4
Unresolved->Unresolved->Directional->Unresolved,Unresolved,1,1,1.0
Unresolved->Unresolved->Unknown->Unknown,Unknown,1,1,1.0
Unresolved->Unresolved->Unresolved->Balance,Balance,5,11,0.45454545454545453
Unresolved->Unresolved->Unresolved->Balance,Unresolved,6,11,0.5454545454545454
Unresolved->Unresolved->Unresolved->Degrading,Degrading,2,5,0.4
Unresolved->Unresolved->Unresolved->Degrading,Directional,1,5,0.2
Unresolved->Unresolved->Unresolved->Degrading,Unresolved,2,5,0.4
Unresolved->Unresolved->Unresolved->Directional,Degrading,2,7,0.2857142857142857
Unresolved->Unresolved->Unresolved->Directional,Directional,4,7,0.5714285714285714
Unresolved->Unresolved->Unresolved->Directional,Unresolved,1,7,0.14285714285714285
Unresolved->Unresolved->Unresolved->Unknown,Unknown,1,1,1.0
Unresolved->Unresolved->Unresolved->Unresolved,Balance,7,197,0.03553299492385787
Unresolved->Unresolved->Unresolved->Unresolved,Degrading,4,197,0.02030456852791878
Unresolved->Unresolved->Unresolved->Unresolved,Directional,7,197,0.03553299492385787
Unresolved->Unresolved->Unresolved->Unresolved,Unknown,1,197,0.005076142131979695
Unresolved->Unresolved->Unresolved->Unresolved,Unresolved,178,197,0.9035532994923858
