CurrentArchetype,TotalTransitions,SelfLoopProbability,DistinctTargets
Directional Continuation / Sponsor Release,170,0.5235294117647059,4
Pure Unresolved Compression Equilibrium,1474,0.9002713704206241,4
Sponsor Exhaustion Collapse,346,0.4884393063583815,5
Stable Compression Basin,661,0.5446293494704992,6
Unknown,241,0.4854771784232365,6
Unstable Rotational Balance,252,0.3492063492063492,4
