Instrument,HorizonBars,ResolvedArchetype,FutureArchetype,Count,Total,Probability
NQ,20,Stable Compression Basin,Directional Continuation / Sponsor Release,158,2562,0.06167056986729118
NQ,20,Stable Compression Basin,Pure Unresolved Compression Equilibrium,976,2562,0.38095238095238093
NQ,20,Stable Compression Basin,Sponsor Exhaustion Collapse,400,2562,0.156128024980484
NQ,20,Stable Compression Basin,Stable Compression Basin,690,2562,0.2693208430913349
NQ,20,Stable Compression Basin,Unstable Rotational Balance,338,2562,0.13192818110850899
NQ,20,Unstable Rotational Balance,Directional Continuation / Sponsor Release,63,1186,0.05311973018549747
NQ,20,Unstable Rotational Balance,Pure Unresolved Compression Equilibrium,431,1186,0.3634064080944351
NQ,20,Unstable Rotational Balance,Sponsor Exhaustion Collapse,170,1186,0.1433389544688027
NQ,20,Unstable Rotational Balance,Stable Compression Basin,330,1186,0.2782462057335582
NQ,20,Unstable Rotational Balance,Unstable Rotational Balance,192,1186,0.16188870151770657
