Feature,PC1,PC2,PC3
Count,-0.1761290025259301,0.3784472627850642,0.13590309526367078
ConditionalProbability,-0.03591748076803111,0.19443794658878072,0.046082378879434685
UnresolvedCount,-0.29285862924009975,0.27201891611299245,0.22577663722721064
DirectionalCount,0.3625144055490206,0.22902599525147896,-0.2899949341299963
DegradingCount,0.2753213986154831,-0.26355815065554217,0.30681655548511394
BalanceCount,-0.3288663134863192,-0.2970178794754148,-0.27200795114059406
StateChanges,0.06748709498260141,-0.24663411306021377,0.1964985278263669
EndsDirectional,0.24125499900503453,0.2746996038760076,-0.31627930833843526
EndsDegrading,0.2722843886492748,-0.21349061614123296,0.20833943361300636
EndsBalance,-0.21746426924268128,-0.2719948199139419,-0.3011945816830304
EndsUnresolved,-0.24378919743139604,0.19381740349702437,0.28044389283136956
PersistentUnresolved,-0.15919439949955064,0.3631872137708188,0.14401437179271562
PersistentDirectional,0.09243516552640858,0.15531200332035092,-0.2348440362446579
PersistentDegrading,0.06913203314501765,-0.04753453708076306,0.05918415415636687
PersistentBalance,-0.09554603886690405,-0.08588544821224085,-0.2259166032385965
UnresolvedToDirectional,0.22135019494214878,0.20101704955891667,-0.14178899370263373
DirectionalToDegrading,0.30183622803597715,-0.05442957788899508,0.04013418130168386
BalanceUnresolvedLoop,-0.360523049722414,-0.16083516111559873,-0.11639525506019349
DegradingUnresolvedLoop,0.0711074851844976,-0.08079587234822572,0.3988705042022387
