FromArchetype,EventCount,PreEntropy_5,PreVelocity_5,PreDominantFraction_5,PreMeanFailure_5,PreMeanContinuation_5,PreMeanMigrationProb_5,PreUniqueArchetypes_5,PreEntropy_10,PreVelocity_10,PreDominantFraction_10,PreMeanFailure_10,PreMeanContinuation_10,PreMeanMigrationProb_10,PreUniqueArchetypes_10,PreEntropy_20,PreVelocity_20,PreDominantFraction_20,PreMeanFailure_20,PreMeanContinuation_20,PreMeanMigrationProb_20,PreUniqueArchetypes_20
Stable Compression Basin,330,1.109474736768786,0.47954545454545455,0.62,15.307927272727273,1.4242363636363635,0.5453635141930164,2.4484848484848483,1.4349607179448463,0.4447811447811448,0.5354545454545454,14.347148484848486,1.790390909090909,0.5833478634301735,3.2393939393939393,1.6789608474124433,0.3907568981872387,0.48230639730639735,12.597842087542087,1.9381161616161617,0.6251497292966309,4.0636363636363635
Sponsor Exhaustion Collapse,205,1.1141975081634437,0.47073170731707314,0.615609756097561,17.94809756097561,3.39020487804878,0.5715458198385175,2.478048780487805,1.4037536284362395,0.40108401084010836,0.5536585365853659,14.565190243902439,2.9186634146341466,0.6158112081575975,3.2390243902439027,1.6170015241085052,0.3444020934136467,0.5097822299651569,11.63056306620209,2.3784574912891983,0.6543129395016399,3.946341463414634
Unstable Rotational Balance,188,1.208962341152551,0.5186170212765957,0.5946808510638297,19.46577659574468,0.9397021276595744,0.5688813315957301,2.6595744680851063,1.5314879658547127,0.4804964539007092,0.5074468085106383,16.80952659574468,1.6178936170212765,0.5915143464575795,3.478723404255319,1.7411111643561092,0.4120340745480723,0.4752659574468085,13.955854609929078,1.8683351063829787,0.6292942453039244,4.26063829787234
Pure Unresolved Compression Equilibrium,147,0.5138747056917442,0.16326530612244897,0.8217687074829931,2.007619047619048,0.10204081632653061,0.8009440771594764,1.653061224489796,0.9595155859336103,0.23658352229780802,0.6816326530612246,6.008367346938775,0.3968163265306123,0.7514235173575757,2.45578231292517,1.337065905454513,0.29108485499462944,0.5850340136054422,8.310860544217688,1.017561224489796,0.7150395202587395,3.3741496598639458
Directional Continuation / Sponsor Release,87,0.9263588445806704,0.3390804597701149,0.6850574712643678,9.13144827586207,11.934758620689657,0.6568324800491359,2.1954022988505746,1.1890233485756643,0.2762269658821383,0.6272988505747127,7.603137931034483,7.282034482758621,0.6973221355407838,2.896551724137931,1.423632327507414,0.2700630887563737,0.5798066875653083,7.79333855799373,5.068101880877743,0.7064631139257369,3.632183908045977
