Quadruplet,Count,FirstState,SecondState,ThirdState,FourthState,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,UnknownCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop,ConditionalProbability,TrajectoryCluster,PC1,PC2,PC3
Directional->Directional->Degrading->Degrading,2,Directional,Directional,Degrading,Degrading,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,33.33,0,2.5929780578450443,-0.5252736475496003,-0.18239442857150465
Balance->Unresolved->Unresolved->Balance,2,Balance,Unresolved,Unresolved,Balance,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,12.5,1,-2.548194076396433,-1.4609811107784991,-1.713700334446735
Directional->Degrading->Unresolved->Unresolved,2,Directional,Degrading,Unresolved,Unresolved,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,50.0,2,0.4839530817860213,0.5440613918687135,1.4650103587701377
Unknown->Unknown->Unknown->Unresolved,2,Unknown,Unknown,Unknown,Unresolved,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,100.0,2,-0.864848673542756,1.1890831841365719,0.15416399617630466
Unknown->Unknown->Unresolved->Unresolved,2,Unknown,Unknown,Unresolved,Unresolved,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,100.0,2,-1.1536389351208494,1.4573232361449275,0.3768041631819796
Unknown->Unresolved->Unresolved->Unresolved,2,Unknown,Unresolved,Unresolved,Unresolved,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,100.0,2,-1.4424291966989458,1.7255632881532876,0.5994443301876554
Balance->Degrading->Degrading->Unresolved,2,Balance,Degrading,Degrading,Unresolved,1,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,100.0,2,-0.4507099051907901,-0.09038366286502052,1.5201941783979804
Degrading->Unresolved->Unresolved->Degrading,2,Degrading,Unresolved,Unresolved,Degrading,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,16.67,0,0.8054865904490965,-0.8838503186351836,1.7891441200604832
Directional->Directional->Degrading->Unresolved,2,Directional,Directional,Degrading,Unresolved,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,33.33,2,1.1569479562027705,0.408193741112704,0.9262058690180246
Degrading->Balance->Degrading->Degrading,2,Degrading,Balance,Degrading,Degrading,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,66.67,0,1.1033039208840671,-1.519226727148523,0.6020183540913822
