ResolvedArchetype,Rows,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure,MeanEntropy,MeanVelocity,MeanDominantFraction
Directional Continuation / Sponsor Release,189,0.4179269693307238,0.31579019249181156,0.26877744901128814,0.34325033225657775,1.130159110507671,0.261190896111531,0.6395502645502645
Pure Unresolved Compression Equilibrium,1474,0.6947253241624749,0.04879843338502293,0.821379598766759,0.21716545796584452,0.6966051425341148,0.16998341625207297,0.7730664857530529
Sponsor Exhaustion Collapse,412,0.29916327033730716,0.1359680538603791,0.19711607384887772,0.44312342175700625,1.3515412579992345,0.37998921251348433,0.5674757281553399
Stable Compression Basin,753,0.3362287200365357,0.14919108471932374,0.6077728396054275,0.49347011516937783,1.4383603304030546,0.4604175889036447,0.536373026412867
Unstable Rotational Balance,317,0.217369756476307,0.1602296538981523,0.14391426721014508,0.7573870438842157,1.522385987026966,0.480546792849632,0.5088328075709779
