Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection
ES,xApvaV01StateLog_ES062021.csv,4,2021-04-19 06:55:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,4170.5,4171.5,4169.25,4170.25,Up,1,,,,5,4160.25,-10.0,,-10.0,,1.25,-15.5,,,0,1
ES,xApvaV01StateLog_ES062021.csv,5,2021-04-19 07:00:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,4170.5,4171.5,4169.5,4170.25,Down,-1,4170.25,2.0,,5,4163.5,-6.75,,6.75,,15.5,-0.5,,,1,1
ES,xApvaV01StateLog_ES062021.csv,6,2021-04-19 07:05:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.36602540378443865,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,4170.25,4170.75,4161.0,4161.75,Down,-1,4170.25,9.75,,5,4161.75,0.0,,-0.0,,7.0,-2.25,,,0,1
ES,xApvaV01StateLog_ES062021.csv,7,2021-04-19 07:10:00,Unresolved,Unknown->Unknown->Unknown->Unresolved,Stable Compression Basin,Exact,1.0,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,4161.5,4163.0,4155.0,4157.5,Down,-1,4161.75,8.0,,5,4163.25,5.75,,-5.75,,2.75,-7.25,,,0,1
ES,xApvaV01StateLog_ES062021.csv,8,2021-04-19 07:15:00,Directional,Unknown->Unknown->Unresolved->Directional,Stable Compression Basin,Soft,0.3090169943749474,-1.4428232973175175e-12,0.0,1.0,0.2,1.0,0.6720000000000002,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,4157.5,4158.5,4154.75,4157.75,Down,-1,4157.5,3.75,,5,4163.0,5.25,,-5.25,,2.5,-7.0,,,0,1
ES,xApvaV01StateLog_ES062021.csv,9,2021-04-19 07:20:00,Directional,Unknown->Unresolved->Directional->Directional,Directional Continuation / Sponsor Release,Soft,0.4142135623730951,0.6500224216454688,0.2,0.8333333333333334,0.3333333333333333,1.0,0.6064187063761649,0.225,0.3899291542027138,0.21719240473494628,DirectionalReleasePressure,0.6064187063761649,4157.75,4161.0,4155.25,4160.25,Up,1,4157.75,5.75,,5,4157.0,-3.25,,-3.25,,4.5,-4.0,,,0,1
ES,xApvaV01StateLog_ES062021.csv,10,2021-04-19 07:25:00,Directional,Unresolved->Directional->Directional->Directional,Directional Continuation / Sponsor Release,Exact,1.0,0.8631205685637456,0.16666666666666666,0.7142857142857143,0.42857142857142855,1.0,0.5495852327695379,0.22083333333333335,0.33534067875048024,0.2513076243733193,DirectionalReleasePressure,0.5495852327695379,4160.5,4163.75,4160.25,4163.5,Up,1,4160.25,3.5,,5,4151.0,-12.5,,-12.5,,1.25,-15.75,,,0,1
ES,xApvaV01StateLog_ES062021.csv,11,2021-04-19 07:30:00,Unresolved,Directional->Directional->Directional->Unresolved,Stable Compression Basin,Exact,1.0,0.8112781244562475,0.2857142857142857,0.75,0.5,0.0,0.19246985192965188,0.03571428571428571,0.7736998791262464,0.2846099468676612,CompressionPressure,0.7736998791262464,4163.25,4164.0,4161.75,4161.75,Up,1,4163.5,2.25,,5,4156.5,-5.25,,-5.25,,3.0,-14.0,,,0,1
ES,xApvaV01StateLog_ES062021.csv,12,2021-04-19 07:35:00,Unresolved,Directional->Directional->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.764204506505735,0.25,0.7777777777777778,0.5555555555555556,0.0,0.20710980543361765,0.03125,0.7971446257507989,0.26091973579812955,CompressionPressure,0.7971446257507989,4162.0,4164.75,4161.5,4163.25,Up,1,4161.75,3.25,,5,4157.5,-5.75,,-5.75,,1.0,-15.5,,,0,1
ES,xApvaV01StateLog_ES062021.csv,13,2021-04-19 07:40:00,Unresolved,Directional->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Soft,0.4142135623730951,0.7219280948844771,0.2222222222222222,0.8,0.6,0.0,0.2190884913465183,0.027777777777777776,0.8159906051808313,0.24125510408931267,CompressionPressure,0.8159906051808313,4163.25,4164.25,4162.5,4163.0,Up,1,4163.25,1.75,,5,4154.5,-8.5,,-8.5,,0.75,-15.25,,,0,1
ES,xApvaV01StateLog_ES062021.csv,14,2021-04-19 07:45:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.1567796494427114,0.3333333333333333,0.7,0.6,0.0,0.16197572475620906,0.041666666666666664,0.7193679385764972,0.3780455483155931,CompressionPressure,0.7193679385764972,4163.0,4163.75,4156.25,4157.0,Down,-1,4163.0,7.5,,5,4158.0,1.0,,-1.0,,9.25,-2.5,,,0,1
