BarIndex,Time,ResolvedArchetype,Quadruplet,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,RollingMeanFailure,RollingMeanContinuation,RollingMeanMigrationProbability,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue
3118,2026-05-22 11:25:00,Unstable Rotational Balance,Degrading->Balance->Degrading->Balance,2.246439344663802,0.6666666666666666,0.3,0.4,0.0,2.5,7.5,0.6137206593565997,0.04258333333333334,0.12726190476190474,0.033333333333333354,0.8535714285714285,RotationalPressure,0.8535714285714285
3119,2026-05-22 11:30:00,Stable Compression Basin,Balance->Degrading->Balance->Unresolved,2.246439344663802,0.7777777777777778,0.3,0.4,0.0,2.5,7.5,0.572241240156861,0.03043055555555556,0.14115079365079364,0.4555555555555556,0.6452380952380952,RotationalPressure,0.6452380952380952
3120,2026-05-22 11:35:00,Unstable Rotational Balance,Degrading->Balance->Unresolved->Balance,2.170950594447455,0.8888888888888888,0.3,0.4,0.0,8.815999999999999,7.5,0.5338014047021001,0.028000000000000004,0.1664857142857143,0.0,0.9125942857142856,RotationalPressure,0.9125942857142856
3121,2026-05-22 11:40:00,Unstable Rotational Balance,Balance->Unresolved->Balance->Balance,1.8464393446652445,0.7777777777777778,0.4,0.4,0.0,8.815999999999999,7.5,0.4953615692473393,0.03043055555555556,0.16370793650793652,0.005555555555555564,0.9042609523809523,RotationalPressure,0.9042609523809523
3122,2026-05-22 11:45:00,Stable Compression Basin,Unresolved->Balance->Balance->Unresolved,1.5219280948830343,0.7777777777777778,0.4,0.3,0.0,8.421,0.0,0.49747156301791867,0.029407935791073248,0.12729722222222223,0.46043504962536597,0.6366184374223303,RotationalPressure,0.6366184374223303
3123,2026-05-22 11:50:00,Sponsor Exhaustion Collapse,Balance->Balance->Unresolved->Degrading,1.5709505944503404,0.8888888888888888,0.4,0.2,0.0,14.785,0.0,0.4977677758114332,0.016224095112395826,0.25280357142857146,0.0018155878468537334,0.6647668711074405,RotationalPressure,0.6647668711074405
3124,2026-05-22 11:55:00,Unstable Rotational Balance,Balance->Unresolved->Degrading->Balance,1.4854752972230063,0.8888888888888888,0.5,0.1,0.0,14.785,0.0,0.4977677758114332,0.02743496422303025,0.15280357142857143,0.04882446059022877,0.8960691498389612,RotationalPressure,0.8960691498389612
3125,2026-05-22 12:00:00,Stable Compression Basin,Unresolved->Degrading->Balance->Unresolved,1.4854752972230063,0.8888888888888888,0.5,0.0,0.0,14.785,0.0,0.4977677758114332,0.02043496422303025,0.15280357142857143,0.4988244605902288,0.6460691498389612,RotationalPressure,0.6460691498389612
3126,2026-05-22 12:05:00,Unstable Rotational Balance,Degrading->Balance->Unresolved->Balance,1.4854752972230063,0.8888888888888888,0.5,0.0,0.0,21.101,0.0,0.5008073595564111,0.02043496422303025,0.1753607142857143,0.04882446059022877,0.9050920069818184,RotationalPressure,0.9050920069818184
3127,2026-05-22 12:10:00,Unstable Rotational Balance,Balance->Unresolved->Balance->Balance,1.2954618442339936,0.7777777777777778,0.6,0.0,0.0,21.101,0.0,0.503846943301389,0.04908009143972376,0.1725829365079365,0.10792252362426429,0.8551932308071384,RotationalPressure,0.8551932308071384
3128,2026-05-22 12:15:00,Unstable Rotational Balance,Unresolved->Balance->Balance->Balance,1.2954618442339936,0.6666666666666666,0.6,0.0,0.0,21.101,0.0,0.5068865270463669,0.06123286921750154,0.1586940476190476,0.1357003014020421,0.8135265641404718,RotationalPressure,0.8135265641404718
3129,2026-05-22 12:20:00,Unstable Rotational Balance,Balance->Balance->Balance->Unresolved,1.1567796494427114,0.5555555555555556,0.7,0.0,0.0,23.206,0.0,0.5099261107913449,0.09567016920065352,0.1523230158730159,0.21381238302094163,0.744530310220355,RotationalPressure,0.744530310220355
3130,2026-05-22 12:25:00,Stable Compression Basin,Balance->Balance->Unresolved->Unresolved,1.2954618442339936,0.6666666666666666,0.6,0.0,0.0,16.89,0.0,0.5128017441510933,0.06123286921750154,0.1436547619047619,0.5857003014020421,0.5575108498547574,CompressionPressure,0.5857003014020421
3131,2026-05-22 12:30:00,Unstable Rotational Balance,Balance->Unresolved->Unresolved->Balance,1.2954618442339936,0.6666666666666666,0.6,0.0,0.0,23.205999999999996,0.0,0.5128017441510933,0.06123286921750154,0.16621190476190473,0.1357003014020421,0.8165337069976146,RotationalPressure,0.8165337069976146
3132,2026-05-22 12:35:00,Stable Compression Basin,Unresolved->Unresolved->Balance->Unresolved,1.2954618442339936,0.6666666666666666,0.6,0.0,0.0,23.206,0.0,0.5128017441510933,0.06123286921750154,0.16621190476190476,0.5857003014020421,0.5665337069976146,CompressionPressure,0.5857003014020421
3133,2026-05-22 12:40:00,Stable Compression Basin,Unresolved->Balance->Unresolved->Unresolved,0.9709505944517833,0.5555555555555556,0.6,0.0,0.0,16.842000000000002,0.0,0.518420748462305,0.09823103955672978,0.12959444444444446,0.633760032291208,0.4447887758696609,CompressionPressure,0.633760032291208
3134,2026-05-22 12:45:00,Unstable Rotational Balance,Balance->Unresolved->Unresolved->Balance,0.9709505944517833,0.5555555555555556,0.6,0.0,0.0,23.157999999999998,0.0,0.5214603322072829,0.09823103955672978,0.1521515873015873,0.18376003229120796,0.7038116330125181,RotationalPressure,0.7038116330125181
3135,2026-05-22 12:50:00,Unstable Rotational Balance,Unresolved->Unresolved->Balance->Balance,0.8812908992278072,0.4444444444444444,0.7,0.0,0.0,23.157999999999998,0.0,0.5244999159522609,0.12891505441675988,0.1382626984126984,0.25880820768715096,0.6425319080156067,RotationalPressure,0.6425319080156067
3136,2026-05-22 12:55:00,Unstable Rotational Balance,Unresolved->Balance->Balance->Balance,0.8812908992278072,0.4444444444444444,0.7,0.0,0.0,16.842000000000002,0.0,0.5244999159522609,0.12891505441675988,0.11570555555555556,0.25880820768715096,0.6335090508727494,RotationalPressure,0.6335090508727494
3137,2026-05-22 13:00:00,Unstable Rotational Balance,Balance->Balance->Balance->Unresolved,0.8812908992278072,0.4444444444444444,0.7,0.0,0.0,18.947,0.0,0.5244999159522609,0.12891505441675988,0.1232234126984127,0.25880820768715096,0.6365161937298923,RotationalPressure,0.6365161937298923
3138,2026-05-22 13:05:00,Stable Compression Basin,Balance->Balance->Unresolved->Unresolved,0.9709505944517833,0.5555555555555556,0.6,0.0,0.0,18.947,0.0,0.5273755493120091,0.09823103955672978,0.1371123015873016,0.633760032291208,0.44779591872680374,CompressionPressure,0.633760032291208
3139,2026-05-22 13:10:00,Unstable Rotational Balance,Balance->Unresolved->Unresolved->Balance,0.9709505944517833,0.5555555555555556,0.6,0.0,0.0,23.157999999999998,0.0,0.5273755493120091,0.09823103955672978,0.1521515873015873,0.18376003229120796,0.7038116330125181,RotationalPressure,0.7038116330125181
3140,2026-05-22 13:15:00,Stable Compression Basin,Unresolved->Unresolved->Balance->Unresolved,0.9709505944517833,0.5555555555555556,0.6,0.0,0.0,25.263,0.0,0.5273755493120091,0.09823103955672978,0.15966944444444445,0.633760032291208,0.4568187758696609,CompressionPressure,0.633760032291208
3141,2026-05-22 13:20:00,Stable Compression Basin,Unresolved->Balance->Unresolved->Unresolved,0.9999999999971146,0.4444444444444444,0.5,0.0,0.0,18.947,0.0,0.5302511826717575,0.09649305555577646,0.1232234126984127,0.618055555555736,0.4124838095231783,CompressionPressure,0.618055555555736
3142,2026-05-22 13:25:00,Stable Compression Basin,Balance->Unresolved->Unresolved->Unresolved,0.9999999999971146,0.4444444444444444,0.5,0.0,0.0,16.842,0.0,0.5302511826717575,0.09649305555577646,0.11570555555555555,0.618055555555736,0.40947666666603544,CompressionPressure,0.618055555555736
3143,2026-05-22 13:30:00,Unstable Rotational Balance,Unresolved->Unresolved->Unresolved->Balance,0.9709505944517833,0.4444444444444444,0.6,0.0,0.0,23.157999999999998,0.0,0.5273755493120091,0.11038381733450757,0.1382626984126984,0.21153781006898575,0.6621449663458514,RotationalPressure,0.6621449663458514
3144,2026-05-22 13:35:00,Unstable Rotational Balance,Unresolved->Unresolved->Balance->Balance,0.9709505944517833,0.4444444444444444,0.6,0.0,0.0,16.842,0.0,0.5273755493120091,0.11038381733450757,0.11570555555555555,0.21153781006898575,0.6531221092029942,RotationalPressure,0.6531221092029942
3145,2026-05-22 13:40:00,Stable Compression Basin,Unresolved->Balance->Balance->Unresolved,0.9999999999971146,0.5555555555555556,0.5,0.0,0.0,18.947,0.0,0.5302511826717575,0.08434027777799868,0.1371123015873016,0.5902777777779582,0.45415047618984494,CompressionPressure,0.5902777777779582
3146,2026-05-22 13:45:00,Directional Continuation / Sponsor Release,Balance->Balance->Unresolved->Directional,1.360964047439353,0.6666666666666666,0.5,0.1,1.0,18.947,0.0,0.5272115989267796,0.1472891146226416,0.35100119047619044,0.08993974703504046,0.5747780282345013,RotationalPressure,0.5747780282345013
3147,2026-05-22 13:50:00,Directional Continuation / Sponsor Release,Balance->Unresolved->Directional->Directional,1.4854752972230063,0.5555555555555556,0.5,0.2,1.0,16.842,0.0,0.5241720151818017,0.17477450095468963,0.3295944444444444,0.10993557170133988,0.5573410546008659,RotationalPressure,0.5573410546008659
3148,2026-05-22 13:55:00,Directional Continuation / Sponsor Release,Unresolved->Directional->Directional->Balance,1.5709505944503404,0.4444444444444444,0.4,0.3,1.0,16.842,0.0,0.5182567980770754,0.1774656685750992,0.3157055555555556,0.09070447673574264,0.5343721092026785,RotationalPressure,0.5343721092026785
