BehaviorClass,TrajectoryCount,MeanProbability,MeanEntropy,MeanSupport,MeanStability
Persistent Compression,7,0.8093820730876569,0.6522782469967848,37.0,1.4775224143114092
Persistent Directional Continuation,1,0.75,0.8112781244562475,8.0,0.909809714340185
Persistent Degradation,1,0.6666666666666666,0.918295834051604,9.0,0.8002189763507577
Mixed,4,0.6142857142857143,1.0495206981321856,6.5,0.6101843680299418
Directional Release,1,0.5714285714285714,1.3787834934818477,7.0,0.4995210000352233
Exhaustion / Collapse,2,0.5,1.246439344667409,5.0,0.41481958607762837
