ToArchetype,EventCount,PreEntropy_5,PreVelocity_5,PreDominantFraction_5,PreMeanFailure_5,PreMeanContinuation_5,PreMeanMigrationProb_5,PreUniqueArchetypes_5,PreEntropy_10,PreVelocity_10,PreDominantFraction_10,PreMeanFailure_10,PreMeanContinuation_10,PreMeanMigrationProb_10,PreUniqueArchetypes_10,PreEntropy_20,PreVelocity_20,PreDominantFraction_20,PreMeanFailure_20,PreMeanContinuation_20,PreMeanMigrationProb_20,PreUniqueArchetypes_20
Stable Compression Basin,329,1.1156759040637068,0.4764437689969605,0.6212765957446809,17.901969604863222,2.259355623100304,0.5800217957643287,2.492401215805471,1.4312642267377713,0.43103198726299025,0.541565349544073,15.280410334346504,2.1839999999999997,0.6079882416518935,3.276595744680851,1.6697663322324916,0.375670178485728,0.49099544072948326,12.80018389057751,2.1441063829787232,0.6426067866660268,4.060790273556231
Sponsor Exhaustion Collapse,205,0.9807889228591004,0.3975609756097561,0.6634146341463415,12.173951219512194,4.471492682926829,0.6356478076474787,2.3024390243902437,1.2885344416266606,0.35826558265582653,0.5921951219512196,11.53420975609756,3.4267902439024387,0.6546896981878071,3.073170731707317,1.53640550198196,0.3249000550155878,0.5371618625277162,9.984524981522542,2.621367627494457,0.6742537565778054,3.8341463414634145
Unstable Rotational Balance,188,1.1203383163247558,0.4787234042553192,0.6106382978723404,13.372712765957445,1.968063829787234,0.5953478699619169,2.484042553191489,1.4581477454019107,0.43971631205673756,0.5287234042553192,13.141255319148936,1.9547712765957448,0.6139550561080969,3.3138297872340425,1.6675300570816387,0.389045264069966,0.4962977034785545,11.896440518405944,2.0450059523809525,0.6442311595165672,4.079787234042553
Pure Unresolved Compression Equilibrium,147,1.0151140809724895,0.39285714285714285,0.6585034013605442,13.708367346938775,1.167795918367347,0.5428494879753524,2.292517006802721,1.398222003103006,0.41043083900226757,0.535374149659864,13.673721088435373,1.4342244897959182,0.585539466959795,3.108843537414966,1.689220724888539,0.3945578231292517,0.4710884353741497,12.91984693877551,1.7771938775510203,0.6170211576035901,4.020408163265306
Directional Continuation / Sponsor Release,88,0.5680727120909593,0.22443181818181818,0.8068181818181818,6.426022727272727,2.1969545454545454,0.7512557106578651,1.75,0.8978885121402791,0.22601010101010102,0.7125,6.2835909090909094,2.1117272727272725,0.7424965995285914,2.409090909090909,1.2175982168352528,0.24953482190324294,0.6278409090909091,7.626528409090909,2.0501761363636364,0.7256450080002351,3.215909090909091
