PC1,PC2,PC3,Transition
-2.8806438686653055,-2.16770175941877,-1.18225580922833,Unknown->Unresolved
-2.5069317361912447,0.6803059132753979,0.08344404346577931,Unresolved->Unknown
-0.017674764015336332,-1.3876336660124904,4.0337795736374655,Unresolved->Directional
-0.723681396234226,2.5401299921272753,-0.05918616467401439,Directional->Degrading
0.1746684064114155,0.04047460044410954,-0.7098452584903419,Degrading->Unresolved
1.4590508561544842,1.184963076546061,-0.6253685323071835,Degrading->Balance
1.2977433713639743,0.5314105679618022,-0.5962759506320084,Balance->Degrading
2.0035176216165365,-1.1608489609904322,-0.44581000505415525,Unresolved->Balance
1.046230264111247,-2.1030194074650788,-1.2887019041396437,Balance->Unresolved
1.3435879098547394,-0.35656093417219614,0.34344830824290645,Unresolved->Degrading
0.20915862652994677,1.8233439805394127,0.6504708718017285,Degrading->Directional
-1.4050252909362304,0.3751365971649108,-0.20369917262220252,Directional->Unresolved
